""
Date, Stock Value
2023-01-01, 1000
2023-01-02, 995
2023-01-03, 990
2023-01-04, 980
2023-01-05, 970
2023-01-06, 960
2023-01-07, 950
2023-01-08, 940
2023-01-09, 930
2023-01-10, 920
2023-01-11, 910
2023-01-12, 895
2023-01-13, 885
2023-01-14, 880
2023-01-15, 870
2023-01-16, 860
2023-01-17, 850
2023-01-18, 840
2023-01-19, 830
2023-01-20, 820
2023-01-21, 810
2023-01-22, 800
2023-01-23, 790
2023-01-24, 780
2023-01-25, 770
2023-01-26, 760
2023-01-27, 750
2023-01-28, 740
2023-01-29, 730
2023-01-30, 720
2023-01-31, 710
""
