""
date,value,label
2022-01-01,1000,Funding
2022-01-02,1180,
2022-01-03,1320,
2022-01-04,1290,
2022-01-05,1340,
2022-01-06,1310,
2022-01-07,1350,Record
2022-01-08,1370,
2022-01-09,1420,
2022-01-10,1550,
2022-01-11,1560,Peak
2022-01-12,1590,
2022-01-13,1650,
2022-01-14,1620,
2022-01-15,1700,Stable
2022-01-16,1720,
2022-01-17,1730,
2022-01-18,1690,
2022-01-19,1760,
2022-01-20,1800,
2022-01-21,1880,Upward Trend
2022-01-22,1850,
2022-01-23,1890,
2022-01-24,1950,New Tech
2022-01-25,2000,
2022-01-26,2050,
2022-01-27,2080,
2022-01-28,2100,Consistent
2022-01-29,2130,
2022-01-30,2150,
2022-01-31,2200,Month End
""
