""
Date,Visitors
2023-01-01,1200
2023-01-02,1500
2023-01-03,1600
2023-01-04,1700
2023-01-05,1800
2023-01-06,1850
2023-01-07,1900
2023-01-08,1950
2023-01-09,2000
2023-01-10,2100
2023-01-11,2150
2023-01-12,2200
2023-01-13,2250
2023-01-14,2300
2023-01-15,2350
2023-01-16,2400
2023-01-17,2450
2023-01-18,2500
2023-01-19,2550
2023-01-20,2650
2023-01-21,2700
2023-01-22,2750
2023-01-23,2800
2023-01-24,2850
2023-01-25,2900
2023-01-26,2950
2023-01-27,3000
2023-01-28,3100
2023-01-29,3200
2023-01-30,3300
2023-01-31,3400
""
