""
Date, Temperature (°C)
2023-01-01, 4.2
2023-01-02, 4.5
2023-01-03, 5.1
2023-01-04, 5.3
2023-01-05, 5.5
2023-01-06, 5.8
2023-01-07, 6.1
2023-01-08, 6.4
2023-01-09, 6.7
2023-01-10, 7.0
2023-01-11, 7.3
2023-01-12, 7.6
2023-01-13, 7.8
2023-01-14, 8.0
2023-01-15, 8.2
2023-01-16, 8.5
2023-01-17, 8.8
2023-01-18, 9.0
2023-01-19, 9.3
2023-01-20, 9.6
2023-01-21, 9.9
2023-01-22, 10.2
2023-01-23, 10.5
2023-01-24, 10.8
2023-01-25, 11.0
2023-01-26, 11.2
2023-01-27, 11.5
2023-01-28, 11.6
2023-01-29, 11.7
2023-01-30, 11.9
2023-01-31, 12.1
""
