""
Date, Ice Cream Sales
2023-01-01, 200
2023-01-02, 198
2023-01-03, 196
2023-01-04, 194
2023-01-05, 193
2023-01-06, 190
2023-01-07, 188
2023-01-08, 185
2023-01-09, 183
2023-01-10, 180
2023-01-11, 178
2023-01-12, 175
2023-01-13, 172
2023-01-14, 170
2023-01-15, 168
2023-01-16, 165
2023-01-17, 162
2023-01-18, 160
2023-01-19, 158
2023-01-20, 155
2023-01-21, 153
2023-01-22, 150
2023-01-23, 148
2023-01-24, 145
2023-01-25, 143
2023-01-26, 140
2023-01-27, 138
2023-01-28, 135
2023-01-29, 132
2023-01-30, 130
2023-01-31, 128
""
