""
Date,Stock Index
2023-01-01,10405
2023-01-02,10395
2023-01-03,10382
2023-01-04,10360
2023-01-05,10345
2023-01-06,10320
2023-01-07,10300
2023-01-08,10288
2023-01-09,10270
2023-01-10,10245
2023-01-11,10230
2023-01-12,10215
2023-01-13,10200
2023-01-14,10185
2023-01-15,10165
2023-01-16,10150
2023-01-17,10125
2023-01-18,10100
2023-01-19,10085
2023-01-20,10070
2023-01-21,10055
2023-01-22,10038
2023-01-23,10020
2023-01-24,10000
2023-01-25,9980
2023-01-26,9962
2023-01-27,9945
2023-01-28,9930
2023-01-29,9915
2023-01-30,9900
""
