""
Date,Value
2023-01-01,10000
2023-01-02,9980
2023-01-03,9930
2023-01-04,9895
2023-01-05,9840
2023-01-06,9780
2023-01-07,9700
2023-01-08,9630
2023-01-09,9550
2023-01-10,9475
2023-01-11,9380
2023-01-12,9300
2023-01-13,9210
2023-01-14,9100
2023-01-15,9000
2023-01-16,8890
2023-01-17,8775
2023-01-18,8650
2023-01-19,8530
2023-01-20,8400
2023-01-21,8275
2023-01-22,8140
2023-01-23,8000
2023-01-24,7850
2023-01-25,7700
2023-01-26,7550
2023-01-27,7395
2023-01-28,7240
2023-01-29,7075
2023-01-30,6900
2023-01-31,6730
""
