""
Date,Population
2023-01-01,10000
2023-01-02,9950
2023-01-03,9900
2023-01-04,9800
2023-01-05,9650
2023-01-06,9550
2023-01-07,9400
2023-01-08,9300
2023-01-09,9150
2023-01-10,9000
2023-01-11,8850
2023-01-12,8700
2023-01-13,8550
2023-01-14,8400
2023-01-15,8300
2023-01-16,8150
2023-01-17,8000
2023-01-18,7850
2023-01-19,7700
2023-01-20,7600
2023-01-21,7450
2023-01-22,7300
2023-01-23,7150
2023-01-24,7000
2023-01-25,6850
2023-01-26,6700
2023-01-27,6550
2023-01-28,6450
2023-01-29,6300
2023-01-30,6150
2023-01-31,6000
""
