""
Date, Stock Index
2023-01-01, 5000
2023-01-02, 4950
2023-01-03, 4870
2023-01-04, 4800
2023-01-05, 4780
2023-01-06, 4700
2023-01-07, 4620
2023-01-08, 4550
2023-01-09, 4480
2023-01-10, 4420
2023-01-11, 4350
2023-01-12, 4275
2023-01-13, 4200
2023-01-14, 4150
2023-01-15, 4100
2023-01-16, 4050
2023-01-17, 4000
2023-01-18, 3950
2023-01-19, 3900
2023-01-20, 3850
2023-01-21, 3800
2023-01-22, 3750
2023-01-23, 3700
2023-01-24, 3650
2023-01-25, 3600
2023-01-26, 3550
2023-01-27, 3500
2023-01-28, 3450
2023-01-29, 3400
2023-01-30, 3350
2023-01-31, 3300
""
