""
Quarter,GDP Growth Rate(%)
Q1-2010,2.5
Q2-2010,2.7
Q3-2010,3.1
Q4-2010,3.5
Q1-2011,3.8
Q2-2011,3.6
Q3-2011,3.2
Q4-2011,3.0
Q1-2012,3.5
Q2-2012,3.7
Q3-2012,3.9
Q4-2012,4.0
Q1-2013,4.2
Q2-2013,4.5
Q3-2013,4.3
Q4-2013,4.1
Q1-2014,3.9
Q2-2014,4.0
Q3-2014,4.1
Q4-2014,4.5
Q1-2015,4.7
Q2-2015,4.6
Q3-2015,4.3
Q4-2015,4.2
Q1-2016,4.1
Q2-2016,3.8
Q3-2016,3.5
Q4-2016,3.2
Q1-2017,3.0
Q2-2017,3.3
Q3-2017,3.6
Q4-2017,3.8
Q1-2018,4.0
Q2-2018,4.3
Q3-2018,4.5
Q4-2018,4.3
Q1-2019,4.1
Q2-2019,3.9
Q3-2019,3.7
Q4-2019,3.5
""
