""
Date,Visitors
2023-01-01,6000
2023-01-02,5950
2023-01-03,5850
2023-01-04,5800
2023-01-05,5700
2023-01-06,5650
2023-01-07,5550
2023-01-08,5500
2023-01-09,5450
2023-01-10,5400
2023-01-11,5300
2023-01-12,5250
2023-01-13,5200
2023-01-14,5100
2023-01-15,5050
2023-01-16,5000
2023-01-17,4950
2023-01-18,4900
2023-01-19,4800
2023-01-20,4750
2023-01-21,4700
2023-01-22,4650
2023-01-23,4600
2023-01-24,4550
2023-01-25,4500
2023-01-26,4450
2023-01-27,4400
2023-01-28,4300
2023-01-29,4250
2023-01-30,4200
2023-01-31,4150
""
