""
Date, Stock Price
2023-03-01, 235.55
2023-03-02, 238.10
2023-03-03, 240.25
2023-03-04, 243.45
2023-03-05, 245.65
2023-03-06, 248.60
2023-03-07, 250.20
2023-03-08, 255.30
2023-03-09, 257.10
2023-03-10, 260.40
2023-03-11, 265.20
2023-03-12, 267.50
2023-03-13, 270.30
2023-03-14, 275.40
2023-03-15, 280.25
2023-03-16, 285.75
2023-03-17, 287.10
2023-03-18, 290.20
2023-03-19, 292.50
2023-03-20, 295.10
2023-03-21, 297.20
2023-03-22, 299.30
2023-03-23, 302.50
2023-03-24, 305.40
2023-03-25, 307.20
2023-03-26, 310.10
2023-03-27, 312.55
2023-03-28, 315.70
2023-03-29, 320.20
2023-03-30, 322.65
2023-03-31, 325.00
""
