markdown
Date,Stock Index
2023-01-01,10500
2023-01-02,10450
2023-01-03,10400
2023-01-04,10350
2023-01-05,10300
2023-01-06,10250
2023-01-07,10200
2023-01-08,10150
2023-01-09,10100
2023-01-10,10050
2023-01-11,10000
2023-01-12,9950
2023-01-13,9900
2023-01-14,9850
2023-01-15,9800
2023-01-16,9750
2023-01-17,9700
2023-01-18,9650
2023-01-19,9600
2023-01-20,9550
2023-01-21,9500
2023-01-22,9450
2023-01-23,9400
2023-01-24,9350
2023-01-25,9300
2023-01-26,9250
2023-01-27,9200
2023-01-28,9150
2023-01-29,9100
2023-01-30,9050
2023-01-31,9000
""
