""
Date,GDP Growth
2023-01-01,-0.1
2023-01-02,-0.2
2023-01-03,-0.3
2023-01-04,-0.5
2023-01-05,-0.7
2023-01-06,-0.6
2023-01-07,-0.8
2023-01-08,-1.0
2023-01-09,-1.1
2023-01-10,-1.3
2023-01-11,-1.5
2023-01-12,-1.4
2023-01-13,-1.6
2023-01-14,-1.8
2023-01-15,-2.0
2023-01-16,-2.2
2023-01-17,-2.4
2023-01-18,-2.3
2023-01-19,-2.5
2023-01-20,-2.7
2023-01-21,-2.6
2023-01-22,-2.8
2023-01-23,-2.9
2023-01-24,-3.1
2023-01-25,-3.2
2023-01-26,-3.4
2023-01-27,-3.6
2023-01-28,-3.5
2023-01-29,-3.7
2023-01-30,-3.8
""
