Country ,Continent,LOCATION,foreign population %,GDP 000s
Austria,Europe,AUT,16.1,59.71933165
Belgium,Europe,BEL,12.3,55.80082599
Czechia,Europe,CZE,5.3,44.22308816
Denmark,Europe,DNK,9.1,59.88383628
Estonia,Europe,EST,16.3,39.06818369
Finland,Europe,FIN,4.7,51.81135616
France,Europe,FRA,7.3,50.22199711
Germany,Europe,DEU,13.1,57.39720459
Hungary,Europe,HUN,1.9,34.63867196
Iceland,Europe,ISL,13.1,59.99424691
Ireland,Europe,IRL,12.8,89.84627221
Italy,Europe,ITA,8.7,45.79952693
Japan,Asia,JPN,2.2,42.46548008
Latvia,Europe,LVA,14.0,32.93858231
Lithuania,Europe,LTU,1.7,39.95076049
Luxembourg,Europe,LUX,47.3,119.2528129
United Kingdom,Europe,GBR,13.7,49.3175117
United States of America,North America,USA,13.6,64.6902724
Mexico,North America,MEX,0.4,20.24460742
Netherlands,Europe,NLD,6.5,60.20771305
Norway,Europe,NOR,10.9,69.26445399
Portugal,Europe,PRT,4.7,37.29900721
Republic of Korea,Asia,KOR,2.4,43.41014953
Slovakia,Europe,SVK,1.4,33.46191292
Slovenia,Europe,SVN,6.6,42.07585641
Spain,Europe,ESP,10.4,43.13553943
Sweden,Europe,SWE,9.3,56.40403236
Switzerland,Europe,CHE,24.2,72.66838444
