Unnamed: 0,Year,Series,Value
0,1969, Advance/Price,0.710560345
1,1969,Price/Income,2.64
2,1969,Advance/Income,1.87
3,1970, Advance/Price,0.721809045
4,1970,Price/Income,2.58
5,1970,Advance/Income,1.86
6,1971, Advance/Price,0.728693182
7,1971,Price/Income,2.58
8,1971,Advance/Income,1.88
9,1972, Advance/Price,0.704502305
10,1972,Price/Income,2.98
11,1972,Advance/Income,2.1
12,1973, Advance/Price,0.621705894
13,1973,Price/Income,3.4
14,1973,Advance/Income,2.11
15,1974, Advance/Price,0.597634213
16,1974,Price/Income,3.22
17,1974,Advance/Income,1.93
18,1975, Advance/Price,0.62331382
19,1975,Price/Income,2.92
20,1975,Advance/Income,1.82
21,1976, Advance/Price,0.652392947
22,1976,Price/Income,2.74
23,1976,Advance/Income,1.78
24,1977, Advance/Price,0.646080586
25,1977,Price/Income,2.63
26,1977,Advance/Income,1.7
27,1978, Advance/Price,0.650057715
28,1978,Price/Income,2.71
29,1978,Advance/Income,1.76
30,1979, Advance/Price,0.581731493
31,1979,Price/Income,2.96
32,1979,Advance/Income,1.72
33,1980, Advance/Price,0.557975928
34,1980,Price/Income,2.86
35,1980,Advance/Income,1.6
36,1981, Advance/Price,0.615139739
37,1981,Price/Income,2.74
38,1981,Advance/Income,1.68
39,1982, Advance/Price,0.681737439
40,1982,Price/Income,2.54
41,1982,Advance/Income,1.73
42,1983, Advance/Price,0.682104945
43,1983,Price/Income,2.68
44,1983,Advance/Income,1.83
45,1984, Advance/Price,0.689651618
46,1984,Price/Income,2.72
47,1984,Advance/Income,1.88
48,1985, Advance/Price,0.697360383
49,1985,Price/Income,2.7
50,1985,Advance/Income,1.88
51,1986, Advance/Price,0.699746389
52,1986,Price/Income,2.81
53,1986,Advance/Income,1.97
54,1987, Advance/Price,0.682280706
55,1987,Price/Income,2.93
56,1987,Advance/Income,2.0
57,1988, Advance/Price,0.7456
58,1988,Price/Income,3.51
59,1988,Advance/Income,2.27
60,1989, Advance/Price,0.7427
61,1989,Price/Income,3.63
62,1989,Advance/Income,2.33
63,1990, Advance/Price,0.7522
64,1990,Price/Income,3.47
65,1990,Advance/Income,2.31
66,1991, Advance/Price,0.7567
67,1991,Price/Income,3.42
68,1991,Advance/Income,2.32
69,1992, Advance/Price,0.7735
70,1992,Price/Income,3.25
71,1992,Advance/Income,2.28
72,1993, Advance/Price,0.7753
73,1993,Price/Income,3.22
74,1993,Advance/Income,2.29
75,1994, Advance/Price,0.7804
76,1994,Price/Income,3.24
77,1994,Advance/Income,2.31
78,1995, Advance/Price,0.7894
79,1995,Price/Income,3.16
80,1995,Advance/Income,2.29
81,1996, Advance/Price,0.7816
82,1996,Price/Income,3.16
83,1996,Advance/Income,2.27
84,1997, Advance/Price,0.7738
85,1997,Price/Income,3.24
86,1997,Advance/Income,2.3
87,1998, Advance/Price,0.7663
88,1998,Price/Income,3.3
89,1998,Advance/Income,2.3
90,1999, Advance/Price,0.7545
91,1999,Price/Income,3.41
92,1999,Advance/Income,2.34
93,2000, Advance/Price,0.749
94,2000,Price/Income,3.56
95,2000,Advance/Income,2.4
96,2001, Advance/Price,0.7421
97,2001,Price/Income,3.68
98,2001,Advance/Income,2.44
99,2002, Advance/Price,0.727
100,2002,Price/Income,3.97
101,2002,Advance/Income,2.58
102,2003, Advance/Price,0.683
103,2003,Price/Income,4.59
104,2003,Advance/Income,2.81
105,2004, Advance/Price,0.673
106,2004,Price/Income,5.21
107,2004,Advance/Income,3.15
108,2005, Advance/Price,0.698
109,2005,Price/Income,5.04
110,2005,Advance/Income,3.15
111,2006, Advance/Price,0.711
112,2006,Price/Income,4.76
113,2006,Advance/Income,3.02
114,2007, Advance/Price,0.707
115,2007,Price/Income,4.93
116,2007,Advance/Income,3.12
117,2008, Advance/Price,0.683511256
118,2008,Price/Income,4.95
119,2008,Advance/Income,3.04
120,2009, Advance/Price,0.64775429
121,2009,Price/Income,4.84
122,2009,Advance/Income,2.85
123,2010, Advance/Price,0.64769551
124,2010,Price/Income,4.96
125,2010,Advance/Income,2.92
126,2011, Advance/Price,0.668086247
127,2011,Price/Income,4.88
128,2011,Advance/Income,2.96
129,2012, Advance/Price,0.684383116
130,2012,Price/Income,4.84
131,2012,Advance/Income,3.01
132,2013, Advance/Price,0.696644776
133,2013,Price/Income,4.79
134,2013,Advance/Income,3.05
135,2014, Advance/Price,0.71
136,2014,Price/Income,4.92
137,2014,Advance/Income,3.17
138,2015, Advance/Price,0.711500259
139,2015,Price/Income,4.85
140,2015,Advance/Income,3.16
141,2016, Advance/Price,0.719176493
142,2016,Price/Income,4.98
143,2016,Advance/Income,3.26
144,2017, Advance/Price,0.72
145,2017,Price/Income,5.15
146,2017,Advance/Income,3.38
147,2018, Advance/Price,0.73
148,2018,Price/Income,5.2
149,2018,Advance/Income,3.43
150,2019, Advance/Price,0.74
151,2019,Price/Income,5.13
152,2019,Advance/Income,3.45
153,2020, Advance/Price,0.73
154,2020,Price/Income,5.18
155,2020,Advance/Income,3.45
156,2021, Advance/Price,0.71
157,2021,Price/Income,5.4
158,2021,Advance/Income,3.5
