Date,Value
1975-01-02T00:00:00.000Z,2.3359
1975-01-03T00:00:00.000Z,2.3414
1975-01-06T00:00:00.000Z,2.3518
1975-01-07T00:00:00.000Z,2.3552
1975-01-08T00:00:00.000Z,2.3485
1975-01-09T00:00:00.000Z,2.3496
1975-01-10T00:00:00.000Z,2.3524
1975-01-13T00:00:00.000Z,2.354
1975-01-14T00:00:00.000Z,2.3469
1975-01-15T00:00:00.000Z,2.3507
1975-01-16T00:00:00.000Z,2.3535
1975-01-17T00:00:00.000Z,2.3535
1975-01-20T00:00:00.000Z,2.3563
1975-01-21T00:00:00.000Z,2.3635
1975-01-22T00:00:00.000Z,2.3906
1975-01-23T00:00:00.000Z,2.381
1975-01-24T00:00:00.000Z,2.3832
1975-01-27T00:00:00.000Z,2.3992
1975-01-28T00:00:00.000Z,2.3827
1975-01-29T00:00:00.000Z,2.3708
1975-01-30T00:00:00.000Z,2.3753
1975-01-31T00:00:00.000Z,2.381
1975-02-03T00:00:00.000Z,2.3747
1975-02-04T00:00:00.000Z,2.3691
1975-02-05T00:00:00.000Z,2.3697
1975-02-06T00:00:00.000Z,2.368
1975-02-07T00:00:00.000Z,2.3736
1975-02-10T00:00:00.000Z,2.3855
1975-02-11T00:00:00.000Z,2.3827
1975-02-12T00:00:00.000Z,2.3889
1975-02-13T00:00:00.000Z,2.3901
1975-02-14T00:00:00.000Z,2.3906
1975-02-17T00:00:00.000Z,2.3929
1975-02-18T00:00:00.000Z,2.3935
1975-02-19T00:00:00.000Z,2.3975
1975-02-20T00:00:00.000Z,2.401
1975-02-21T00:00:00.000Z,2.4027
1975-02-24T00:00:00.000Z,2.4225
1975-02-25T00:00:00.000Z,2.4166
1975-02-26T00:00:00.000Z,2.4242
1975-02-27T00:00:00.000Z,2.4278
1975-02-28T00:00:00.000Z,2.429
1975-03-03T00:00:00.000Z,2.4325
1975-03-04T00:00:00.000Z,2.4295
1975-03-05T00:00:00.000Z,2.4337
1975-03-06T00:00:00.000Z,2.4278
1975-03-07T00:00:00.000Z,2.4079
1975-03-10T00:00:00.000Z,2.4062
1975-03-11T00:00:00.000Z,2.4219
1975-03-12T00:00:00.000Z,2.4102
1975-03-13T00:00:00.000Z,2.4155
1975-03-14T00:00:00.000Z,2.4178
1975-03-16T23:00:00.000Z,2.419
1975-03-17T23:00:00.000Z,2.4254
1975-03-18T23:00:00.000Z,2.429
1975-03-19T23:00:00.000Z,2.4242
1975-03-20T23:00:00.000Z,2.4207
1975-03-23T23:00:00.000Z,2.4172
1975-03-24T23:00:00.000Z,2.4155
1975-03-25T23:00:00.000Z,2.4125
1975-03-26T23:00:00.000Z,2.4027
1975-03-31T23:00:00.000Z,2.4079
1975-04-01T23:00:00.000Z,2.4079
1975-04-02T23:00:00.000Z,2.4021
1975-04-03T23:00:00.000Z,2.3906
1975-04-06T23:00:00.000Z,2.3798
1975-04-07T23:00:00.000Z,2.3815
1975-04-08T23:00:00.000Z,2.3781
1975-04-09T23:00:00.000Z,2.3629
1975-04-10T23:00:00.000Z,2.3657
1975-04-13T23:00:00.000Z,2.3568
1975-04-14T23:00:00.000Z,2.3657
1975-04-15T23:00:00.000Z,2.3663
1975-04-16T23:00:00.000Z,2.3674
1975-04-17T23:00:00.000Z,2.3747
1975-04-20T23:00:00.000Z,2.3624
1975-04-21T23:00:00.000Z,2.354
1975-04-22T23:00:00.000Z,2.3702
1975-04-23T23:00:00.000Z,2.3596
1975-04-24T23:00:00.000Z,2.3524
1975-04-27T23:00:00.000Z,2.3458
1975-04-28T23:00:00.000Z,2.354
1975-04-29T23:00:00.000Z,2.3524
1975-04-30T23:00:00.000Z,2.3491
1975-05-01T23:00:00.000Z,2.3392
1975-05-04T23:00:00.000Z,2.3408
1975-05-05T23:00:00.000Z,2.3392
1975-05-06T23:00:00.000Z,2.3392
1975-05-07T23:00:00.000Z,2.3397
1975-05-08T23:00:00.000Z,2.3202
1975-05-11T23:00:00.000Z,2.302
1975-05-12T23:00:00.000Z,2.3079
1975-05-13T23:00:00.000Z,2.3057
1975-05-14T23:00:00.000Z,2.302
1975-05-15T23:00:00.000Z,2.3026
1975-05-18T23:00:00.000Z,2.3031
1975-05-19T23:00:00.000Z,2.3036
1975-05-20T23:00:00.000Z,2.3143
1975-05-21T23:00:00.000Z,2.3283
1975-05-22T23:00:00.000Z,2.3272
1975-05-26T23:00:00.000Z,2.3267
1975-05-27T23:00:00.000Z,2.3256
1975-05-28T23:00:00.000Z,2.3164
1975-05-29T23:00:00.000Z,2.317
1975-06-01T23:00:00.000Z,2.3186
1975-06-02T23:00:00.000Z,2.3213
1975-06-03T23:00:00.000Z,2.3186
1975-06-04T23:00:00.000Z,2.3223
1975-06-05T23:00:00.000Z,2.3218
1975-06-08T23:00:00.000Z,2.3175
1975-06-09T23:00:00.000Z,2.31
1975-06-10T23:00:00.000Z,2.2868
1975-06-11T23:00:00.000Z,2.2789
1975-06-12T23:00:00.000Z,2.2868
1975-06-15T23:00:00.000Z,2.2784
1975-06-16T23:00:00.000Z,2.2717
1975-06-17T23:00:00.000Z,2.2732
1975-06-18T23:00:00.000Z,2.2732
1975-06-19T23:00:00.000Z,2.2717
1975-06-22T23:00:00.000Z,2.2712
1975-06-23T23:00:00.000Z,2.2558
1975-06-24T23:00:00.000Z,2.2548
1975-06-25T23:00:00.000Z,2.2457
1975-06-26T23:00:00.000Z,2.2247
1975-06-29T23:00:00.000Z,2.1844
1975-06-30T23:00:00.000Z,2.2109
1975-07-01T23:00:00.000Z,2.1997
1975-07-02T23:00:00.000Z,2.1959
1975-07-03T23:00:00.000Z,2.1939
1975-07-06T23:00:00.000Z,2.1839
1975-07-07T23:00:00.000Z,2.1964
1975-07-08T23:00:00.000Z,2.2075
1975-07-09T23:00:00.000Z,2.2017
1975-07-10T23:00:00.000Z,2.2007
1975-07-13T23:00:00.000Z,2.1906
1975-07-14T23:00:00.000Z,2.1887
1975-07-15T23:00:00.000Z,2.1829
1975-07-16T23:00:00.000Z,2.1825
1975-07-17T23:00:00.000Z,2.1763
1975-07-20T23:00:00.000Z,2.1739
1975-07-21T23:00:00.000Z,2.1801
1975-07-22T23:00:00.000Z,2.1786
1975-07-23T23:00:00.000Z,2.1796
1975-07-24T23:00:00.000Z,2.1796
1975-07-27T23:00:00.000Z,2.1758
1975-07-28T23:00:00.000Z,2.1749
1975-07-29T23:00:00.000Z,2.1626
1975-07-30T23:00:00.000Z,2.1515
1975-07-31T23:00:00.000Z,2.1496
1975-08-03T23:00:00.000Z,2.1413
1975-08-04T23:00:00.000Z,2.1409
1975-08-05T23:00:00.000Z,2.1286
1975-08-06T23:00:00.000Z,2.1035
1975-08-07T23:00:00.000Z,2.103
1975-08-10T23:00:00.000Z,2.1022
1975-08-11T23:00:00.000Z,2.1039
1975-08-12T23:00:00.000Z,2.1079
1975-08-13T23:00:00.000Z,2.1079
1975-08-14T23:00:00.000Z,2.1084
1975-08-17T23:00:00.000Z,2.1079
1975-08-18T23:00:00.000Z,2.1173
1975-08-19T23:00:00.000Z,2.1191
1975-08-20T23:00:00.000Z,2.1115
1975-08-21T23:00:00.000Z,2.1061
1975-08-25T23:00:00.000Z,2.1093
1975-08-26T23:00:00.000Z,2.1097
1975-08-27T23:00:00.000Z,2.1097
1975-08-28T23:00:00.000Z,2.1101
1975-08-31T23:00:00.000Z,2.107
1975-09-01T23:00:00.000Z,2.1088
1975-09-02T23:00:00.000Z,2.1119
1975-09-03T23:00:00.000Z,2.1079
1975-09-04T23:00:00.000Z,2.1088
1975-09-07T23:00:00.000Z,2.1101
1975-09-08T23:00:00.000Z,2.1128
1975-09-09T23:00:00.000Z,2.1101
1975-09-10T23:00:00.000Z,2.1101
1975-09-11T23:00:00.000Z,2.107
1975-09-14T23:00:00.000Z,2.1039
1975-09-15T23:00:00.000Z,2.089
1975-09-16T23:00:00.000Z,2.0812
1975-09-17T23:00:00.000Z,2.079
1975-09-18T23:00:00.000Z,2.0799
1975-09-21T23:00:00.000Z,2.0721
1975-09-22T23:00:00.000Z,2.0442
1975-09-23T23:00:00.000Z,2.0429
1975-09-24T23:00:00.000Z,2.0479
1975-09-25T23:00:00.000Z,2.045
1975-09-28T23:00:00.000Z,2.0358
1975-09-29T23:00:00.000Z,2.0429
1975-09-30T23:00:00.000Z,2.0392
1975-10-01T23:00:00.000Z,2.0392
1975-10-02T23:00:00.000Z,2.0371
1975-10-05T23:00:00.000Z,2.0429
1975-10-06T23:00:00.000Z,2.0421
1975-10-07T23:00:00.000Z,2.0429
1975-10-08T23:00:00.000Z,2.0479
1975-10-09T23:00:00.000Z,2.058
1975-10-12T23:00:00.000Z,2.0602
1975-10-13T23:00:00.000Z,2.0471
1975-10-14T23:00:00.000Z,2.0559
1975-10-15T23:00:00.000Z,2.0559
1975-10-16T23:00:00.000Z,2.0559
1975-10-19T23:00:00.000Z,2.0602
1975-10-20T23:00:00.000Z,2.061
1975-10-21T23:00:00.000Z,2.0751
1975-10-22T23:00:00.000Z,2.0678
1975-10-23T23:00:00.000Z,2.0691
1975-10-27T00:00:00.000Z,2.0678
1975-10-28T00:00:00.000Z,2.067
1975-10-29T00:00:00.000Z,2.0678
1975-10-30T00:00:00.000Z,2.0738
1975-10-31T00:00:00.000Z,2.0781
1975-11-03T00:00:00.000Z,2.0738
1975-11-04T00:00:00.000Z,2.07
1975-11-05T00:00:00.000Z,2.064
1975-11-06T00:00:00.000Z,2.0691
1975-11-07T00:00:00.000Z,2.0631
1975-11-10T00:00:00.000Z,2.0661
1975-11-11T00:00:00.000Z,2.0631
1975-11-12T00:00:00.000Z,2.064
1975-11-13T00:00:00.000Z,2.058
1975-11-14T00:00:00.000Z,2.0442
1975-11-17T00:00:00.000Z,2.0342
1975-11-18T00:00:00.000Z,2.0371
1975-11-19T00:00:00.000Z,2.0408
1975-11-20T00:00:00.000Z,2.0458
1975-11-21T00:00:00.000Z,2.0408
1975-11-24T00:00:00.000Z,2.0392
1975-11-25T00:00:00.000Z,2.0379
