Date,Bank Rate
20-Jan-75,0.113
27-Jan-75,0.11
10-Feb-75,0.108
17-Feb-75,0.105
10-Mar-75,0.103
24-Mar-75,0.1
21-Apr-75,0.098
05-May-75,0.1
28-Jul-75,0.11
06-Oct-75,0.12
17-Nov-75,0.118
01-Dec-75,0.115
29-Dec-75,0.113
05-Jan-76,0.11
19-Jan-76,0.108
26-Jan-76,0.105
02-Feb-76,0.1
09-Feb-76,0.095
01-Mar-76,0.093
08-Mar-76,0.09
26-Apr-76,0.105
24-May-76,0.115
13-Sep-76,0.13
07-Oct-76,0.15
22-Nov-76,0.148
20-Dec-76,0.145
29-Dec-76,0.143
10-Jan-77,0.14
24-Jan-77,0.133
31-Jan-77,0.123
03-Feb-77,0.12
10-Mar-77,0.11
21-Mar-77,0.105
31-Mar-77,0.095
12-Apr-77,0.093
18-Apr-77,0.09
25-Apr-77,0.088
02-May-77,0.083
16-May-77,0.08
08-Aug-77,0.075
15-Aug-77,0.07
12-Sep-77,0.065
19-Sep-77,0.06
10-Oct-77,0.055
17-Oct-77,0.05
28-Nov-77,0.07
09-Jan-78,0.065
12-Apr-78,0.075
08-May-78,0.088
15-May-78,0.09
08-Jun-78,0.1
09-Nov-78,0.125
08-Feb-79,0.14
01-Mar-79,0.13
05-Apr-79,0.12
13-Jun-79,0.14
15-Nov-79,0.17
03-Jul-80,0.16
25-Nov-80,0.14
11-Mar-81,0.12
25-Aug-81,0.127
15-Sep-81,0.14
12-Oct-81,0.15
28-Oct-81,0.151
06-Nov-81,0.151
09-Nov-81,0.146
25-Nov-81,0.146
04-Dec-81,0.144
18-Jan-82,0.143
19-Jan-82,0.143
20-Jan-82,0.141
21-Jan-82,0.14
22-Jan-82,0.139
22-Feb-82,0.138
25-Feb-82,0.136
10-Mar-82,0.133
16-Apr-82,0.131
19-Apr-82,0.13
20-Apr-82,0.131
08-Jun-82,0.126
09-Jul-82,0.125
12-Jul-82,0.123
13-Jul-82,0.121
21-Jul-82,0.121
26-Jul-82,0.119
28-Jul-82,0.118
29-Jul-82,0.118
30-Jul-82,0.116
02-Aug-82,0.116
04-Aug-82,0.115
16-Aug-82,0.114
17-Aug-82,0.113
24-Aug-82,0.111
25-Aug-82,0.11
26-Aug-82,0.109
27-Aug-82,0.106
27-Sep-82,0.105
28-Sep-82,0.104
29-Sep-82,0.103
30-Sep-82,0.101
12-Oct-82,0.096
01-Nov-82,0.094
02-Nov-82,0.091
26-Nov-82,0.1
12-Jan-83,0.11
15-Mar-83,0.106
13-Apr-83,0.103
14-Apr-83,0.101
13-Jun-83,0.098
14-Jun-83,0.096
09-Aug-83,0.094
10-Aug-83,0.096
03-Oct-83,0.091
07-Mar-84,0.088
14-Mar-84,0.086
10-May-84,0.091
29-Jun-84,0.089
06-Jul-84,0.1
11-Jul-84,0.12
08-Aug-84,0.115
09-Aug-84,0.11
16-Aug-84,0.108
17-Aug-84,0.105
05-Nov-84,0.1
19-Nov-84,0.098
23-Nov-84,0.095
14-Jan-85,0.119
28-Jan-85,0.139
20-Mar-85,0.134
28-Mar-85,0.129
19-Apr-85,0.124
11-Jul-85,0.119
26-Jul-85,0.114
15-Jan-86,0.124
19-Mar-86,0.114
11-Apr-86,0.109
18-Apr-86,0.104
23-May-86,0.099
15-Oct-86,0.109
09-Mar-87,0.104
18-Mar-87,0.099
28-Apr-87,0.094
08-May-87,0.089
06-Aug-87,0.099
23-Oct-87,0.094
04-Nov-87,0.089
03-Dec-87,0.084
01-Feb-88,0.089
17-Mar-88,0.084
08-Apr-88,0.079
17-May-88,0.074
03-Jun-88,0.079
10-Jun-88,0.084
24-Jun-88,0.089
07-Jul-88,0.099
21-Jul-88,0.104
08-Aug-88,0.109
25-Aug-88,0.119
25-Nov-88,0.129
25-May-89,0.138
31-Aug-89,0.138
04-Sep-89,0.139
08-Sep-89,0.138
06-Oct-89,0.149
08-Oct-90,0.139
13-Feb-91,0.134
27-Feb-91,0.129
22-Mar-91,0.124
12-Apr-91,0.119
24-May-91,0.114
12-Jul-91,0.109
04-Sep-91,0.104
05-May-92,0.099
22-Sep-92,0.089
16-Oct-92,0.079
13-Nov-92,0.069
26-Jan-93,0.059
23-Nov-93,0.054
08-Feb-94,0.051
12-Sep-94,0.056
07-Dec-94,0.061
02-Feb-95,0.066
13-Dec-95,0.064
18-Jan-96,0.061
08-Mar-96,0.059
06-Jun-96,0.057
30-Oct-96,0.059
06-May-97,0.063
06-Jun-97,0.065
10-Jul-97,0.068
07-Aug-97,0.07
06-Nov-97,0.073
04-Jun-98,0.075
08-Oct-98,0.073
05-Nov-98,0.068
10-Dec-98,0.063
07-Jan-99,0.06
04-Feb-99,0.055
08-Apr-99,0.053
10-Jun-99,0.05
08-Sep-99,0.053
04-Nov-99,0.055
13-Jan-00,0.058
10-Feb-00,0.06
08-Feb-01,0.058
05-Apr-01,0.055
10-May-01,0.053
02-Aug-01,0.05
18-Sep-01,0.048
04-Oct-01,0.045
08-Nov-01,0.04
06-Feb-03,0.038
10-Jul-03,0.035
06-Nov-03,0.038
05-Feb-04,0.04
06-May-04,0.043
10-Jun-04,0.045
05-Aug-04,0.048
04-Aug-05,0.045
03-Aug-06,0.048
09-Nov-06,0.05
11-Jan-07,0.053
10-May-07,0.055
05-Jul-07,0.058
06-Dec-07,0.055
07-Feb-08,0.053
10-Apr-08,0.05
08-Oct-08,0.045
06-Nov-08,0.03
04-Dec-08,0.02
