Date,Metric,Employment
1971-02-01,Total,72.2
1971-03-01,Total,72.1
1971-04-01,Total,72.0
1971-05-01,Total,72.0
1971-06-01,Total,71.9
1971-07-01,Total,71.8
1971-08-01,Total,71.7
1971-09-01,Total,71.6
1971-10-01,Total,71.5
1971-11-01,Total,71.5
1971-12-01,Total,71.5
1972-01-01,Total,71.6
1972-02-01,Total,71.8
1972-03-01,Total,71.9
1972-04-01,Total,71.9
1972-05-01,Total,71.9
1972-06-01,Total,71.9
1972-07-01,Total,71.9
1972-08-01,Total,72.0
1972-09-01,Total,72.0
1972-10-01,Total,72.1
1972-11-01,Total,72.2
1972-12-01,Total,72.4
1973-01-01,Total,72.6
1973-02-01,Total,72.8
1973-03-01,Total,72.9
1973-04-01,Total,73.0
1973-05-01,Total,73.0
1973-06-01,Total,72.9
1973-07-01,Total,72.9
1973-08-01,Total,72.9
1973-09-01,Total,72.9
1973-10-01,Total,73.0
1973-11-01,Total,73.0
1973-12-01,Total,73.0
1974-01-01,Total,73.0
1974-02-01,Total,72.9
1974-03-01,Total,72.9
1974-04-01,Total,72.9
1974-05-01,Total,73.0
1974-06-01,Total,73.0
1974-07-01,Total,73.1
1974-08-01,Total,73.1
1974-09-01,Total,73.1
1974-10-01,Total,73.1
1974-11-01,Total,73.1
1974-12-01,Total,73.0
1975-01-01,Total,72.9
1975-02-01,Total,72.9
1975-03-01,Total,72.8
1975-04-01,Total,72.7
1975-05-01,Total,72.7
1975-06-01,Total,72.7
1975-07-01,Total,72.6
1975-08-01,Total,72.6
1975-09-01,Total,72.5
1975-10-01,Total,72.4
1975-11-01,Total,72.3
1975-12-01,Total,72.3
1976-01-01,Total,72.2
1976-02-01,Total,72.1
1976-03-01,Total,72.0
1976-04-01,Total,72.0
1976-05-01,Total,72.0
1976-06-01,Total,71.9
1976-07-01,Total,71.9
1976-08-01,Total,71.9
1976-09-01,Total,71.8
1976-10-01,Total,71.8
1976-11-01,Total,71.8
1976-12-01,Total,71.8
1977-01-01,Total,71.8
1977-02-01,Total,71.8
1977-03-01,Total,71.7
1977-04-01,Total,71.7
1977-05-01,Total,71.6
1977-06-01,Total,71.6
1977-07-01,Total,71.6
1977-08-01,Total,71.6
1977-09-01,Total,71.6
1977-10-01,Total,71.5
1977-11-01,Total,71.5
1977-12-01,Total,71.5
1978-01-01,Total,71.5
1978-02-01,Total,71.5
1978-03-01,Total,71.5
1978-04-01,Total,71.5
1978-05-01,Total,71.5
1978-06-01,Total,71.5
1978-07-01,Total,71.5
1978-08-01,Total,71.5
1978-09-01,Total,71.6
1978-10-01,Total,71.6
1978-11-01,Total,71.7
1978-12-01,Total,71.8
1979-01-01,Total,71.8
1979-02-01,Total,71.8
1979-03-01,Total,71.7
1979-04-01,Total,71.7
1979-05-01,Total,71.7
1979-06-01,Total,71.8
1979-07-01,Total,71.8
1979-08-01,Total,71.8
1979-09-01,Total,71.8
1979-10-01,Total,71.8
1979-11-01,Total,71.7
1979-12-01,Total,71.7
1980-01-01,Total,71.6
1980-02-01,Total,71.5
1980-03-01,Total,71.4
1980-04-01,Total,71.3
1980-05-01,Total,71.2
1980-06-01,Total,71.1
1980-07-01,Total,70.9
1980-08-01,Total,70.7
1980-09-01,Total,70.4
1980-10-01,Total,70.2
1980-11-01,Total,69.9
1980-12-01,Total,69.7
1981-01-01,Total,69.5
1981-02-01,Total,69.3
