Date,Metric,Value
1948-01-01,Unemployment,0.034
1948-02-01,Unemployment,0.038
1948-03-01,Unemployment,0.04
1948-04-01,Unemployment,0.039
1948-05-01,Unemployment,0.035
1948-06-01,Unemployment,0.036
1948-07-01,Unemployment,0.036
1948-08-01,Unemployment,0.039
1948-09-01,Unemployment,0.038
1948-10-01,Unemployment,0.037
1948-11-01,Unemployment,0.038
1948-12-01,Unemployment,0.04
1949-01-01,Unemployment,0.043
1949-02-01,Unemployment,0.047
1949-03-01,Unemployment,0.05
1949-04-01,Unemployment,0.053
1949-05-01,Unemployment,0.061
1949-06-01,Unemployment,0.062
1949-07-01,Unemployment,0.067
1949-08-01,Unemployment,0.068
1949-09-01,Unemployment,0.066
1949-10-01,Unemployment,0.079
1949-11-01,Unemployment,0.064
1949-12-01,Unemployment,0.066
1950-01-01,Unemployment,0.065
1950-02-01,Unemployment,0.064
1950-03-01,Unemployment,0.063
1950-04-01,Unemployment,0.0579999999999999
1950-05-01,Unemployment,0.055
1950-06-01,Unemployment,0.054
1950-07-01,Unemployment,0.05
1950-08-01,Unemployment,0.045
1950-09-01,Unemployment,0.044
1950-10-01,Unemployment,0.042
1950-11-01,Unemployment,0.042
1950-12-01,Unemployment,0.043
1951-01-01,Unemployment,0.037
1951-02-01,Unemployment,0.034
1951-03-01,Unemployment,0.034
1951-04-01,Unemployment,0.031
1951-05-01,Unemployment,0.03
1951-06-01,Unemployment,0.032
1951-07-01,Unemployment,0.031
1951-08-01,Unemployment,0.031
1951-09-01,Unemployment,0.033
1951-10-01,Unemployment,0.035
1951-11-01,Unemployment,0.035
1951-12-01,Unemployment,0.031
1952-01-01,Unemployment,0.032
1952-02-01,Unemployment,0.031
1952-03-01,Unemployment,0.0289999999999999
1952-04-01,Unemployment,0.0289999999999999
1952-05-01,Unemployment,0.03
1952-06-01,Unemployment,0.03
1952-07-01,Unemployment,0.032
1952-08-01,Unemployment,0.034
1952-09-01,Unemployment,0.031
1952-10-01,Unemployment,0.03
1952-11-01,Unemployment,0.0279999999999999
1952-12-01,Unemployment,0.027
1953-01-01,Unemployment,0.0289999999999999
1953-02-01,Unemployment,0.026
1953-03-01,Unemployment,0.026
1953-04-01,Unemployment,0.027
1953-05-01,Unemployment,0.025
1953-06-01,Unemployment,0.025
1953-07-01,Unemployment,0.026
1953-08-01,Unemployment,0.027
1953-09-01,Unemployment,0.0289999999999999
1953-10-01,Unemployment,0.031
1953-11-01,Unemployment,0.035
1953-12-01,Unemployment,0.045
1954-01-01,Unemployment,0.049
1954-02-01,Unemployment,0.052
1954-03-01,Unemployment,0.057
1954-04-01,Unemployment,0.059
1954-05-01,Unemployment,0.059
1954-06-01,Unemployment,0.0559999999999999
1954-07-01,Unemployment,0.0579999999999999
1954-08-01,Unemployment,0.06
1954-09-01,Unemployment,0.061
1954-10-01,Unemployment,0.057
1954-11-01,Unemployment,0.053
1954-12-01,Unemployment,0.05
1955-01-01,Unemployment,0.049
1955-02-01,Unemployment,0.047
1955-03-01,Unemployment,0.046
1955-04-01,Unemployment,0.047
1955-05-01,Unemployment,0.043
1955-06-01,Unemployment,0.042
1955-07-01,Unemployment,0.04
1955-08-01,Unemployment,0.042
1955-09-01,Unemployment,0.0409999999999999
1955-10-01,Unemployment,0.043
