region,year,region_n,number,cpi,cpiadj,wage,type
East Anglia,1997,1,1,70.099998,1.0,7.8299999,Annual values
East Anglia,1997,1,2,70.099998,1.0,7.8299999,Wages adjusted: 1997 prices
East Anglia,1998,1,1,71.199997,1.0156919,8.1400003,Annual values
East Anglia,1998,1,2,71.199997,1.0156919,8.0142422,Wages adjusted: 1997 prices
East Anglia,1999,1,1,72.099998,1.0285307,8.4499998,Annual values
East Anglia,1999,1,2,72.099998,1.0285307,8.2156029,Wages adjusted: 1997 prices
East Anglia,2000,1,1,72.699997,1.0370898,8.6499996,Annual values
East Anglia,2000,1,2,72.699997,1.0370898,8.3406467,Wages adjusted: 1997 prices
East Anglia,2001,1,1,73.599998,1.0499287,9.1099997,Annual values
East Anglia,2001,1,2,73.599998,1.0499287,8.6767797,Wages adjusted: 1997 prices
East Anglia,2002,1,1,74.5,1.0627675,9.54,Annual values
East Anglia,2002,1,2,74.5,1.0627675,8.9765635,Wages adjusted: 1997 prices
East Anglia,2003,1,1,75.5,1.0770328,9.8800001,Annual values
East Anglia,2003,1,2,75.5,1.0770328,9.1733513,Wages adjusted: 1997 prices
East Anglia,2004,1,1,76.5,1.0912981,10.22,Annual values
East Anglia,2004,1,2,76.5,1.0912981,9.364994,Wages adjusted: 1997 prices
East Anglia,2005,1,1,78.099998,1.1141226,10.37,Annual values
East Anglia,2005,1,2,78.099998,1.1141226,9.3077726,Wages adjusted: 1997 prices
East Anglia,2006,1,1,79.900002,1.1398003,10.88,Annual values
East Anglia,2006,1,2,79.900002,1.1398003,9.5455322,Wages adjusted: 1997 prices
East Anglia,2007,1,1,81.800003,1.1669044,11.09,Annual values
East Anglia,2007,1,2,81.800003,1.1669044,9.5037775,Wages adjusted: 1997 prices
East Anglia,2008,1,1,84.699997,1.2082739,11.52,Annual values
East Anglia,2008,1,2,84.699997,1.2082739,9.5342627,Wages adjusted: 1997 prices
East Anglia,2009,1,1,86.599998,1.235378,11.82,Annual values
East Anglia,2009,1,2,86.599998,1.235378,9.5679216,Wages adjusted: 1997 prices
East Anglia,2010,1,1,89.400002,1.275321,12.1,Annual values
East Anglia,2010,1,2,89.400002,1.275321,9.4878073,Wages adjusted: 1997 prices
East Anglia,2011,1,1,93.400002,1.3323823,12.17,Annual values
East Anglia,2011,1,2,93.400002,1.3323823,9.1340151,Wages adjusted: 1997 prices
East Anglia,2012,1,1,96.099998,1.3708987,12.28,Annual values
East Anglia,2012,1,2,96.099998,1.3708987,8.9576273,Wages adjusted: 1997 prices
East Anglia,2013,1,1,98.5,1.4051355,12.73,Annual values
East Anglia,2013,1,2,98.5,1.4051355,9.0596237,Wages adjusted: 1997 prices
East Anglia,2014,1,1,100.0,1.4265336,12.59,Annual values
East Anglia,2014,1,2,100.0,1.4265336,8.8255901,Wages adjusted: 1997 prices
East Anglia,2015,1,1,100.0,1.4265336,12.77,Annual values
East Anglia,2015,1,2,100.0,1.4265336,8.9517698,Wages adjusted: 1997 prices
East Anglia,2016,1,1,100.7,1.4365193,13.17,Annual values
East Anglia,2016,1,2,100.7,1.4365193,9.1679945,Wages adjusted: 1997 prices
East Anglia,2017,1,1,103.4,1.4750357,13.59,Annual values
East Anglia,2017,1,2,103.4,1.4750357,9.2133369,Wages adjusted: 1997 prices
East Anglia,2018,1,1,105.9,1.510699,13.84,Annual values
East Anglia,2018,1,2,105.9,1.510699,9.1613216,Wages adjusted: 1997 prices
East Anglia,2019,1,1,107.8,1.5378032,14.42,Annual values
East Anglia,2019,1,2,107.8,1.5378032,9.3770132,Wages adjusted: 1997 prices
East Anglia,2020,1,1,108.9,1.553495,14.37,Annual values
East Anglia,2020,1,2,108.9,1.553495,9.2501097,Wages adjusted: 1997 prices
East Midlands,1997,2,1,70.099998,1.0,7.1599998,Annual values
East Midlands,1997,2,2,70.099998,1.0,7.1599998,Wages adjusted: 1997 prices
East Midlands,1998,2,1,71.199997,1.0156919,7.3600001,Annual values
East Midlands,1998,2,2,71.199997,1.0156919,7.2462921,Wages adjusted: 1997 prices
East Midlands,1999,2,1,72.099998,1.0285307,7.71,Annual values
East Midlands,1999,2,2,72.099998,1.0285307,7.49613,Wages adjusted: 1997 prices
East Midlands,2000,2,1,72.699997,1.0370898,7.9099998,Annual values
East Midlands,2000,2,2,72.699997,1.0370898,7.6271114,Wages adjusted: 1997 prices
East Midlands,2001,2,1,73.599998,1.0499287,8.21,Annual values
East Midlands,2001,2,2,73.599998,1.0499287,7.8195791,Wages adjusted: 1997 prices
East Midlands,2002,2,1,74.5,1.0627675,8.6499996,Annual values
East Midlands,2002,2,2,74.5,1.0627675,8.1391268,Wages adjusted: 1997 prices
East Midlands,2003,2,1,75.5,1.0770328,9.0699997,Annual values
East Midlands,2003,2,2,75.5,1.0770328,8.4212847,Wages adjusted: 1997 prices
East Midlands,2004,2,1,76.5,1.0912981,9.3199997,Annual values
