Date,Measure,Value,Category
2015-01-01, Proportion ,11.9,Clothing
2015-02-01, Proportion ,11.6,Clothing
2015-03-01, Proportion ,11.6,Clothing
2015-04-01, Proportion ,12.3,Clothing
2015-05-01, Proportion ,11.9,Clothing
2015-06-01, Proportion ,13.3,Clothing
2015-07-01, Proportion ,12.4,Clothing
2015-08-01, Proportion ,14.0,Clothing
2015-09-01, Proportion ,13.3,Clothing
2015-10-01, Proportion ,13.4,Clothing
2015-11-01, Proportion ,13.5,Clothing
2015-12-01, Proportion ,13.9,Clothing
2016-01-01, Proportion ,13.2,Clothing
2016-02-01, Proportion ,13.5,Clothing
2016-03-01, Proportion ,12.9,Clothing
2016-04-01, Proportion ,13.5,Clothing
2016-05-01, Proportion ,13.7,Clothing
2016-06-01, Proportion ,13.7,Clothing
2016-07-01, Proportion ,13.3,Clothing
2016-08-01, Proportion ,13.8,Clothing
2016-09-01, Proportion ,13.6,Clothing
2016-10-01, Proportion ,13.7,Clothing
2016-11-01, Proportion ,14.7,Clothing
2016-12-01, Proportion ,14.4,Clothing
2017-01-01, Proportion ,14.5,Clothing
2017-02-01, Proportion ,14.9,Clothing
2017-03-01, Proportion ,14.9,Clothing
2017-04-01, Proportion ,13.8,Clothing
2017-05-01, Proportion ,14.7,Clothing
2017-06-01, Proportion ,14.7,Clothing
2017-07-01, Proportion ,15.2,Clothing
2017-08-01, Proportion ,15.7,Clothing
2017-09-01, Proportion ,15.6,Clothing
2017-10-01, Proportion ,16.1,Clothing
2017-11-01, Proportion ,15.7,Clothing
2017-12-01, Proportion ,16.4,Clothing
2018-01-01, Proportion ,17.1,Clothing
2018-02-01, Proportion ,16.2,Clothing
2018-03-01, Proportion ,17.0,Clothing
2018-04-01, Proportion ,17.5,Clothing
2018-05-01, Proportion ,18.0,Clothing
2018-06-01, Proportion ,17.3,Clothing
2018-07-01, Proportion ,17.3,Clothing
2018-08-01, Proportion ,17.6,Clothing
2018-09-01, Proportion ,18.5,Clothing
2018-10-01, Proportion ,18.1,Clothing
