description,type,name,region_s,year,price
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1988,0.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1988,0.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1988,0.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1988,0.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1988,0.88
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1988,0.82999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1988,0.83999997
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1988,0.81999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1988,0.86000001
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1988,0.82999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1988,0.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1988,1.0
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1988,11.32
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1988,11.77
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1988,11.719999
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1988,8.25
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1988,8.9499998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1988,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1988,8.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1988,8.6499996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1988,8.1899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1988,8.25
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1988,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1988,10.89
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1988,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1988,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1988,4.3499999
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1988,3.29
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1988,3.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1988,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1988,2.5899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1988,2.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1988,2.45
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1988,4.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1988,4.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1988,3.49
DRAUGHT STOUT PER PINT,Drink,Stout,London,1988,1.16
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1988,1.16
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1988,1.12
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1988,1.12
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1988,1.0599999
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1988,1.04
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1988,1.0599999
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1988,1.04
DRAUGHT STOUT PER PINT,Drink,Stout,North,1988,1.05
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1988,1.02
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1988,1.04
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1988,1.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1989,1.1
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1989,1.0599999
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1989,1.0
