Date,Rate
2022-11-03,3.0
2022-09-22,2.25
2022-08-04,1.75
2022-06-16,1.25
2022-05-05,1.0
2022-03-17,0.75
2022-02-03,0.5
2021-12-16,0.25
2020-03-19,0.1
2020-03-11,0.25
2018-08-02,0.75
2017-11-02,0.5
2016-08-04,0.25
2009-03-05,0.5
2009-02-05,1.0
2009-01-08,1.5
2008-12-04,2.0
2008-11-06,3.0
2008-10-08,4.5
2008-04-10,5.0
2008-02-07,5.25
2007-12-06,5.5
2007-07-05,5.75
2007-05-10,5.5
2007-01-11,5.25
2006-11-09,5.0
2006-08-03,4.75
2005-08-04,4.5
2004-08-05,4.75
2004-06-10,4.5
2004-05-06,4.25
2004-02-05,4.0
2003-11-06,3.75
2003-07-10,3.5
2003-02-06,3.75
2001-11-08,4.0
2001-10-04,4.5
2001-09-18,4.75
2001-08-02,5.0
2001-05-10,5.25
2001-04-05,5.5
2001-02-08,5.75
2000-02-10,6.0
2000-01-13,5.75
1999-11-04,5.5
1999-09-08,5.25
1999-06-10,5.0
1999-04-08,5.25
1999-02-04,5.5
1999-01-07,6.0
1998-12-10,6.25
1998-11-05,6.75
1998-10-08,7.25
1998-06-04,7.5
1997-11-06,7.25
1997-08-07,7.0
1997-07-10,6.75
1997-06-06,6.5
1997-05-06,6.25
1996-10-30,5.94
1996-06-06,5.69
1996-03-08,5.94
1996-01-18,6.13
1995-12-13,6.38
1995-02-02,6.63
1994-12-07,6.13
1994-09-12,5.63
1994-02-08,5.13
1993-11-23,5.38
1993-01-26,5.88
1992-11-13,6.88
1992-10-16,7.88
1992-09-22,8.88
1992-05-05,9.88
1991-09-04,10.38
1991-07-12,10.88
1991-05-24,11.38
1991-04-12,11.88
1991-03-22,12.38
1991-02-27,12.88
1991-02-13,13.38
1990-10-08,13.88
1989-10-06,14.88
1989-09-08,13.75
1989-09-04,13.88
1989-08-31,13.84
1989-05-25,13.75
1988-11-25,12.88
1988-08-25,11.88
1988-08-08,10.88
1988-07-21,10.38
1988-07-07,9.88
1988-06-24,8.88
1988-06-10,8.38
1988-06-03,7.88
1988-05-17,7.38
1988-04-08,7.88
1988-03-17,8.38
1988-02-01,8.88
1987-12-03,8.38
1987-11-04,8.88
1987-10-23,9.38
1987-08-06,9.88
1987-05-08,8.88
1987-04-28,9.38
1987-03-18,9.88
1987-03-09,10.38
1986-10-15,10.88
1986-05-23,9.88
1986-04-18,10.38
1986-04-11,10.88
1986-03-19,11.38
1986-01-15,12.38
1985-07-26,11.38
1985-07-11,11.88
1985-04-19,12.38
1985-03-28,12.88
1985-03-20,13.38
1985-01-28,13.88
1985-01-14,11.88
1984-11-23,9.5
1984-11-19,9.75
1984-11-05,10.0
1984-08-17,10.5
1984-08-16,10.75
1984-08-09,11.0
1984-08-08,11.5
1984-07-11,12.0
1984-07-06,10.0
1984-06-29,8.88
1984-05-10,9.06
1984-03-14,8.56
1984-03-07,8.81
1983-10-03,9.06
1983-08-10,9.56
1983-08-09,9.44
1983-06-14,9.56
1983-06-13,9.81
1983-04-14,10.06
1983-04-13,10.31
1983-03-15,10.56
1983-01-12,11.0
1982-11-26,10.0
1982-11-02,9.13
1982-11-01,9.38
1982-10-12,9.63
1982-09-30,10.13
1982-09-29,10.25
1982-09-28,10.38
1982-09-27,10.5
1982-08-27,10.63
1982-08-26,10.88
1982-08-25,11.0
1982-08-24,11.13
1982-08-17,11.25
1982-08-16,11.38
1982-08-04,11.5
1982-08-02,11.56
1982-07-30,11.63
1982-07-29,11.75
1982-07-28,11.81
1982-07-26,11.94
1982-07-21,12.06
1982-07-13,12.13
1982-07-12,12.25
1982-07-09,12.5
1982-06-08,12.63
1982-04-20,13.13
1982-04-19,13.0
1982-04-16,13.13
1982-03-10,13.25
1982-02-25,13.63
1982-02-22,13.81
1982-01-22,13.88
1982-01-21,14.0
1982-01-20,14.13
1982-01-19,14.25
1982-01-18,14.31
1981-12-04,14.38
1981-11-25,14.56
1981-11-09,14.63
1981-11-06,15.06
1981-10-28,15.13
1981-10-12,15.0
1981-09-15,14.0
1981-08-25,12.69
1981-03-11,12.0
1980-11-25,14.0
1980-07-03,16.0
1979-11-15,17.0
1979-06-13,14.0
1979-04-05,12.0
1979-03-01,13.0
1979-02-08,14.0
1978-11-09,12.5
1978-06-08,10.0
1978-05-15,9.0
1978-05-08,8.75
1978-04-12,7.5
1978-01-09,6.5
1977-11-28,7.0
1977-10-17,5.0
1977-10-10,5.5
1977-09-19,6.0
1977-09-12,6.5
1977-08-15,7.0
1977-08-08,7.5
1977-05-16,8.0
1977-05-02,8.25
1977-04-25,8.75
1977-04-18,9.0
1977-04-12,9.25
1977-03-31,9.5
1977-03-21,10.5
1977-03-10,11.0
1977-02-03,12.0
1977-01-31,12.25
1977-01-24,13.25
1977-01-10,14.0
1976-12-29,14.25
1976-12-20,14.5
1976-11-22,14.75
1976-10-07,15.0
1976-09-13,13.0
1976-05-24,11.5
1976-04-26,10.5
1976-03-08,9.0
1976-03-01,9.25
1976-02-09,9.5
1976-02-02,10.0
1976-01-26,10.5
1976-01-19,10.75
1976-01-05,11.0
1975-12-29,11.25
1975-12-01,11.5
1975-11-17,11.75
1975-10-06,12.0
1975-07-28,11.0
1975-05-05,10.0
1975-04-21,9.75
1975-03-24,10.0
1975-03-10,10.25
1975-02-17,10.5
1975-02-10,10.75
1975-01-27,11.0
1975-01-20,11.25
