Date,Value,Detail
1949,3.3,GDP: Year on year growth (CVM SA %)
1950,3.3,
1951,3.7,
1952,1.5,
1953,5.6,
1954,4.4,
1955,4.0,
1956,1.7,
1957,2.0,
1958,1.3,
1959,4.3,
1960,6.3,
1961,2.7,
1962,1.1,
1963,4.8,
1964,5.7,
1965,2.1,
1966,1.5,
1967,2.8,
1968,5.5,
1969,1.9,
1970,2.7,
1971,3.6,
1972,4.3,
1973,6.5,
1974,-2.5,
1975,-1.5,
1976,3.0,
1977,2.4,
1978,4.2,
1979,3.7,
1980,-2.1,
1981,-0.7,
1982,2.0,
1983,4.2,
1984,2.2,
1985,4.1,
1986,3.2,
1987,5.4,
1988,5.7,
1989,2.6,
1990,0.7,
1991,-1.1,
1992,0.4,
1993,2.5,
1994,3.8,
1995,2.5,
1996,2.5,
1997,5.0,
1998,3.7,
1999,3.3,
2000,3.5,
2001,2.7,
2002,2.2,
2003,3.3,
2004,2.3,
2005,3.0,
2006,2.7,
2007,2.4,
2008,-0.3,
2009,-4.1,
2010,2.1,
2011,1.3,
2012,1.4,
2013,2.2,
2014,2.9,
2015,2.4,
2016,1.7,
2017,1.7,
2018,1.3,
2019,1.4,
2020,-9.9,
