Date,Monthly_3_month_growth-rate_of_total_sterling_net_lending_to_individuals_not_seasonally_adjusted_ LPMB3QJ
03/31/2022,5.2
02/28/2022,4.0
01/31/2022,4.0
12/31/2021,3.6
11/30/2021,5.8
10/31/2021,5.6
09/30/2021,4.3
08/31/2021,5.4
07/31/2021,6.6
06/30/2021,7.9
05/31/2021,6.4
04/30/2021,5.1
03/31/2021,4.7
02/28/2021,3.3
01/31/2021,3.6
12/31/2020,5.1
11/30/2020,5.7
10/31/2020,5.0
09/30/2020,3.8
08/31/2020,2.7
07/31/2020,2.0
06/30/2020,-0.2
05/31/2020,-0.5
04/30/2020,0.5
03/31/2020,3.1
02/29/2020,3.8
01/31/2020,4.1
12/31/2019,4.8
11/30/2019,5.5
10/31/2019,5.5
09/30/2019,4.9
08/31/2019,4.5
07/31/2019,5.3
06/30/2019,5.4
05/31/2019,5.0
04/30/2019,3.9
03/31/2019,3.8
02/28/2019,3.4
01/31/2019,3.8
12/31/2018,4.2
11/30/2018,5.3
10/31/2018,5.3
09/30/2018,4.5
08/31/2018,4.4
07/31/2018,5.5
06/30/2018,6.0
05/31/2018,5.5
04/30/2018,4.2
03/31/2018,3.9
02/28/2018,3.7
01/31/2018,4.2
12/31/2017,4.8
11/30/2017,5.8
10/31/2017,5.8
09/30/2017,5.2
08/31/2017,5.0
07/31/2017,5.9
06/30/2017,5.7
05/31/2017,5.6
04/30/2017,4.3
03/31/2017,4.3
02/28/2017,3.7
01/31/2017,4.1
