data,confirmadosPorDia,confirmadosAcumulados,mortesPorDia,mortesAcumuladas,descartadosPorDia,descartadosAcumulados,suspeitosInternados,notificacoesSuspeitos,recuperadosPorDia,recuperadosAcumulados,testesPorDia,testesAcumulados
2020-03-18,1,1,0,0,16,16,0,80,0,0,17,17
2020-03-19,0,1,0,0,0,16,0,80,0,0,0,17
2020-03-20,0,1,0,0,0,16,0,80,0,0,0,17
2020-03-21,0,1,0,0,0,16,0,80,0,0,0,17
2020-03-22,0,1,0,0,24,40,20,187,0,0,24,41
2020-03-23,1,2,0,0,37,61,25,227,0,0,38,79
2020-03-24,1,3,0,0,39,100,22,173,0,0,40,119
2020-03-25,2,5,0,0,17,117,31,173,0,0,19,138
2020-03-26,1,6,0,0,110,227,33,173,0,0,111,249
2020-03-27,4,10,0,0,76,303,49,173,0,0,80,329
2020-03-28,4,14,0,0,45,348,49,173,0,0,49,378
2020-03-29,0,14,0,0,0,348,49,173,0,0,0,378
2020-03-30,3,17,0,0,19,367,90,173,0,0,22,400
2020-03-31,1,18,1,1,20,387,109,173,3,3,21,421
2020-04-01,3,21,0,1,37,424,115,173,0,3,40,461
2020-04-02,8,29,0,1,21,445,105,173,0,3,29,490
2020-04-03,3,32,0,1,60,505,106,649,0,3,63,553
2020-04-04,2,34,2,3,18,523,112,660,6,9,20,573
2020-04-05,1,35,1,4,40,563,138,660,0,9,41,614
2020-04-06,1,36,0,4,45,608,137,708,2,11,46,660
2020-04-07,5,41,0,4,41,649,132,1091,0,11,46,706
2020-04-08,14,55,3,7,44,693,135,1121,3,14,58,764
2020-04-09,24,79,4,11,73,770,106,1121,8,22,97,861
2020-04-10,6,85,0,11,0,770,112,1121,8,30,6,867
2020-04-11,16,101,2,13,62,832,120,1121,13,43,78,945
2020-04-12,10,111,0,13,0,832,72,1121,0,43,10,955
2020-04-13,25,136,3,16,46,878,100,1121,9,52,71,1026
2020-04-14,16,152,5,21,10,888,85,1121,0,52,26,1052
2020-04-15,13,165,3,24,32,920,81,1121,28,80,45,1097
2020-04-16,30,195,2,26,59,979,135,1121,0,80,89,1186
2020-04-17,10,205,2,28,0,979,146,1121,10,90,10,1196
2020-04-18,31,236,1,29,55,1034,148,1121,0,90,86,1282
2020-04-19,9,245,3,32,19,1053,163,1121,9,99,28,1254
2020-04-20,18,263,1,33,45,1098,148,1121,17,116,63,1317
2020-04-21,38,301,6,39,63,1161,144,2244,0,116,101,1418
2020-04-22,44,345,1,40,56,1217,148,2244,0,116,97,1515
2020-04-23,41,386,4,44,57,1274,153,2244,0,116,98,1613
2020-04-24,61,447,2,46,77,1351,141,2244,1,117,138,1751
2020-04-25,52,499,3,49,41,1392,132,2244,0,117,93,1844
