Unnamed: 0,Date,Gas Price,Price,Change %
0,2005-05-01,5.51,19.9,20.61%
1,2005-06-01,5.51,25.8,29.65%
2,2005-07-01,6.13,22.35,-13.37%
3,2005-08-01,6.13,23.95,7.16%
4,2005-09-01,6.13,22.85,-4.59%
5,2005-10-01,6.96,21.9,-4.16%
6,2005-11-01,6.96,20.15,-7.99%
7,2005-12-01,6.96,22.1,9.68%
8,2006-01-01,7.66,27.55,24.66%
9,2006-02-01,7.66,27.4,-0.54%
10,2006-03-01,7.66,28.4,3.65%
11,2006-04-01,8.14,14.25,-49.82%
12,2006-05-01,8.14,17.4,22.11%
13,2006-06-01,8.14,16.55,-4.89%
14,2006-07-01,8.4,16.85,1.81%
15,2006-08-01,8.4,16.5,-2.08%
16,2006-09-01,8.4,13.3,-19.39%
17,2006-10-01,8.65,11.25,-15.41%
18,2006-11-01,8.65,8.2,-27.11%
19,2006-12-01,8.65,6.6,-19.51%
20,2007-01-01,8.39,2.35,-64.39%
21,2007-02-01,8.39,0.95,-59.57%
22,2007-03-01,8.39,1.31,37.89%
23,2007-04-01,7.83,0.53,-59.54%
24,2007-05-01,7.83,0.29,-45.28%
25,2007-06-01,7.83,0.13,-55.17%
26,2007-07-01,7.79,0.12,-7.69%
27,2007-08-01,7.79,0.1,-16.67%
28,2007-09-01,7.79,0.08,-20.00%
29,2007-10-01,8.56,0.09,12.50%
30,2007-11-01,8.56,0.01,-88.89%
31,2007-12-01,8.56,22.41,224000.00%
32,2008-01-01,10.27,19.1,-14.77%
33,2008-02-01,10.27,21.31,11.57%
34,2008-03-01,10.27,22.27,4.50%
35,2008-04-01,11.9,23.88,7.23%
36,2008-05-01,11.9,26.1,9.30%
37,2008-06-01,11.9,28.77,10.23%
38,2008-07-01,14.36,22.06,-23.32%
39,2008-08-01,14.36,25.19,14.19%
40,2008-09-01,14.36,22.35,-11.27%
41,2008-10-01,16.02,17.94,-19.73%
42,2008-11-01,16.02,15.52,-13.49%
43,2008-12-01,16.02,15.45,-0.45%
44,2009-01-01,16.02,11.57,-25.11%
45,2009-02-01,14.47,9.96,-13.92%
46,2009-03-01,11.47,11.45,14.96%
47,2009-04-01,8.6,13.92,21.57%
48,2009-05-01,8.6,14.65,5.24%
49,2009-06-01,8.6,13.15,-10.24%
50,2009-07-01,6.79,13.66,3.88%
51,2009-08-01,6.18,14.89,9.00%
52,2009-09-01,6.18,13.36,-10.28%
53,2009-10-01,6.45,14.54,8.83%
54,2009-11-01,6.45,13.14,-9.63%
55,2009-12-01,6.45,12.31,-6.32%
56,2010-01-01,7.59,12.71,3.25%
57,2010-02-01,7.59,12.86,1.18%
58,2010-03-01,7.59,12.71,-1.17%
59,2010-04-01,8.35,15.84,24.63%
60,2010-05-01,7.87,15.02,-5.18%
61,2010-06-01,8.06,15.19,1.13%
62,2010-07-01,8.48,14.08,-7.31%
63,2010-08-01,8.57,15.22,8.10%
64,2010-09-01,8.49,15.41,1.25%
65,2010-10-01,8.64,14.63,-5.06%
66,2010-11-01,8.71,14.76,0.89%
67,2010-12-01,8.73,14.02,-5.01%
68,2011-01-01,9.19,14.76,5.28%
69,2011-02-01,9.14,15.3,3.66%
70,2011-03-01,9.12,16.88,10.33%
71,2011-04-01,10.03,16.7,-1.07%
72,2011-05-01,10.02,16.69,-0.06%
73,2011-06-01,10.0,13.36,-19.95%
74,2011-07-01,11.2,12.11,-9.36%
75,2011-08-01,11.11,12.84,6.03%
76,2011-09-01,11.11,10.66,-16.98%
77,2011-10-01,12.11,10.12,-5.07%
78,2011-11-01,12.02,8.35,-17.49%
79,2011-12-01,12.11,6.97,-16.53%
80,2012-01-01,12.33,7.84,12.48%
81,2012-02-01,12.22,8.34,6.38%
82,2012-03-01,12.51,6.98,-16.31%
83,2012-04-01,12.57,7.48,7.16%
84,2012-05-01,12.57,6.27,-16.18%
85,2012-06-01,12.56,8.2,30.78%
86,2012-07-01,11.38,6.88,-16.10%
87,2012-08-01,11.4,8.03,16.72%
88,2012-09-01,11.38,7.93,-1.25%
89,2012-10-01,11.57,8.23,3.78%
90,2012-11-01,11.64,6.2,-24.67%
91,2012-12-01,11.64,6.45,4.03%
92,2013-01-01,11.39,3.31,-48.68%
93,2013-02-01,11.36,4.8,45.02%
