Year,Country,Value 1,Value 2
1990,Brazil,70.45802056,0.0
1991,Brazil,70.00565437,-0.6
1992,Brazil,69.55328817,-1.3
1993,Brazil,69.10092198,-1.9
1994,Brazil,68.64855578,-2.6
1995,Brazil,68.19618958,-3.2
1996,Brazil,67.74382339,-3.9
1997,Brazil,67.29145719,-4.5
1998,Brazil,66.83909099,-5.1
1999,Brazil,66.3867248,-5.8
2000,Brazil,65.9343586,-6.4
2001,Brazil,65.4616709,-7.1
2002,Brazil,64.98898319,-7.8
2003,Brazil,64.51629549,-8.4
2004,Brazil,64.04360779,-9.1
2005,Brazil,63.57092009,-9.8
2006,Brazil,63.09823238,-10.5
2007,Brazil,62.62554468,-11.1
2008,Brazil,62.15285698,-11.8
2009,Brazil,61.68016927,-12.5
2010,Brazil,61.20748157,-13.1
2011,Brazil,61.02332816,-13.4
2012,Brazil,60.83917474,-13.7
2013,Brazil,60.65502133,-13.9
2014,Brazil,60.47086792,-14.2
2015,Brazil,60.28671451,-14.4
2016,Brazil,60.07103255,-14.7
2017,Brazil,59.83288148,-15.1
2018,Brazil,59.70842795,-15.3
1990,Indonesia,65.43771425,0.0
1991,Indonesia,64.48467352,-1.5
1992,Indonesia,63.53163278,-2.9
1993,Indonesia,62.57859205,-4.4
1994,Indonesia,61.62555132,-5.8
1995,Indonesia,60.67251058,-7.3
1996,Indonesia,59.71946985,-8.7
1997,Indonesia,58.76642912,-10.2
1998,Indonesia,57.81338839,-11.7
1999,Indonesia,56.86034765,-13.1
2000,Indonesia,55.90730692,-14.6
2001,Indonesia,55.81783757,-14.7
2002,Indonesia,55.72836821,-14.8
2003,Indonesia,55.63889886,-15.0
2004,Indonesia,55.5494295,-15.1
2005,Indonesia,55.45996015,-15.3
2006,Indonesia,55.37049079,-15.4
2007,Indonesia,55.28102143,-15.5
2008,Indonesia,55.19155208,-15.7
2009,Indonesia,55.10208272,-15.8
2010,Indonesia,55.01261337,-15.9
2011,Indonesia,54.50131102,-16.7
2012,Indonesia,53.99000867,-17.5
2013,Indonesia,53.47870632,-18.3
2014,Indonesia,52.96740396,-19.1
2015,Indonesia,52.45610161,-19.8
2016,Indonesia,50.74345453,-22.5
2017,Indonesia,50.03933382,-23.5
2018,Indonesia,49.71681778,-24.0
1990,North Korea,67.91416131,0.0
1991,North Korea,67.83640887,-0.1
1992,North Korea,67.75865644,-0.2
1993,North Korea,67.680904,-0.3
1994,North Korea,67.60315157,-0.5
1995,North Korea,67.52539913,-0.6
1996,North Korea,67.44764669,-0.7
1997,North Korea,67.36989426,-0.8
1998,North Korea,67.29214182,-0.9
1999,North Korea,67.21438938,-1.0
2000,North Korea,67.13663695,-1.1
2001,North Korea,66.85032045,-1.6
2002,North Korea,66.72383511,-1.8
2003,North Korea,66.625,-1.9
2004,North Korea,66.51931419,-2.1
2005,North Korea,66.40681466,-2.2
2006,North Korea,66.29438481,-2.4
2007,North Korea,66.17519604,-2.6
2008,North Korea,66.03567378,-2.8
2009,North Korea,65.89635277,-3.0
2010,North Korea,65.70987654,-3.3
2011,North Korea,65.61374627,-3.4
2012,North Korea,65.43006885,-3.7
2013,North Korea,65.24952271,-3.9
