Year,Spending,Caseload
2017,1.0880755767860704,1.550470556547592
2018,1.1649258241672142,1.571808439229093
2019,1.193050117263984,1.594029984975503
2020,1.182043734634279,1.6173808223292254
2021,1.20813683418206,1.641975297755555
2022,1.2347233898983123,1.6685651892363258
2023,1.2593550301905936,1.7142024306330685
2024,1.2807793293704854,1.7490909171684221
2025,1.2996600553368185,1.7724155554460541
2026,1.315732784671207,1.7885181509276236
2027,1.3394100244594416,1.816683125435958
2028,1.36034242169676,1.8457056971549177
2029,1.378652224033181,1.874991259670189
2030,1.3951091562871958,1.9044491508991401
2031,1.4090830875655527,1.933994704302021
2032,1.4400643212630089,1.9711977986018148
2033,1.4692552207545753,2.010022855375027
2034,1.4968374001972962,2.050095960826345
2035,1.5224921397504072,2.0912368766522116
2036,1.5459728880082966,2.1343790888473726
2037,1.567973847130702,2.1585947757194552
2038,1.5880616904605929,2.1834928828784825
2039,1.6064438043153875,2.2090931572116737
2040,1.6234508074733038,2.23541774568746
2041,1.6392607617492287,2.26245178426704
2042,1.6613399590593507,2.288746411601797
2043,1.6816502842262595,2.3157014207016524
2044,1.70049686077251,2.343333538858987
2045,1.7181140523248846,2.3716496278095422
2046,1.734399482655074,2.400668106635948
2047,1.756294994724436,2.427585522383956
2048,1.7768924812532063,2.455152734042299
2049,1.7961288476532027,2.4833495176063027
2050,1.813840999285368,2.5121571302588417
2051,1.8297935975863875,2.54155070097316
2052,1.8444238689663612,2.560583669359885
2053,1.857532391940444,2.5799136896692385
2054,1.8692927230491445,2.599485934959504
2055,1.8800756795457751,2.619242026100811
2056,1.8901543412907504,2.6391264114661803
2057,1.8984590188674733,2.648249150457194
2058,1.9055918679953332,2.657255919869097
2059,1.9114881091818727,2.66608159271944
2060,1.9163298327304767,2.674722896781892
2061,1.9198885024495673,2.6832321140205444
2062,1.9247684976938648,2.689030282101832
2063,1.928260556743743,2.694698858439865
2064,1.9303496007515386,2.7002591270863814
2065,1.9308662629434943,2.705734703359174
2066,1.9290342074463058,2.711153552040837
2067,1.931916379727491,2.722664794355959
2068,1.9336945059614132,2.733035674690106
