Year,Congo_DR,Japan,Kenya,UK
1980,8372.44,273862.7,2112.19,915.042
1981,8451.52,285390.6,2198.79,908.707
1982,8413.11,294844.0,2309.88,926.621
1983,8531.73,305231.2,2346.68,965.509
1984,8945.05,318973.0,2384.23,987.166
1985,8986.57,335666.0,2481.34,1027.87
1986,9410.76,346832.1,2654.59,1060.26
1987,9662.13,363239.5,2808.84,1117.43
1988,9707.02,387885.4,2979.92,1181.48
1989,9584.7,406729.0,3115.63,1211.94
1990,8955.15,426629.2,3244.42,1220.83
1991,8198.84,441209.1,3287.88,1207.36
1992,7341.1,444950.7,3252.36,1212.21
1993,6352.38,442646.4,3249.28,1242.4
1994,5962.1,446522.3,3331.52,1290.18
1995,6126.79,458270.2,3474.34,1322.84
1996,6008.25,472631.9,3618.46,1355.8
1997,5537.21,477269.5,3633.33,1423.25
1998,5322.64,471206.6,3741.7,1476.03
1999,5120.25,469633.0,3823.99,1524.66
2000,4703.67,482616.8,3837.26,1578.12
2001,4604.88,484480.3,3989.94,1621.21
2002,4740.62,484683.4,4009.14,1656.53
2003,5005.05,492124.1,4127.37,1711.56
2004,5342.31,502882.4,4318.68,1750.69
2005,5670.07,511953.9,4563.32,1802.44
2006,5971.77,518979.7,4830.47,1850.99
2007,6345.57,526681.2,5161.39,1894.68
2008,6740.64,520233.1,5173.38,1889.4
2009,6933.09,490615.0,5344.46,1811.67
2010,7425.89,510720.0,5793.51,1849.25
2011,7936.4,510841.6,6090.21,1872.84
2012,8498.84,517864.3,6368.45,1899.63
2013,9219.71,528248.1,6610.31,1941.16
2014,10092.84,529812.7,6942.16,1996.73
2015,10790.88,538081.3,7287.02,2043.91
2016,11049.79,542137.5,7594.06,2079.11
2017,11461.61,551220.0,7883.82,2115.3
2018,12128.17,554300.4,8327.6,2141.79
2019,12660.6,554381.7,8742.41,2172.51
2020,12880.32,528960.5,8714.77,1958.59
2021,13506.51,541433.13,9202.67,2091.04
2022,14262.08,558750.93,9758.94,2195.88
2023,15205.3,566401.42,10316.45,2238.07
2024,16240.27,571081.6,10882.45,2274.31
2025,17326.56,574331.23,11482.9,2308.67
2026,18269.76,577164.42,12116.15,2343.33
