timestamp,variable,value
2020-01-03T01:46:00+00:00,latitude,34.40593
2020-01-03T01:46:30+00:00,latitude,34.399564999999996
2020-01-03T01:47:00+00:00,latitude,34.38539
2020-01-03T01:47:30+00:00,latitude,34.37109
2020-01-03T01:48:00+00:00,latitude,34.35415
2020-01-03T01:48:30+00:00,latitude,34.34789
2020-01-03T01:49:00+00:00,latitude,34.36681
2020-01-03T01:49:30+00:00,latitude,34.40252
2020-01-03T01:50:00+00:00,latitude,34.43269
2020-01-03T01:50:30+00:00,latitude,34.45769
2020-01-03T01:51:00+00:00,latitude,34.48476
2020-01-03T01:51:30+00:00,latitude,34.51451
2020-01-03T01:52:00+00:00,latitude,34.5466
2020-01-03T01:52:30+00:00,latitude,34.58022750000001
2020-01-03T01:53:00+00:00,latitude,34.61632
2020-01-03T01:53:30+00:00,latitude,34.65861666666667
2020-01-03T01:54:00+00:00,latitude,34.70206
2020-01-03T01:54:30+00:00,latitude,34.74573
2020-01-03T01:55:00+00:00,latitude,34.78686
2020-01-03T01:55:30+00:00,latitude,34.81233
2020-01-03T01:56:00+00:00,latitude,34.82661
2020-01-03T01:56:30+00:00,latitude,34.84177
2020-01-03T01:57:00+00:00,latitude,34.85887
2020-01-03T01:57:30+00:00,latitude,34.8907
2020-01-03T01:58:00+00:00,latitude,34.93469
2020-01-03T01:58:30+00:00,latitude,34.9828
2020-01-03T01:59:00+00:00,latitude,35.03091
2020-01-03T01:59:30+00:00,latitude,35.07972
2020-01-03T02:00:00+00:00,latitude,35.12939
2020-01-03T02:00:30+00:00,latitude,35.1795
2020-01-03T02:01:00+00:00,latitude,35.22963
2020-01-03T02:01:30+00:00,latitude,35.28525
2020-01-03T02:02:00+00:00,latitude,35.34716
2020-01-03T02:02:30+00:00,latitude,35.4104
2020-01-03T02:03:00+00:00,latitude,35.47374
2020-01-03T02:03:30+00:00,latitude,35.53826
2020-01-03T02:04:00+00:00,latitude,35.60362
2020-01-03T02:04:30+00:00,latitude,35.66922
2020-01-03T02:05:00+00:00,latitude,35.73615
2020-01-03T02:05:30+00:00,latitude,35.79982
2020-01-03T02:06:00+00:00,latitude,35.86585
2020-01-03T02:06:30+00:00,latitude,35.93074
2020-01-03T02:07:00+00:00,latitude,35.99698
2020-01-03T02:07:30+00:00,latitude,36.06157
2020-01-03T02:08:00+00:00,latitude,36.12542
2020-01-03T02:08:30+00:00,latitude,36.190545
2020-01-03T02:09:00+00:00,latitude,36.25493
2020-01-03T02:09:30+00:00,latitude,36.31966
2020-01-03T02:10:00+00:00,latitude,36.38351
2020-01-03T02:10:30+00:00,latitude,36.44668
2020-01-03T02:11:00+00:00,latitude,36.51097
2020-01-03T02:11:30+00:00,latitude,36.57479
2020-01-03T02:12:00+00:00,latitude,36.63986
2020-01-03T02:12:30+00:00,latitude,36.70546
2020-01-03T02:13:00+00:00,latitude,36.77019
2020-01-03T02:13:30+00:00,latitude,36.83414
2020-01-03T02:14:00+00:00,latitude,36.89882
2020-01-03T02:14:30+00:00,latitude,36.96424666666667
