Year,A Population,B Median Age,C Life Expectancy,D Fertility Rate
1950,83.656263,21.2,59.2,3.66
1951,85.049834,21.4,61.0,3.25
1952,86.317114,21.7,63.0,2.96
1953,87.526413,22.0,63.3,2.68
1954,88.587867,22.4,64.5,2.48
1955,89.59817,22.8,65.7,2.38
1956,90.582392,23.2,65.5,2.23
1957,91.460728,23.6,65.4,2.06
1958,92.214602,24.0,67.0,2.12
1959,93.127989,24.4,67.4,2.06
1960,94.023981,24.8,67.7,2.02
1961,94.905697,25.2,68.3,1.99
1962,95.805218,25.6,68.6,2.0
1963,96.730548,26.0,69.7,2.03
1964,97.762875,26.3,70.2,2.07
1965,98.875812,26.6,70.2,2.14
1966,100.061681,27.0,71.0,1.63
1967,100.872133,27.3,71.4,2.17
1968,102.18357,27.6,71.6,2.09
1969,103.454988,27.9,71.9,2.07
1970,104.749167,28.2,72.0,2.09
1971,106.084511,28.5,72.8,2.1
1972,107.494199,28.8,73.2,2.11
1973,108.946608,29.1,73.4,2.13
1974,110.412331,29.5,73.8,2.06
1975,111.787714,29.8,74.3,1.94
1976,113.035567,30.0,74.7,1.86
1977,114.214163,30.3,75.3,1.81
1978,115.30887,30.7,75.6,1.79
1979,116.31018,31.1,76.2,1.76
1980,117.220838,31.6,76.1,1.75
1981,118.027554,32.2,76.5,1.7
1982,118.743891,32.8,77.1,1.72
1983,119.452393,33.3,77.1,1.75
1984,120.135111,33.9,77.5,1.76
1985,120.806342,34.5,77.8,1.74
1986,121.43172,35.0,78.2,1.68
1987,121.98889,35.5,78.6,1.69
1988,122.54888,36.0,78.5,1.66
1989,123.047723,36.4,79.0,1.57
1990,123.493572,36.9,79.0,1.53
1991,123.87907,37.4,79.3,1.53
1992,124.268916,37.8,79.3,1.5
1993,124.62047,38.2,79.4,1.46
1994,124.938683,38.6,79.8,1.49
1995,125.299854,39.0,79.7,1.42
1996,125.568083,39.3,80.3,1.43
1997,125.884363,39.7,80.6,1.39
1998,126.171606,40.0,80.6,1.38
1999,126.445174,40.4,80.6,1.34
2000,126.664952,40.7,81.2,1.37
2001,126.94277,41.1,81.5,1.33
2002,127.188691,41.4,81.8,1.32
2003,127.41481,41.8,81.9,1.29
2004,127.589895,42.1,82.1,1.29
2005,127.752682,42.4,82.0,1.27
2006,127.844064,42.8,82.4,1.32
2007,127.96027,43.1,82.6,1.34
2008,128.052582,43.5,82.6,1.37
2009,128.102684,43.9,83.0,1.37
2010,128.1314,44.2,82.9,1.39
2011,128.079462,44.5,82.7,1.39
2012,127.935051,44.8,83.2,1.41
2013,127.772324,45.1,83.4,1.43
2014,127.585524,45.5,83.7,1.42
2015,127.367946,45.9,83.9,1.44
2016,127.13392,46.3,84.1,1.43
2017,126.853795,46.7,84.2,1.35
2018,126.471149,47.1,84.3,1.33
2019,126.040583,47.6,84.4,1.29
2020,125.54277,48.0,84.7,1.29
2021,124.946751,48.4,84.8,1.3
2022,124.27831,48.7,84.8,1.31
2023,123.625074,49.1,84.9,1.32
2024,122.963952,49.5,85.1,1.33
2025,122.298912,49.9,85.2,1.33
2026,121.621903,50.3,85.3,1.34
2027,120.943073,50.6,85.5,1.35
2028,120.258125,50.9,85.6,1.36
2029,119.56635,51.2,85.7,1.37
2030,118.867844,51.5,85.8,1.37
2031,118.161759,51.7,86.0,1.38
2032,117.449601,52.0,86.1,1.38
2033,116.730564,52.2,86.2,1.39
2034,116.005822,52.3,86.4,1.4
2035,115.276333,52.5,86.5,1.4
2036,114.537784,52.6,86.6,1.4
2037,113.792127,52.7,86.7,1.41
2038,113.041357,52.9,86.9,1.41
2039,112.287775,53.0,87.0,1.42
2040,111.533658,53.0,87.1,1.43
2041,110.780745,53.1,87.2,1.44
2042,110.029669,53.2,87.4,1.44
2043,109.279611,53.3,87.5,1.44
2044,108.528309,53.3,87.6,1.44
2045,107.782781,53.3,87.7,1.45
2046,107.041805,53.4,87.8,1.45
2047,106.306901,53.4,88.0,1.46
2048,105.578175,53.5,88.1,1.46
2049,104.855062,53.6,88.2,1.46
2050,104.139503,53.6,88.3,1.47
2051,103.429211,53.7,88.4,1.47
2052,102.724161,53.8,88.6,1.48
2053,102.023321,53.9,88.7,1.49
2054,101.322598,54.1,88.8,1.48
2055,100.616826,54.2,88.9,1.48
2056,99.905484,54.3,89.0,1.49
2057,99.190471,54.4,89.2,1.49
2058,98.467954,54.5,89.3,1.49
2059,97.739841,54.6,89.4,1.49
2060,97.003071,54.6,89.5,1.49
2061,96.259843,54.7,89.6,1.5
2062,95.511994,54.7,89.7,1.5
2063,94.75989,54.8,89.9,1.5
2064,94.003128,54.8,90.0,1.49
2065,93.242407,54.9,90.1,1.49
2066,92.482622,54.9,90.2,1.5
2067,91.725483,54.9,90.3,1.5
2068,90.972133,54.9,90.4,1.51
2069,90.230855,54.9,90.6,1.5
2070,89.496583,54.9,90.7,1.51
2071,88.777055,54.9,90.8,1.51
2072,88.071595,54.9,90.9,1.51
2073,87.383716,54.8,91.0,1.51
2074,86.713006,54.7,91.2,1.52
2075,86.064531,54.6,91.3,1.51
2076,85.43504,54.5,91.4,1.51
2077,84.824272,54.4,91.5,1.52
2078,84.234152,54.3,91.6,1.52
2079,83.662621,54.2,91.7,1.52
2080,83.106313,54.1,91.9,1.52
2081,82.566885,54.1,92.0,1.53
2082,82.043815,54.0,92.1,1.52
2083,81.531237,54.0,92.2,1.52
2084,81.029615,54.0,92.3,1.53
2085,80.539322,54.0,92.4,1.53
2086,80.056258,54.0,92.5,1.53
2087,79.579382,54.0,92.7,1.53
2088,79.109356,54.0,92.8,1.53
2089,78.646239,54.1,92.9,1.53
2090,78.186027,54.1,93.0,1.54
2091,77.732609,54.1,93.1,1.54
2092,77.282078,54.1,93.3,1.54
2093,76.83643,54.2,93.4,1.54
2094,76.394104,54.2,93.5,1.54
2095,75.956923,54.2,93.6,1.55
2096,75.525277,54.3,93.7,1.54
2097,75.096079,54.3,93.8,1.55
2098,74.673427,54.3,93.9,1.55
2099,74.257952,54.4,94.0,1.55
2100,73.845864,54.4,94.2,1.55
