care_site_id,care_site_short_name,stay_type,date,n_visit,c,c_hat,legend_predictor,legend_model
8312052888,HOSPITAL 3,All,2009-01,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-02,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-03,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-04,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-05,2.0,4.207270331423511e-05,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-06,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-07,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-08,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-09,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-10,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-11,1.0,2.1036351657117556e-05,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2009-12,0.0,0.0,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-01,431.0,0.009066667564217666,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-02,446.0,0.009382212839074429,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-03,476.0,0.010013303388787956,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-04,516.0,0.010854757455072658,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-05,1012.0,0.021288787877002967,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-06,936.0,0.01969002515106203,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-07,743.0,0.015630009281238342,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-08,726.0,0.015272391303067345,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-09,689.0,0.014494046291753996,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-10,652.0,0.013715701280440645,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-11,702.0,0.014767518863296523,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2010-12,668.0,0.014052282906954526,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-01,1164.0,0.024486313328884835,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-02,1044.0,0.021961951130030726,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-03,1394.0,0.02932467421002187,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-04,1117.0,0.02349760480100031,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-05,1462.0,0.030755146122705867,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-06,6994.0,0.14712824348988018,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-07,6096.0,0.1282375997017886,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-08,4670.0,0.09823976223873898,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-09,7021.0,0.14769622498462234,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-10,7335.0,0.15430163940495725,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-11,7319.0,0.15396505777844338,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2011-12,6959.0,0.14639197118188108,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-01,9019.0,0.18972685559554323,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-02,7581.0,0.1594765819126082,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-03,8699.0,0.1829952230652656,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-04,8781.0,0.18472020390114924,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-05,7484.0,0.15743605580186779,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-06,8167.0,0.17180388398367907,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-07,8366.0,0.17599011796344546,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-08,5118.0,0.10766404778112765,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-09,7669.0,0.16132778085843452,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-10,8882.0,0.18684487541851813,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-11,8094.0,0.1702682303127095,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2012-12,7519.0,0.1581723281098669,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-01,9780.0,0.20573551920660968,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-02,8551.0,0.1798818430200122,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-03,8229.0,0.17310813778642037,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-04,9352.0,0.19673196069736337,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-05,8333.0,0.17529591835876057,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-06,9091.0,0.1912414729148557,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-07,9531.0,0.2004974676439874,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-08,5433.0,0.11429049855311968,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-09,8506.0,0.17893520719544193,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-10,9281.0,0.19523837972970803,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-11,8768.0,0.18444673132960673,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2013-12,8845.0,0.18606653040720478,0.0,Predictor c(t),Model f(t)
8312052888,HOSPITAL 3,All,2014-01,11731.0,0.24677744128964604,0.0,Predictor c(t),Model f(t)
