Year,USDGBP1,USDGBP2,USDGBP3,usdGBP,Sources
1791,4.56,,,4.56,"1.  Millenium of Macro Data, BoE"
1792,4.47,,,4.47,2.  FRED
1793,4.51,,,4.51,3.  Current market rate. 
1794,4.75,,,4.75,
1795,4.53,,,4.53,
1796,4.29,,,4.29,
1797,4.44,,,4.44,
1798,4.39,,,4.39,
1799,4.13,,,4.13,
1800,4.55,,,4.55,
1801,4.38,,,4.38,
1802,4.48,,,4.48,
1803,4.54,,,4.54,
1804,4.55,,,4.55,
1805,4.35,,,4.35,
1806,4.43,,,4.43,
1807,4.43,,,4.43,
1808,4.63,,,4.63,
1809,4.57,,,4.57,
1810,4.3,,,4.3,
1811,3.82,,,3.82,
1812,3.62,,,3.62,
1813,3.75,,,3.75,
1814,4.24,,,4.24,
1815,4.9,,,4.9,
1816,5.22,,,5.22,
1817,4.6,,,4.6,
1818,4.5,,,4.5,
1819,4.51,,,4.51,
1820,4.52,,,4.52,
1821,4.82,,,4.82,
1822,4.98,,,4.98,
1823,4.8,,,4.8,
1824,4.87,,,4.87,
1825,4.83,,,4.83,
1826,4.92,,,4.92,
1827,4.94,,,4.94,
1828,4.93,,,4.93,
1829,4.86,,,4.86,
1830,4.76,,,4.76,
1831,4.86,,,4.86,
1832,4.86,,,4.86,
1833,4.79,,,4.79,
1834,4.64,,,4.64,
1835,4.85,,,4.85,
1836,4.82,,,4.82,
1837,5.15,,,5.15,
1838,4.83,,,4.83,
1839,4.86,,,4.86,
1840,4.79,,,4.79,
1841,4.86,,,4.86,
1842,4.77,,,4.77,
1843,4.79,,,4.79,
1844,4.86,,,4.86,
1845,4.87,,,4.87,
1846,4.82,,,4.82,
1847,4.79,,,4.79,
1848,4.87,,,4.87,
1849,4.81,,,4.81,
1850,4.87,,,4.87,
1851,4.91,,,4.91,
1852,4.9,,,4.9,
1853,4.89,,,4.89,
1854,4.88,,,4.88,
1855,4.89,,,4.89,
1856,4.91,,,4.91,
1857,4.89,,,4.89,
1858,4.86,,,4.86,
1859,4.9,,,4.9,
1860,4.85,,,4.85,
1861,4.77,,,4.77,
1862,5.56,,,5.56,
1863,7.07,,,7.07,
1864,9.97,,,9.97,
1865,7.69,,,7.69,
1866,6.88,,,6.88,
1867,6.75,,,6.75,
1868,6.83,,,6.83,
1869,6.48,,,6.48,
1870,5.59,,,5.59,
1871,5.46,,,5.46,
1872,5.44,,,5.44,
1873,5.55,,,5.55,
1874,5.42,,,5.42,
1875,5.59,,,5.59,
1876,5.42,,,5.42,
1877,5.08,,,5.08,
1878,4.89,,,4.89,
1879,4.85,,,4.85,
1880,4.84,,,4.84,
1881,4.83,,,4.83,
1882,4.87,,,4.87,
1883,4.85,,,4.85,
1884,4.85,,,4.85,
1885,4.86,,,4.86,
1886,4.86,,,4.86,
1887,4.85,,,4.85,
1888,4.87,,,4.87,
1889,4.87,,,4.87,
1890,4.86,,,4.86,
1891,4.86,,,4.86,
1892,4.87,,,4.87,
1893,4.86,,,4.86,
1894,4.88,,,4.88,
1895,4.89,,,4.89,
1896,4.87,,,4.87,
1897,4.86,,,4.86,
1898,4.85,,,4.85,
1899,4.86,,,4.86,
1900,4.87,,,4.87,
1901,4.87,,,4.87,
1902,4.87,,,4.87,
1903,4.86,,,4.86,
1904,4.87,,,4.87,
1905,4.87,,,4.87,
1906,4.85,,,4.85,
1907,4.86,,,4.86,
1908,4.87,,,4.87,
1909,4.87,,,4.87,
1910,4.86,,,4.86,
1911,4.86,,,4.86,
1912,4.87,,,4.87,
1913,4.86,,,4.86,
1914,4.93,,,4.93,
1915,4.76,,,4.76,
1916,4.77,,,4.77,
1917,4.76,,,4.76,
1918,4.77,,,4.77,
1919,4.43,,,4.43,
1920,3.66,,,3.66,
1921,3.85,,,3.85,
1922,4.43,,,4.43,
1923,4.57,,,4.57,
1924,4.42,,,4.42,
1925,4.83,,,4.83,
1926,4.86,,,4.86,
1927,4.86,,,4.86,
1928,4.87,,,4.87,
1929,4.86,,,4.86,
1930,4.86,,,4.86,
1931,4.53,,,4.53,
1932,3.5,,,3.5,
1933,4.22,,,4.22,
1934,5.04,,,5.04,
1935,4.9,,,4.9,
1936,4.97,,,4.97,
1937,4.94,,,4.94,
1938,4.89,,,4.89,
1939,4.44,,,4.44,
1940,3.83,,,3.83,
1941,4.03,,,4.03,
1942,4.04,,,4.04,
1943,4.04,,,4.04,
1944,4.04,,,4.04,
1945,4.03,,,4.03,
1946,4.03,,,4.03,
1947,4.03,,,4.03,
1948,4.03,,,4.03,
1949,3.62,,,3.62,
1950,2.8,,,2.8,
1951,2.8,,,2.8,
1952,2.8,,,2.8,
1953,2.81,,,2.81,
1954,2.81,,,2.81,
1955,2.8,,,2.8,
1956,2.8,,,2.8,
1957,2.8,,,2.8,
1958,2.81,,,2.81,
1959,2.81,,,2.81,
1960,2.81,,,2.81,
1961,2.8,,,2.8,
1962,2.81,,,2.81,
1963,2.8,,,2.8,
1964,2.79,,,2.79,
1965,2.8,,,2.8,
1966,2.79,,,2.79,
1967,2.76,,,2.76,
1968,2.39,,,2.39,
1969,2.39,,,2.39,
1970,2.4,,,2.4,
1971,2.44,,,2.44,
1972,2.5,,,2.5,
1973,2.45,,,2.45,
1974,2.34,,,2.34,
1975,2.23,,,2.23,
1976,1.8,,,1.8,
1977,1.75,,,1.75,
1978,1.92,,,1.92,
1979,2.12,,,2.12,
1980,2.33,,,2.33,
1981,2.03,,,2.03,
1982,1.75,,,1.75,
1983,1.52,,,1.52,
1984,1.34,,,1.34,
1985,1.3,,,1.3,
1986,1.47,,,1.47,
1987,1.64,,,1.64,
1988,1.78,,,1.78,
1989,1.64,,,1.64,
1990,1.79,,,1.79,
1991,1.77,,,1.77,
1992,1.77,,,1.77,
1993,1.5,,,1.5,
1994,1.53,,,1.53,
1995,1.58,,,1.58,
1996,1.56,,,1.56,
1997,1.64,,,1.64,
1998,1.66,,,1.66,
1999,1.62,,,1.62,
2000,1.52,,,1.52,
2001,1.44,,,1.44,
2002,1.5,,,1.5,
2003,1.64,,,1.64,
2004,1.83,,,1.83,
2005,1.82,,,1.82,
2006,1.84,,,1.84,
2007,2.0,,,2.0,
2008,1.85,,,1.85,
2009,1.57,,,1.57,
2010,1.55,,,1.55,
2011,1.6,,,1.6,
2012,1.59,,,1.59,
2013,1.56,,,1.56,
2014,1.65,,,1.65,
2015,1.53,,,1.53,
2016,1.35,,,1.35,
2017,,1.289,,1.29,
2018,,1.3363,,1.34,
2019,,1.2768,,1.28,
2020,,1.2829,,1.28,
2021,,1.3764,,1.38,
2022,,1.2371,,1.24,
2023,,,1.2,1.2,
