speed,x,pred
5,0,430.0225418252815
5,1,431.5575195249564
5,2,433.0262224544306
5,3,434.4301209469742
5,4,435.7706853358578
5,5,437.0493859543517
5,6,438.267693135726
5,7,439.4270772132511
5,8,440.5290085201975
5,9,441.5749573898354
5,10,442.5663941554352
5,11,443.5047891502672
5,12,444.39161270760167
5,13,445.228335160709
5,14,446.0164268428597
5,15,446.7573580873238
5,16,447.45259922737176
5,17,448.1036205962739
5,18,448.7118925273007
5,19,449.2788853537223
5,20,449.806069408809
5,21,450.2949150258314
5,22,450.7468925380596
5,23,451.163472278764
5,24,451.5461245812149
5,25,451.8963197786828
5,26,452.2155282044378
5,27,452.5052201917503
5,28,452.7668660738907
5,29,453.0019361841293
5,30,453.2119008557365
5,31,453.3982304219825
5,32,453.5623952161377
5,33,453.7058655714724
5,34,453.830111821257
5,35,453.9366042987618
5,36,454.0268133372571
5,37,454.10220927001336
5,38,454.1642624303007
5,39,454.2144431513897
5,40,454.2542217665505
5,41,454.2850686090535
5,42,454.308454012169
5,43,454.3258483091675
5,44,454.338721833319
5,45,454.34854491789423
5,46,454.3567878961632
5,47,454.3649211013964
5,48,454.3744148668641
5,49,454.38673952583673
5,50,454.40336541158456
5,51,454.4257628573779
5,52,454.4554021964871
5,53,454.4937537621825
5,54,454.54228788773446
5,55,454.6024749064132
5,56,454.6757851514892
5,57,454.7636889562327
5,58,454.8676566539142
5,59,454.9891585778037
5,60,455.1296650611719
5,61,455.2906464372888
5,62,455.4735730394251
5,63,455.6799152008508
5,64,455.9111432548364
5,65,456.1687275346521
5,66,456.45413837356847
5,67,456.7688461048557
5,68,457.114321061784
5,69,457.4920335776239
5,70,457.90345398564574
5,71,458.3500526191197
5,72,458.8332998113162
5,73,459.3546658955056
5,74,459.9156212049581
5,75,460.5176360729442
5,76,461.16218083273424
5,77,461.8507258175984
5,78,462.58474136080713
5,79,463.3656977956306
5,80,464.1950654553394
5,81,465.0743146732036
5,82,466.00491578249387
5,83,466.9883391164801
5,84,468.0260550084331
5,85,469.1195337916228
5,86,470.27024579931975
5,87,471.4796613647943
5,88,472.7492508213165
5,89,474.0804845021571
5,90,475.4748327405861
5,91,476.9337658698741
5,92,478.4587542232912
5,93,480.0512681341079
5,94,481.7127779355943
5,95,483.4447539610211
5,96,485.2486665436583
5,97,487.1259860167765
5,98,489.0781827136457
5,99,491.1067269675366
5,100,493.2130891117192
6,0,460.8665678802665
6,1,462.8168856220048
6,2,464.673896883453
6,3,466.4396770305797
6,4,468.1163014293535
6,5,469.7058454457427
6,6,471.21038444571593
6,7,472.6319937952417
6,8,473.97274886028856
6,9,475.234725006825
6,10,476.4199976008194
6,11,477.5306420082407
6,12,478.5687335950569
6,13,479.5363477272368
6,14,480.4355597707488
6,15,481.2684450915615
6,16,482.0370790556434
6,17,482.74353702896303
6,18,483.3898943774889
6,19,483.97822646718953
6,20,484.5106086640333
6,21,484.9891163339889
6,22,485.4158248430248
6,23,485.7928095571096
6,24,486.1221458422115
6,25,486.4059090642994
6,26,486.6461745893417
