year,TW
1986-01-01T00:00:00,4.895914130699999e-05
1987-01-01T00:00:00,6.914488435719999e-05
1988-01-01T00:00:00,0.0001169632301386
1989-01-01T00:00:00,0.0009186572857539999
1990-01-01T00:00:00,0.0012532272624007999
1991-01-01T00:00:00,0.001429480171106
1992-01-01T00:00:00,0.0015948004560242
1993-01-01T00:00:00,0.0019156175088346
1994-01-01T00:00:00,0.0025123803237818
1995-01-01T00:00:00,0.0027358811805056
1996-01-01T00:00:00,0.0032110858944471997
1997-01-01T00:00:00,0.0041434327265084
1998-01-01T00:00:00,0.005491441083827799
1999-01-01T00:00:00,0.0072743460465176
2000-01-01T00:00:00,0.0106860218208828
2001-01-01T00:00:00,0.0132543328141836
2002-01-01T00:00:00,0.0179359041411292
2003-01-01T00:00:00,0.0218358087116866
2004-01-01T00:00:00,0.0283417339054188
2005-01-01T00:00:00,0.0348501625115544
2006-01-01T00:00:00,0.044248131117740994
2007-01-01T00:00:00,0.056611534315195604
2008-01-01T00:00:00,0.07293292758871939
2009-01-01T00:00:00,0.0906437781236594
2010-01-01T00:00:00,0.1114718207435368
2011-01-01T00:00:00,0.1419137592115852
2012-01-01T00:00:00,0.16695653427832097
2013-01-01T00:00:00,0.2062058261579412
2014-01-01T00:00:00,0.2289903964817518
2015-01-01T00:00:00,0.2591696667800308
2016-01-01T00:00:00,0.2965299597130804
2017-01-01T00:00:00,0.34875896957286057
2018-01-01T00:00:00,0.38785960945774217
2019-01-01T00:00:00,0.425010186146669
