dateUTC,value,employees
2020-10-04,0.152,0-9
2020-11-01,0.116,0-9
2020-11-15,0.149,0-9
2020-11-29,0.146,0-9
2020-12-13,0.125,0-9
2020-12-23,0.112,0-9
2021-01-10,0.154,0-9
2021-01-24,0.157,0-9
2021-02-07,0.145,0-9
2021-02-21,0.127,0-9
2021-03-07,0.13,0-9
2021-03-21,0.107,0-9
2021-04-04,0.127,0-9
2021-04-18,0.108,0-9
2021-05-02,0.092,0-9
2021-05-16,0.076,0-9
2021-05-30,0.077,0-9
2021-06-13,0.079,0-9
2021-06-27,0.089,0-9
2021-07-25,0.068,0-9
2021-08-22,0.066,0-9
2021-09-19,0.061,0-9
2021-10-17,0.045,0-9
2020-10-04,0.082,10-49
2020-11-01,0.079,10-49
2020-11-15,0.094,10-49
2020-11-29,0.079,10-49
2020-12-13,0.087,10-49
2020-12-23,0.08,10-49
2021-01-10,0.104,10-49
2021-01-24,0.105,10-49
2021-02-07,0.1,10-49
2021-02-21,0.092,10-49
2021-03-07,0.084,10-49
2021-03-21,0.076,10-49
2021-04-04,0.057,10-49
2021-04-18,0.056,10-49
2021-05-02,0.04,10-49
2021-05-16,0.036,10-49
2021-05-30,0.033,10-49
2021-06-13,0.039,10-49
2021-06-27,0.031,10-49
2021-07-25,0.029,10-49
2021-08-22,0.032,10-49
2021-09-19,0.029,10-49
2021-10-17,0.02,10-49
2020-10-04,0.002,50-99
2020-11-01,0.002,50-99
2020-11-15,0.009,50-99
2020-11-29,0.006,50-99
2020-12-13,0.009,50-99
2020-12-23,0.005,50-99
2021-01-10,0.007,50-99
2021-01-24,0.007,50-99
2021-02-07,0.008,50-99
2021-02-21,0.004,50-99
2021-03-07,0.006,50-99
2021-03-21,0.006,50-99
2021-04-04,0.003,50-99
2021-04-18,0.004,50-99
2021-05-02,0.002,50-99
2021-05-16,0.003,50-99
2021-05-30,0.003,50-99
2021-06-13,0.004,50-99
2021-06-27,0.005,50-99
2021-07-25,0.003,50-99
2021-08-22,0.002,50-99
2021-09-19,0.003,50-99
2021-10-17,0.002,50-99
2020-10-04,0.031,100-249
2020-11-01,0.031,100-249
2020-11-15,0.033,100-249
2020-11-29,0.033,100-249
2020-12-13,0.028,100-249
2020-12-23,0.026,100-249
2021-01-10,0.037,100-249
2021-01-24,0.033,100-249
2021-02-07,0.037,100-249
2021-02-21,0.034,100-249
2021-03-07,0.036,100-249
2021-03-21,0.029,100-249
2021-04-04,0.029,100-249
2021-04-18,0.03,100-249
2021-05-02,0.019,100-249
2021-05-16,0.016,100-249
2021-05-30,0.018,100-249
2021-06-13,0.017,100-249
2021-06-27,0.013,100-249
2021-07-25,0.01,100-249
2021-08-22,0.01,100-249
2021-09-19,0.006,100-249
2021-10-17,0.008,100-249
2020-10-04,0.016,250+
2020-11-01,0.007,250+
2020-11-15,0.007,250+
2020-11-29,0.008,250+
2020-12-13,0.007,250+
2020-12-23,0.007,250+
2021-01-10,0.006,250+
2021-01-24,0.008,250+
2021-02-07,0.009,250+
2021-02-21,0.005,250+
2021-03-07,0.007,250+
2021-03-21,0.004,250+
2021-04-04,0.006,250+
2021-04-18,0.004,250+
2021-05-02,0.003,250+
2021-05-16,0.004,250+
2021-05-30,0.002,250+
2021-06-13,0.004,250+
2021-06-27,0.005,250+
2021-07-25,0.005,250+
2021-08-22,0.003,250+
2021-09-19,0.001,250+
2021-10-17,0.001,250+
2020-10-04,0.145,All firms
2020-11-01,0.112,All firms
2020-11-15,0.142,All firms
2020-11-29,0.139,All firms
2020-12-13,0.12,All firms
2020-12-23,0.108,All firms
2021-01-10,0.147,All firms
2021-01-24,0.151,All firms
2021-02-07,0.139,All firms
2021-02-21,0.122,All firms
2021-03-07,0.124,All firms
2021-03-21,0.104,All firms
2021-04-04,0.119,All firms
2021-04-18,0.102,All firms
2021-05-02,0.087,All firms
2021-05-16,0.071,All firms
2021-05-30,0.072,All firms
2021-06-13,0.074,All firms
2021-06-27,0.082,All firms
2021-07-25,0.063,All firms
2021-08-22,0.063,All firms
2021-09-19,0.057,All firms
2021-10-17,0.042,All firms
