Year,WORLD,Democratic Republic of the Congo,India,China,Japan,S Korea,Indonesia,Brazil,Chile,Russia,UK,Italy,Spain,France,Canada,US
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.010284679,0.031448614,0.009713482,0.003399046,-0.003365543,0.000702196,0.010376314,0.0067465,0.00502992,-0.000153754,0.004730136,-0.001560604,-0.000204728,0.002338851,0.008631091,0.005777679
2022,0.020417955,0.063413231,0.019295153,0.006355505,-0.007049684,0.001184376,0.020513344,0.013145403,0.007008869,-0.000880642,0.009013773,-0.003292143,-0.000762189,0.004764597,0.017123001,0.011488189
2023,0.030405097,0.095917958,0.028732818,0.008895775,-0.011030843,0.001458771,0.030420506,0.019206066,0.006964665,-0.002096051,0.012961891,-0.005198536,-0.001614787,0.007226162,0.025497271,0.017149663
2024,0.040258451,0.129004912,0.038008639,0.011068453,-0.0152798,0.001521109,0.040111841,0.024951269,0.00642324,-0.003668345,0.016731549,-0.007320619,-0.002654488,0.009628975,0.033780157,0.022779017
2025,0.049987015,0.16270569,0.047106542,0.012911948,-0.019770296,0.001369146,0.049597252,0.030398556,0.006527759,-0.005493754,0.020440679,-0.009680075,-0.003800381,0.011905197,0.041990366,0.028389371
2026,0.059588187,0.197014944,0.05601755,0.01442933,-0.024489546,0.001014918,0.058878056,0.035544533,0.007546894,-0.007540125,0.024130099,-0.012252855,-0.005050563,0.014048884,0.050134522,0.033985613
2027,0.069056252,0.231920091,0.064734707,0.015614182,-0.029424124,0.000474671,0.067949601,0.040381167,0.009235356,-0.009811788,0.027781235,-0.014982875,-0.006433737,0.016092837,0.058207643,0.039570838
2028,0.078393887,0.26743807,0.073245384,0.016486264,-0.034544603,-0.000251847,0.07680854,0.04491677,0.011601725,-0.012281993,0.031379944,-0.01782571,-0.007933883,0.018050737,0.066203211,0.045151301
2029,0.087604827,0.303589457,0.081535894,0.017068822,-0.039816991,-0.001168948,0.085449267,0.04916258,0.014523016,-0.014928407,0.034891493,-0.020729823,-0.009534083,0.019944384,0.07410888,0.050731902
2030,0.096691226,0.340384525,0.089592427,0.017380645,-0.045213173,-0.002284667,0.09386688,0.053127298,0.01788477,-0.017726766,0.038291825,-0.023657158,-0.011221012,0.02178821,0.081913071,0.05631142
2031,0.105653879,0.377821891,0.097407498,0.017434387,-0.050712521,-0.003594206,0.102059442,0.056816106,0.021789676,-0.020651168,0.041588661,-0.026590198,-0.012986693,0.02358315,0.089617295,0.061895369
2032,0.114490338,0.415881768,0.10496897,0.017234932,-0.056304731,-0.005108897,0.110024885,0.060229576,0.026271475,-0.023668988,0.044802475,-0.029530202,-0.014828408,0.025316992,0.097218688,0.06747017
2033,0.123195584,0.454531787,0.112252983,0.016783626,-0.061985449,-0.006875709,0.117757461,0.063366529,0.031038319,-0.026742525,0.047934255,-0.032481403,-0.016748319,0.026973208,0.104691897,0.072991178
2034,0.131762732,0.493728906,0.119231493,0.016077932,-0.067755732,-0.008955809,0.125250448,0.066223881,0.035689869,-0.02983098,0.050984427,-0.03545781,-0.018752092,0.028528693,0.112005946,0.078399146
2035,0.140186493,0.533434547,0.125883241,0.015117694,-0.073613067,-0.01139433,0.132497968,0.068800427,0.039925123,-0.032899748,0.05395445,-0.038473828,-0.020845161,0.029965417,0.119138686,0.083649935
2036,0.148464405,0.573624505,0.132198776,0.013907502,-0.07954799,-0.014208457,0.139496428,0.071098913,0.043636005,-0.035928073,0.056844162,-0.041529757,-0.023030649,0.031278476,0.126083334,0.088728031
2037,0.156596588,0.614279662,0.138177862,0.012456126,-0.085544529,-0.017389979,0.146243132,0.073124888,0.046870643,-0.038901072,0.05965782,-0.044633781,-0.025309175,0.032466922,0.132846832,0.093639653
2038,0.164583456,0.655372542,0.143821131,0.010772191,-0.091586452,-0.02092647,0.15273444,0.074883408,0.049677894,-0.04179886,0.06240768,-0.047819874,-0.027682387,0.033521591,0.139441288,0.098389999
2039,0.172426496,0.696874448,0.149133541,0.008865616,-0.097655083,-0.024793959,0.158966892,0.076380783,0.052170229,-0.044604085,0.065109533,-0.051131666,-0.03015176,0.034433477,0.145884746,0.102992799
2040,0.180126351,0.738756128,0.154120623,0.006744588,-0.103734538,-0.028973389,0.164937269,0.077622896,0.054426691,-0.047304071,0.067773793,-0.05460432,-0.032721636,0.035196666,0.152193633,0.107459875
2041,0.187682428,0.78099392,0.158781483,0.004416292,-0.109816635,-0.033463514,0.170644728,0.0786131,0.056440218,-0.049889211,0.070403864,-0.058250091,-0.035397106,0.035808078,0.158373805,0.111792997
2042,0.19509284,0.823558472,0.163119054,0.001883772,-0.11589477,-0.03826595,0.176087311,0.079355908,0.058168019,-0.052358079,0.072995326,-0.062074934,-0.038188307,0.036269567,0.1644295,0.115992752
2043,0.202355388,0.866409307,0.167148417,-0.000853916,-0.121957535,-0.043367494,0.181260122,0.079859928,0.059621654,-0.054719221,0.075539091,-0.066097638,-0.041112628,0.036587291,0.17037545,0.120070514
2044,0.209467455,0.909501285,0.170889371,-0.003800155,-0.127993448,-0.048752601,0.186157411,0.080135215,0.060812214,-0.056987459,0.078022813,-0.070337916,-0.044191564,0.036770582,0.17622864,0.12404054
2045,0.216426954,0.952795805,0.17435801,-0.006955717,-0.133994154,-0.054408025,0.190775933,0.080189911,0.061752568,-0.059176811,0.080435063,-0.074808539,-0.047443103,0.036827741,0.182003509,0.12791653
2046,0.223232954,0.996263122,0.177560949,-0.010315437,-0.139956457,-0.060320056,0.195115511,0.080029193,0.062448784,-0.061291493,0.082775177,-0.079517741,-0.050873554,0.036763151,0.187712827,0.131707167
