Unnamed: 0,person_id,departure_time,from_x,from_y,to_x,to_y,simulated_travel_time,validated_travel_time,simulated_distance,validated_distance,id,line_name,points
1,200740,20419,372810.625,5672390.5,350740.61,5669930.27,1678,1948,32602.08,32823,1,expected,points
2,190651,57152,344991.655,5676700.81,373840.165,5684007.405,2103,2590,37901.77,38769,2,expected,points
3,233338,58328,344983.0,5699165.94,346609.7,5676324.57,1484,1608,26953.29,26877,3,expected,points
4,171984,38546,338352.735,5673173.06,344512.89,5675703.99,832,886,8269.48,8071,4,expected,points
5,33747,39302,339709.2,5677057.1,340153.905,5678037.71,225,351,1995.42,2439,5,expected,points
6,111866,62982,352959.635,5667530.85,352084.69,5671556.29,540,476,11033.55,5818,6,expected,points
7,86497,51124,346054.775,5677516.395,345472.675,5676809.17,270,304,1632.77,1593,7,expected,points
8,221129,38524,342671.82,5676196.94,328565.935,5679658.055,900,1213,21444.48,21900,8,expected,points
9,46280,40030,346826.865,5679626.62,355407.925,5670641.365,1530,1478,14269.0,15056,9,expected,points
10,27832,42352,348389.765,5674865.895,343290.275,5680608.98,1008,1151,8704.37,9323,10,expected,points
11,90501,21626,348371.685,5672419.46,358756.83,5679880.21,1268,1275,18983.92,23260,11,expected,points
12,126719,58637,345420.1,5674824.93,346462.18,5674267.29,408,632,2684.05,2627,12,expected,points
13,13389,72785,345394.26,5676564.91,341856.635,5675321.49,582,612,5077.61,4645,13,expected,points
14,55706,77157,346829.685,5680866.72,346713.595,5680464.705,78,99,618.61,632,14,expected,points
15,58565,74017,344598.52,5682073.405,345850.105,5682900.61,194,246,1995.79,1962,15,expected,points
16,95049,65177,344649.01,5677614.84,344336.77,5677187.505,160,661,1784.06,2779,16,expected,points
17,264813,50311,351717.795,5644986.015,344189.535,5683070.6,2983,2820,47931.46,51213,17,expected,points
18,128602,75075,345871.325,5677219.375,344892.84,5676972.23,173,258,1396.67,1390,18,expected,points
19,154420,50327,350090.76,5685154.48,342676.56,5686087.635,962,861,8818.63,8839,19,expected,points
20,176745,21271,338828.39,5667920.83,345351.015,5676893.18,1579,1299,16213.89,17590,20,expected,points
21,240522,46809,339020.415,5697810.97,344485.165,5677027.325,2031,2183,32738.62,37175,21,expected,points
22,224197,36673,345974.995,5683659.09,347243.915,5682543.935,418,385,2929.67,2777,22,expected,points
23,88023,63809,340835.865,5678316.07,338984.11,5677151.105,270,381,3013.56,2671,23,expected,points
24,123769,72569,350572.11,5675810.885,353411.29,5674356.96,482,534,4854.3,4141,24,expected,points
25,21933,49932,345394.65,5674966.775,344648.77,5674294.32,173,232,1423.34,1390,25,expected,points
26,240004,66238,344669.065,5673255.275,340238.7,5699265.225,2725,2206,38622.11,53619,26,expected,points
27,109866,61157,344357.385,5677544.64,350077.28,5671484.055,973,888,12116.4,12622,27,expected,points
28,109232,82282,361448.26,5640607.88,350993.425,5670344.285,2122,1918,36827.94,42751,28,expected,points
29,196748,55207,345262.945,5678477.62,344511.84,5676655.955,607,573,4054.08,3949,29,expected,points
30,67034,32888,356161.965,5672151.065,345573.26,5679180.1,1413,1497,18336.28,18703,30,expected,points
31,239250,42626,351256.225,5670277.005,342405.59,5688202.11,2356,1966,23217.81,26101,31,expected,points
32,62343,71302,344763.22,5679612.56,343917.24,5679981.89,143,212,1544.0,1625,32,expected,points
33,193356,49142,345860.13,5679423.235,344336.77,5677187.505,338,964,3348.98,5706,33,expected,points
34,21507,23180,346145.32,5673835.44,357576.25,5667275.59,1075,1254,20653.63,20234,34,expected,points
35,243882,28989,345533.45,5692699.24,347268.66,5673685.245,2077,1467,25874.38,34942,35,expected,points
36,201670,37725,344448.61,5682957.83,344210.355,5683059.025,188,223,984.51,1201,36,expected,points
37,279827,47197,344618.93,5674047.96,344699.095,5677442.695,862,693,4488.87,3932,37,expected,points
38,228273,55372,347885.545,5674496.04,356341.74,5725936.655,3103,3595,64813.62,72865,38,expected,points
39,272179,43944,363866.48,5657627.715,346942.59,5678452.775,1972,2449,33282.66,35479,39,expected,points
40,22884,58734,345950.555,5684396.59,345961.03,5676297.445,1225,1260,11207.0,11541,40,expected,points
41,227144,35732,356169.495,5710851.745,340443.52,5677998.045,1992,2473,50985.19,52409,41,expected,points
42,6476,70742,345750.59,5676296.745,345297.165,5675881.37,121,194,835.82,905,42,expected,points
43,100677,29195,351809.52,5668587.78,356784.735,5664315.215,713,705,7590.65,7475,43,expected,points
44,70129,27306,344862.145,5678730.505,343143.375,5677967.67,287,436,3309.31,3449,44,expected,points
45,190260,67819,378176.47,5685292.105,345134.85,5678531.89,2202,2224,42788.68,43735,45,expected,points
46,277679,46193,351825.78,5708694.755,344677.065,5677089.5,2027,2245,42747.93,40700,46,expected,points
47,52556,58318,342248.205,5678428.88,345463.825,5682286.035,719,731,7102.25,7162,47,expected,points
48,191512,30506,367457.695,5679863.84,344204.945,5674761.01,1818,1535,31632.34,28321,48,expected,points
49,238054,51254,348228.8,5678042.785,341005.965,5691393.76,1515,1418,20508.49,25139,49,expected,points
50,203654,64750,353174.405,5666127.19,382780.085,5707269.255,2651,3114,66991.74,66512,50,expected,points
51,33216,35133,348831.955,5674610.94,346940.48,5678094.135,500,0,4587.97,0,51,expected,points
52,248304,45357,330231.545,5690130.74,344605.68,5676647.6,1917,1845,24012.1,32943,52,expected,points
53,35037,47528,351487.015,5670145.975,347970.755,5671284.715,478,588,4942.78,5233,53,expected,points
54,129609,51577,338949.775,5680211.305,342068.785,5677961.59,417,757,4652.54,4776,54,expected,points
55,61517,55762,348186.18,5681492.625,346515.49,5678936.535,379,508,3864.13,3815,55,expected,points
56,224761,22563,349780.07,5703957.975,347407.77,5672741.325,2376,1961,47240.25,46785,56,expected,points
57,50028,67914,342901.905,5682150.22,344678.27,5680032.895,282,247,3381.37,3019,57,expected,points
58,169848,72171,342440.69,5688096.4,336571.02,5676860.77,1348,1440,18946.93,19084,58,expected,points
59,143475,67852,348664.83,5671989.53,356480.36,5664620.97,859,1034,13747.03,13782,59,expected,points
60,92894,20828,348253.86,5671879.425,345584.225,5674234.45,658,691,5315.89,4796,60,expected,points
61,13899,74022,350437.53,5670680.87,343545.795,5676177.96,843,889,12298.41,13558,61,expected,points
62,180409,68450,343126.33,5675978.145,333366.795,5663908.27,1213,1426,21121.86,21045,62,expected,points
63,217366,18665,354604.935,5701724.765,344559.875,5682842.59,2359,1329,24843.53,32311,63,expected,points
64,17535,42021,346437.58,5678891.4,344965.12,5674629.55,613,788,5663.63,5595,64,expected,points
65,258659,45630,344039.77,5673176.915,346684.8,5654342.835,1156,1438,25804.85,26064,65,expected,points
66,199457,69309,360317.935,5673301.41,352273.7,5674721.75,622,929,9938.52,10414,66,expected,points
67,186332,33477,331849.61,5675615.14,348156.015,5678715.59,1671,1534,21740.17,22069,67,expected,points
68,10726,27492,344133.035,5675184.145,341700.675,5678812.415,626,646,6446.15,6791,68,expected,points
69,136765,68303,363188.155,5672530.31,344485.165,5677027.325,1802,1715,24159.51,27331,69,expected,points
70,216153,26068,353047.855,5700215.925,344807.76,5683566.925,1762,1456,24074.17,22527,70,expected,points
71,155770,59627,343646.69,5675757.755,349084.39,5686612.315,1654,1259,14776.42,18713,71,expected,points
72,271113,83043,344114.64,5682707.81,362555.66,5654629.36,1694,2019,47064.64,47009,72,expected,points
73,143548,57935,347109.735,5674283.735,357462.285,5664751.7,1776,1131,17405.95,17980,73,expected,points
74,169327,47384,342773.115,5671041.31,345747.025,5676868.065,905,1012,9966.76,9430,74,expected,points
75,250672,63654,347498.26,5677188.265,325633.055,5685898.535,1978,1982,28169.2,35402,75,expected,points
76,223421,64144,345564.86,5689092.205,351355.25,5703688.02,1230,1432,22249.94,25348,76,expected,points
77,122113,36909,344934.505,5683413.84,341093.23,5678972.595,870,1059,9155.37,10446,77,expected,points
78,244259,62228,344609.9,5679920.49,345939.41,5678909.345,319,342,2490.71,2191,78,expected,points
79,186758,58666,350993.425,5670344.285,331509.425,5676719.115,1701,1721,28630.62,28257,79,expected,points
80,16929,77213,343090.535,5678464.295,344863.59,5674410.695,580,677,5971.34,5687,80,expected,points
81,53750,25276,345498.805,5682007.975,344703.22,5682503.595,129,215,1514.04,1539,81,expected,points
82,53972,56474,376518.12,5705583.355,348450.535,5680033.715,2104,2387,48259.94,48768,82,expected,points
83,47462,32816,345939.41,5678909.345,345694.24,5677959.985,180,195,1556.42,1197,83,expected,points
84,103110,55836,353484.215,5667650.995,352875.015,5667700.24,165,159,1216.68,924,84,expected,points
85,186494,46037,330426.77,5676892.555,345138.81,5676247.335,1056,1194,18333.57,22747,85,expected,points
86,112496,72508,351193.67,5671476.445,363623.505,5689572.055,1443,1686,34435.52,34408,86,expected,points
87,160796,46757,343646.69,5675757.755,342855.24,5676134.005,213,237,1473.24,1640,87,expected,points
88,58304,33717,344822.56,5679735.9,346755.655,5683962.325,776,752,7245.66,8482,88,expected,points
89,200428,26630,361255.175,5662909.23,343990.215,5676614.18,2234,2073,34597.97,34709,89,expected,points
90,255040,61213,342533.59,5676001.375,330622.94,5662899.78,1202,1527,25643.81,26045,90,expected,points
91,133791,28203,355786.38,5676363.31,352000.935,5670527.575,764,867,12072.65,11617,91,expected,points
92,209505,39737,364549.315,5701234.12,347342.45,5677466.46,1620,1872,34201.45,34352,92,expected,points
93,270427,71088,350897.46,5677527.435,345825.335,5676867.75,709,887,6718.81,7106,93,expected,points
94,8907,82259,345223.78,5674975.705,344039.995,5676081.83,274,363,2880.74,2795,94,expected,points
95,185605,38826,342689.84,5677726.355,334657.955,5676588.505,577,729,11705.18,11434,95,expected,points
96,47435,35909,345852.7,5677879.015,333177.335,5689979.99,1234,1412,20960.99,22687,96,expected,points
97,49085,81433,347130.395,5676571.51,345202.885,5680741.64,506,551,5585.5,5780,97,expected,points
98,33212,73661,338073.095,5673236.82,349387.835,5674817.08,1099,1265,13137.75,12980,98,expected,points
99,269559,40899,348616.04,5671034.21,344998.56,5677113.325,955,1024,9312.83,9337,99,expected,points
100,71964,25634,345936.84,5679291.0,344860.655,5679334.18,196,180,1573.9,1391,100,expected,points
101,126172,24969,350817.235,5680761.33,352913.935,5664717.5,1212,1482,27184.2,27278,101,expected,points
102,72489,22514,345738.225,5679123.43,346440.655,5680325.13,191,257,1768.29,2163,102,expected,points
103,161038,35384,343054.77,5678805.75,344699.095,5677442.695,393,435,3082.54,3756,103,expected,points
104,107678,21934,351142.415,5670361.91,346510.67,5684115.89,2500,1641,20327.82,21978,104,expected,points
105,237198,77900,343640.655,5675445.905,346970.985,5706706.745,1859,1906,36786.04,37847,105,expected,points
106,4615,40377,345364.125,5678936.7,345769.295,5679237.715,63,140,670.15,745,106,expected,points
