k,y,s,s1,s2,s3,d,a,y2_a,y2_b,y2,s2.1,a2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.4,0.2,0.5,0.9,0.05,0.35,1.0,0.0,1.0,0.3,0.25
2,1.414213562,0.565685425,0.4,1.0,1.8,0.1,0.465685425,1.414213562,0.0,1.414213562,0.424264069,0.324264069
3,1.732050808,0.692820323,0.6,1.5,2.7,0.15,0.542820323,1.732050808,0.0,1.732050808,0.519615242,0.369615242
4,2.0,0.8,0.8,2.0,3.6,0.2,0.6,2.0,0.0,2.0,0.6,0.4
5,2.236067977,0.894427191,1.0,2.5,4.5,0.25,0.644427191,2.236067977,0.0,2.236067977,0.670820393,0.420820393
6,2.449489743,0.979795897,1.2,3.0,5.4,0.3,0.679795897,2.449489743,0.0,2.449489743,0.734846923,0.434846923
7,2.645751311,1.058300524,1.4,3.5,6.3,0.35,0.708300524,2.645751311,0.0,2.645751311,0.793725393,0.443725393
8,2.828427125,1.13137085,1.6,4.0,7.2,0.4,0.73137085,2.828427125,0.0,2.828427125,0.848528137,0.448528137
9,3.0,1.2,1.8,4.5,8.1,0.45,0.75,3.0,0.0,3.0,0.9,0.45
10,3.16227766,1.264911064,2.0,5.0,9.0,0.5,0.764911064,3.16227766,0.0,3.16227766,0.948683298,0.448683298
11,3.31662479,1.326649916,2.2,5.5,9.9,0.55,0.776649916,3.31662479,0.0,3.31662479,0.994987437,0.444987437
12,3.464101615,1.385640646,2.4,6.0,10.8,0.6,0.785640646,3.464101615,0.0,3.464101615,1.039230485,0.439230485
13,3.605551275,1.44222051,2.6,6.5,11.7,0.65,0.79222051,3.605551275,0.0,3.605551275,1.081665383,0.431665383
14,3.741657387,1.496662955,2.8,7.0,12.6,0.7,0.796662955,3.741657387,0.0,3.741657387,1.122497216,0.422497216
15,3.872983346,1.549193338,3.0,7.5,13.5,0.75,0.799193338,3.872983346,0.0,3.872983346,1.161895004,0.411895004
16,4.0,1.6,3.2,8.0,14.4,0.8,0.8,4.0,0.0,4.0,1.2,0.4
17,4.123105626,1.64924225,3.4,8.5,15.3,0.85,0.79924225,4.123105626,0.0,4.123105626,1.236931688,0.386931688
18,4.242640687,1.697056275,3.6,9.0,16.2,0.9,0.797056275,4.242640687,0.0,4.242640687,1.272792206,0.372792206
19,4.358898944,1.743559577,3.8,9.5,17.1,0.95,0.793559577,4.358898944,0.0,4.358898944,1.307669683,0.357669683
20,4.472135955,1.788854382,4.0,10.0,18.0,1.0,0.788854382,4.472135955,0.0,4.472135955,1.341640786,0.341640786
21,4.582575695,1.833030278,4.2,10.5,18.9,1.05,0.783030278,4.582575695,0.0,4.582575695,1.374772708,0.324772708
22,4.69041576,1.876166304,4.4,11.0,19.8,1.1,0.776166304,4.69041576,0.0,4.69041576,1.407124728,0.307124728
23,4.795831523,1.918332609,4.6,11.5,20.7,1.15,0.768332609,4.795831523,0.0,4.795831523,1.438749457,0.288749457
24,4.898979486,1.959591794,4.8,12.0,21.6,1.2,0.759591794,4.898979486,0.0,4.898979486,1.469693846,0.269693846
25,5.0,2.0,5.0,12.5,22.5,1.25,0.75,5.0,0.0,5.0,1.5,0.25
26,5.099019514,2.039607805,5.2,13.0,23.4,1.3,0.739607805,5.099019514,0.0,5.099019514,1.529705854,0.229705854
