DATE,Date,CPIAUCSL_PC1
01/01/1948,1948-01-01,10.24209
01/02/1948,1948-02-01,9.48196
01/03/1948,1948-03-01,6.81818
01/04/1948,1948-04-01,8.27273
01/05/1948,1948-05-01,9.38497
01/06/1948,1948-06-01,9.375
01/07/1948,1948-07-01,9.76158
01/08/1948,1948-08-01,9.0625
01/09/1948,1948-09-01,6.65499
01/10/1948,1948-10-01,6.11087
01/11/1948,1948-11-01,4.77016
01/12/1948,1948-12-01,2.73387
01/01/1949,1949-01-01,1.39358
01/02/1949,1949-02-01,1.01394
01/03/1949,1949-03-01,1.74468
01/04/1949,1949-04-01,0.41982
01/05/1949,1949-05-01,-0.41649
01/06/1949,1949-06-01,-0.95238
01/07/1949,1949-07-01,-2.86885
01/08/1949,1949-08-01,-2.98813
01/09/1949,1949-09-01,-2.50411
01/10/1949,1949-10-01,-2.63266
01/11/1949,1949-11-01,-1.90397
01/12/1949,1949-12-01,-1.82952
01/01/1950,1950-01-01,-2.08247
01/02/1950,1950-02-01,-1.25471
01/03/1950,1950-03-01,-1.12923
01/04/1950,1950-04-01,-1.12876
01/05/1950,1950-05-01,-0.58553
01/06/1950,1950-06-01,-0.16722
01/07/1950,1950-07-01,1.56118
01/08/1950,1950-08-01,2.1097
01/09/1950,1950-09-01,2.48421
01/10/1950,1950-10-01,3.50655
01/11/1950,1950-11-01,3.79747
01/12/1950,1950-12-01,5.80263
01/01/1951,1951-01-01,7.95406
01/02/1951,1951-02-01,9.4028
01/03/1951,1951-03-01,9.47547
01/04/1951,1951-04-01,9.59831
01/05/1951,1951-05-01,9.3395
01/06/1951,1951-06-01,8.58459
01/07/1951,1951-07-01,7.64437
01/08/1951,1951-08-01,6.8595
01/09/1951,1951-09-01,6.9433
01/10/1951,1951-10-01,6.77551
01/11/1951,1951-11-01,6.99187
01/12/1951,1951-12-01,5.96477
01/01/1952,1952-01-01,4.21592
01/02/1952,1952-02-01,2.24545
01/03/1952,1952-03-01,1.97063
01/04/1952,1952-04-01,2.08333
01/05/1952,1952-05-01,1.84686
01/06/1952,1952-06-01,2.31392
01/07/1952,1952-07-01,2.97183
01/08/1952,1952-08-01,3.20959
01/09/1952,1952-09-01,2.30503
01/10/1952,1952-10-01,2.02599
01/11/1952,1952-11-01,1.40578
01/12/1952,1952-12-01,0.90669
01/01/1953,1953-01-01,0.71834
01/02/1953,1953-02-01,0.68156
01/03/1953,1953-03-01,0.90944
01/04/1953,1953-04-01,0.86924
01/05/1953,1953-05-01,0.86891
01/06/1953,1953-06-01,0.90464
01/07/1953,1953-07-01,0.41229
01/08/1953,1953-08-01,0.59948
01/09/1953,1953-09-01,0.97634
01/10/1953,1953-10-01,0.97415
01/11/1953,1953-11-01,0.59948
01/12/1953,1953-12-01,0.59903
01/01/1954,1954-01-01,1.12613
01/02/1954,1954-02-01,1.50432
01/03/1954,1954-03-01,1.12655
01/04/1954,1954-04-01,0.63694
01/05/1954,1954-05-01,0.86142
01/06/1954,1954-06-01,0.63504
01/07/1954,1954-07-01,0.26129
01/08/1954,1954-08-01,0.0
01/09/1954,1954-09-01,-0.29751
01/10/1954,1954-10-01,-0.85343
01/11/1954,1954-11-01,-0.26071
01/12/1954,1954-12-01,-0.37216
01/01/1955,1955-01-01,-0.63103
01/02/1955,1955-02-01,-0.62986
01/03/1955,1955-03-01,-0.51987
01/04/1955,1955-04-01,-0.26061
01/05/1955,1955-05-01,-0.59413
01/06/1955,1955-06-01,-0.85375
01/07/1955,1955-07-01,-0.3723
01/08/1955,1955-08-01,-0.48417
01/09/1955,1955-09-01,0.1492
01/10/1955,1955-10-01,0.37425
01/11/1955,1955-11-01,0.37341
01/12/1955,1955-12-01,0.37355
01/01/1956,1956-01-01,0.22413
01/02/1956,1956-02-01,0.14914
01/03/1956,1956-03-01,0.37327
01/04/1956,1956-04-01,0.52258
01/05/1956,1956-05-01,0.97124
01/06/1956,1956-06-01,1.64732
01/07/1956,1956-07-01,1.98057
01/08/1956,1956-08-01,2.20808
01/09/1956,1956-09-01,1.8622
01/10/1956,1956-10-01,2.57271
01/11/1956,1956-11-01,2.34375
01/12/1956,1956-12-01,2.82843
01/01/1957,1957-01-01,3.13082
01/02/1957,1957-02-01,3.49963
01/03/1957,1957-03-01,3.60729
01/04/1957,1957-04-01,3.71333
01/05/1957,1957-05-01,3.58861
01/06/1957,1957-06-01,3.53591
01/07/1957,1957-07-01,3.29791
01/08/1957,1957-08-01,3.55181
01/09/1957,1957-09-01,3.54662
01/10/1957,1957-10-01,2.94438
01/11/1957,1957-11-01,3.27154
01/12/1957,1957-12-01,3.04017
01/01/1958,1958-01-01,3.5056
01/02/1958,1958-02-01,3.23741
01/03/1958,1958-03-01,3.62527
01/04/1958,1958-04-01,3.61618
01/05/1958,1958-05-01,3.35714
01/06/1958,1958-06-01,2.84596
01/07/1958,1958-07-01,2.48315
01/08/1958,1958-08-01,2.3338
01/09/1958,1958-09-01,2.08333
01/10/1958,1958-10-01,2.08333
01/11/1958,1958-11-01,1.90074
01/12/1958,1958-12-01,1.75623
01/01/1959,1959-01-01,1.2919
01/02/1959,1959-02-01,1.0453
01/03/1959,1959-03-01,0.34638
01/04/1959,1959-04-01,0.13822
01/05/1959,1959-05-01,0.34554
01/06/1959,1959-06-01,0.6918
01/07/1959,1959-07-01,0.89997
01/08/1959,1959-08-01,0.8293
01/09/1959,1959-09-01,1.17606
01/10/1959,1959-10-01,1.52196
01/11/1959,1959-11-01,1.38169
01/12/1959,1959-12-01,1.51881
01/01/1960,1960-01-01,1.24095
01/02/1960,1960-02-01,1.41379
01/03/1960,1960-03-01,1.51881
01/04/1960,1960-04-01,1.93237
01/05/1960,1960-05-01,1.82507
01/06/1960,1960-06-01,1.71762
01/07/1960,1960-07-01,1.37221
01/08/1960,1960-08-01,1.47361
01/09/1960,1960-09-01,1.23077
01/10/1960,1960-10-01,1.36286
01/11/1960,1960-11-01,1.46508
01/12/1960,1960-12-01,1.36008
01/01/1961,1961-01-01,1.60027
01/02/1961,1961-02-01,1.46209
01/03/1961,1961-03-01,1.46209
01/04/1961,1961-04-01,0.91401
01/05/1961,1961-05-01,0.91309
01/06/1961,1961-06-01,0.77676
01/07/1961,1961-07-01,1.25212
01/08/1961,1961-08-01,1.11449
01/09/1961,1961-09-01,1.24958
01/10/1961,1961-10-01,0.77311
01/11/1961,1961-11-01,0.67159
01/12/1961,1961-12-01,0.67092
01/01/1962,1962-01-01,0.67024
01/02/1962,1962-02-01,0.90483
01/03/1962,1962-03-01,1.1059
01/04/1962,1962-04-01,1.34183
01/05/1962,1962-05-01,1.34048
01/06/1962,1962-06-01,1.23995
01/07/1962,1962-07-01,1.00267
01/08/1962,1962-08-01,1.1356
01/09/1962,1962-09-01,1.46765
01/10/1962,1962-10-01,1.33422
01/11/1962,1962-11-01,1.33422
01/12/1962,1962-12-01,1.23292
01/01/1963,1963-01-01,1.33156
01/02/1963,1963-02-01,1.22883
01/03/1963,1963-03-01,1.12695
01/04/1963,1963-04-01,0.89374
01/05/1963,1963-05-01,0.89286
01/06/1963,1963-06-01,1.32406
01/07/1963,1963-07-01,1.55526
01/08/1963,1963-08-01,1.55218
01/09/1963,1963-09-01,0.98619
01/10/1963,1963-10-01,1.21791
01/11/1963,1963-11-01,1.31666
01/12/1963,1963-12-01,1.64582
01/01/1964,1964-01-01,1.64258
01/02/1964,1964-02-01,1.41076
01/03/1964,1964-03-01,1.40937
01/04/1964,1964-04-01,1.54199
01/05/1964,1964-05-01,1.54048
01/06/1964,1964-06-01,1.30676
01/07/1964,1964-07-01,1.07527
01/08/1964,1964-08-01,0.97561
01/09/1964,1964-09-01,1.17188
01/10/1964,1964-10-01,1.20325
01/11/1964,1964-11-01,1.39701
01/12/1964,1964-12-01,1.19819
01/01/1965,1965-01-01,1.0989
01/02/1965,1965-02-01,1.19702
01/03/1965,1965-03-01,1.19586
01/04/1965,1965-04-01,1.38934
01/05/1965,1965-05-01,1.61394
01/06/1965,1965-06-01,1.93486
01/07/1965,1965-07-01,1.80529
01/08/1965,1965-08-01,1.61031
01/09/1965,1965-09-01,1.73745
01/10/1965,1965-10-01,1.70308
01/11/1965,1965-11-01,1.73021
01/12/1965,1965-12-01,1.92
01/01/1966,1966-01-01,1.91816
01/02/1966,1966-02-01,2.55754
01/03/1966,1966-03-01,2.77866
01/04/1966,1966-04-01,2.86807
01/05/1966,1966-05-01,2.76366
01/06/1966,1966-06-01,2.43594
01/07/1966,1966-07-01,2.75491
01/08/1966,1966-08-01,3.48653
01/09/1966,1966-09-01,3.57369
01/10/1966,1966-10-01,3.79147
01/11/1966,1966-11-01,3.55906
01/12/1966,1966-12-01,3.3595
01/01/1967,1967-01-01,3.1995
01/02/1967,1967-02-01,2.86783
01/03/1967,1967-03-01,2.54817
01/04/1967,1967-04-01,2.54027
01/05/1967,1967-05-01,2.31839
01/06/1967,1967-06-01,2.84126
01/07/1967,1967-07-01,2.92758
01/08/1967,1967-08-01,2.60337
01/09/1967,1967-09-01,2.59542
01/10/1967,1967-10-01,2.58752
01/11/1967,1967-11-01,3.10219
01/12/1967,1967-12-01,3.28068
01/01/1968,1968-01-01,3.64742
01/02/1968,1968-02-01,3.63636
01/03/1968,1968-03-01,3.93939
01/04/1968,1968-04-01,3.92749
01/05/1968,1968-05-01,4.22961
01/06/1968,1968-06-01,4.2042
01/07/1968,1968-07-01,4.49102
01/08/1968,1968-08-01,4.47761
01/09/1968,1968-09-01,4.46429
01/10/1968,1968-10-01,4.74777
01/11/1968,1968-11-01,4.42478
01/12/1968,1968-12-01,4.70588
01/01/1969,1969-01-01,4.69208
01/02/1969,1969-02-01,4.67836
01/03/1969,1969-03-01,5.24781
01/04/1969,1969-04-01,5.52326
01/05/1969,1969-05-01,5.50725
01/06/1969,1969-06-01,5.4755
01/07/1969,1969-07-01,5.44413
01/08/1969,1969-08-01,5.42857
01/09/1969,1969-09-01,5.69801
01/10/1969,1969-10-01,5.66572
01/11/1969,1969-11-01,5.9322
01/12/1969,1969-12-01,5.89888
01/01/1970,1970-01-01,6.16246
01/02/1970,1970-02-01,6.42458
01/03/1970,1970-03-01,6.09418
01/04/1970,1970-04-01,6.06061
01/05/1970,1970-05-01,6.04396
01/06/1970,1970-06-01,6.01093
01/07/1970,1970-07-01,5.70652
01/08/1970,1970-08-01,5.69106
01/09/1970,1970-09-01,5.66038
01/10/1970,1970-10-01,5.63003
01/11/1970,1970-11-01,5.6
01/12/1970,1970-12-01,5.57029
01/01/1971,1971-01-01,5.27704
01/02/1971,1971-02-01,4.72441
01/03/1971,1971-03-01,4.43864
01/04/1971,1971-04-01,4.15584
01/05/1971,1971-05-01,4.40415
01/06/1971,1971-06-01,4.38144
01/07/1971,1971-07-01,4.37018
01/08/1971,1971-08-01,4.35897
01/09/1971,1971-09-01,4.08163
01/10/1971,1971-10-01,3.80711
01/11/1971,1971-11-01,3.53535
01/12/1971,1971-12-01,3.26633
01/01/1972,1972-01-01,3.25815
01/02/1972,1972-02-01,3.7594
01/03/1972,1972-03-01,3.5
01/04/1972,1972-04-01,3.49127
01/05/1972,1972-05-01,3.22581
01/06/1972,1972-06-01,2.96296
01/07/1972,1972-07-01,2.95567
01/08/1972,1972-08-01,2.9484
01/09/1972,1972-09-01,3.18627
01/10/1972,1972-10-01,3.17848
01/11/1972,1972-11-01,3.41463
01/12/1972,1972-12-01,3.40633
01/01/1973,1973-01-01,3.64078
01/02/1973,1973-02-01,3.86473
01/03/1973,1973-03-01,4.83092
01/04/1973,1973-04-01,5.3012
01/05/1973,1973-05-01,5.52885
01/06/1973,1973-06-01,5.9952
01/07/1973,1973-07-01,5.74163
01/08/1973,1973-08-01,7.39857
01/09/1973,1973-09-01,7.36342
01/10/1973,1973-10-01,8.05687
01/11/1973,1973-11-01,8.25472
