date,country,value,line
1922,Ireland,-20.12560557,
1923,Ireland,-2.127659574,
1924,Ireland,1.086956522,
1925,Ireland,2.150537634,
1926,Ireland,-2.631578947,
1927,Ireland,-5.405405405,
1928,Ireland,-0.571428571,
1929,Ireland,1.149425287,
1930,Ireland,-2.840909091,
1931,Ireland,-6.432748538,
1932,Ireland,-1.875,
1933,Ireland,-3.821656051,
1934,Ireland,0.662251656,
1935,Ireland,2.631578947,
1936,Ireland,2.564102564,
1937,Ireland,6.25,
1938,Ireland,1.764705882,
1939,Ireland,2.89017341,
1940,Ireland,15.16853933,
1941,Ireland,10.24390244,
1942,Ireland,10.61946903,
1943,Ireland,12.4,
1944,Ireland,4.982206406,
1945,Ireland,-0.338983051,
1946,Ireland,-1.360544218,
1947,Ireland,5.862068966,
1948,Ireland,3.25732899,
1949,Ireland,0.315457413,
1950,Ireland,1.257861635,
1951,Ireland,8.074534161,
1952,Ireland,8.620689655,
1953,Ireland,5.291005291,
1954,Ireland,0.301507538,
1955,Ireland,2.605210421,
1956,Ireland,4.248046875,
1957,Ireland,4.121779859,
1958,Ireland,4.430949168,
1959,Ireland,0.021537799,
1960,Ireland,0.430663221,
1961,Ireland,2.765866209,
1962,Ireland,4.256206968,
1963,Ireland,2.461476886,
1964,Ireland,6.71875,
1965,Ireland,5.032942899,
1966,Ireland,2.979613173,
1967,Ireland,3.130287648,
1968,Ireland,4.757998359,
1969,Ireland,7.407987471,
1970,Ireland,8.194808982,
1971,Ireland,8.962264151,
1972,Ireland,8.608534323,
1973,Ireland,11.42238925,
1974,Ireland,16.96647588,
1975,Ireland,20.87556798,
1976,Ireland,17.98597557,
1977,Ireland,13.63274309,
1978,Ireland,7.635069557,
1979,Ireland,13.2401563,Break of sterling peg
1980,Ireland,18.22163238,
1981,Ireland,20.40862146,
1982,Ireland,17.12350053,
1983,Ireland,10.48609637,
1984,Ireland,8.58309318,
1985,Ireland,5.443004379,
1986,Ireland,3.809124279,
1987,Ireland,3.137944273,
1988,Ireland,2.141289868,
1989,Ireland,4.08347239,
1990,Ireland,3.316994066,
1991,Ireland,3.196233011,
1992,Ireland,3.119706869,
1993,Ireland,1.407907749,
1994,Ireland,2.345338248,
1995,Ireland,2.516068602,
1996,Ireland,1.691871456,
1997,Ireland,1.451497971,
1998,Ireland,2.417126017,
1999,Ireland,1.639979724,
2000,Ireland,5.565171473,
2001,Ireland,4.871609604,
2002,Ireland,4.637358561,
2003,Ireland,3.480892446,
2004,Ireland,2.193996794,
2005,Ireland,2.431869342,
2006,Ireland,3.939354974,
2007,Ireland,4.864086733,
2008,Ireland,4.053967096,
2009,Ireland,-4.48042712,
2010,Ireland,-0.945238738,
2011,Ireland,2.584995479,
2012,Ireland,1.692647496,
2013,Ireland,0.503310152,
2014,Ireland,0.196367717,
2015,Ireland,-0.294492778,
2016,Ireland,0.0,
1922,UK,-14.0,
1923,UK,-6.0,
1924,UK,-0.7,
1925,UK,0.3,
1926,UK,-0.8,
1927,UK,-2.4,
1928,UK,-0.3,
1929,UK,-0.9,
1930,UK,-2.8,
1931,UK,-4.3,
1932,UK,-2.6,
1933,UK,-2.1,
1934,UK,0.0,
1935,UK,0.7,
1936,UK,0.7,
1937,UK,3.4,
1938,UK,1.6,
1939,UK,2.8,
1940,UK,16.8,
1941,UK,10.8,
1942,UK,7.1,
1943,UK,3.4,
1944,UK,2.7,
1945,UK,2.8,
1946,UK,3.1,
1947,UK,7.0,
1948,UK,7.7,
1949,UK,2.8,
1950,UK,3.918495,
1951,UK,9.049774,
1952,UK,10.65007,
1953,UK,3.625,
1954,UK,2.291918,
1955,UK,5.070755,
1956,UK,5.162738,
1957,UK,3.842049,
1958,UK,2.877698,
1959,UK,0.599401,
1960,UK,0.794439,
1961,UK,3.251232,
1962,UK,4.198473,
1963,UK,2.106227,
1964,UK,3.2287,
1965,UK,4.257168,
1966,UK,4.0,
1967,UK,2.24359,
1968,UK,3.996865,
1969,UK,5.199699,
1970,UK,6.518625,
1971,UK,9.414929,
1972,UK,7.191149,
1973,UK,9.34633,
1974,UK,15.73152,
1975,UK,22.7005,
1976,UK,15.65731,
1977,UK,14.94253,
1978,UK,7.472222,
1979,UK,11.37245,Break of sterling peg
1980,UK,15.15433,
1981,UK,11.80975,
1982,UK,8.111031,
1983,UK,4.934978,
1984,UK,4.258024,
1985,UK,4.92228,
1986,UK,3.326071,
1987,UK,3.204948,
1988,UK,3.759194,
1989,UK,5.237595,
1990,UK,6.972683,
1991,UK,7.532649,
1992,UK,4.261548,
1993,UK,2.5065,
1994,UK,1.97849,
1995,UK,2.656452,
1996,UK,2.400308,
1997,UK,1.824606,
1998,UK,1.557398,
1999,UK,1.32871,
2000,UK,0.796456,
2001,UK,1.233512,
2002,UK,1.258913,
2003,UK,1.361593,
2004,UK,1.343523,
2005,UK,2.056944,
2006,UK,2.328712,
2007,UK,2.322842,
2008,UK,3.601916,
2009,UK,2.16532,
2010,UK,3.298172,
2011,UK,4.463693,
2012,UK,2.828242,
2013,UK,2.564799,
2014,UK,1.461031,
2015,UK,0.040099,
2016,UK,0.659666,
