Time,Value,Value = share of coal as a percentage of energy consumption in England 
1800,77,
1801,78,
1802,78,
1803,79,
1804,79,
1805,80,
1806,80,
1807,81,
1808,81,
1809,81,
1810,82,
1811,82,
1812,82,
1813,83,
1814,83,
1815,83,
1816,83,
1817,83,
1818,84,
1819,84,
1820,84,
1821,85,
1822,85,
1823,85,
1824,85,
1825,85,
1826,85,
1827,86,
1828,86,
1829,86,
1830,87,
1831,87,
1832,87,
1833,87,
1834,88,
1835,88,
1836,88,
1837,88,
1838,89,
1839,89,
1840,89,
1841,89,
1842,89,
1843,90,
1844,90,
1845,90,
1846,91,
1847,91,
1848,91,
1849,92,
1850,92,
1851,92,
1852,92,
1853,92,
1854,92,
1855,92,
1856,93,
1857,93,
1858,93,
1859,93,
1860,93,
1861,93,
1862,93,
1863,93,
1864,94,
1865,94,
1866,94,
1867,94,
1868,94,
1869,94,
1870,94,
1871,94,
1872,95,
1873,95,
1874,95,
1875,95,
1876,95,
1877,94,
1878,94,
1879,95,
1880,95,
1881,95,
1882,95,
1883,95,
1884,95,
1885,95,
1886,95,
1887,95,
1888,95,
1889,95,
1890,95,
1891,95,
1892,94,
1893,95,
1894,95,
1895,95,
1896,95,
1897,95,
1898,95,
1899,96,
1900,95,
1901,95,
1902,95,
1903,95,
1904,95,
1905,96,
1906,96,
1907,95,
1908,95,
1909,95,
1910,96,
1911,95,
1912,96,
1913,95,
1914,95,
1915,95,
1916,96,
1917,95,
1918,94,
1919,95,
1920,95,
1921,92,
1922,94,
1923,94,
1924,94,
1925,94,
1926,90,
1927,93,
1928,93,
1929,92,
1930,92,
1931,91,
1932,91,
1933,91,
1934,91,
1935,91,
1936,91,
1937,91,
1938,92,
1939,93,
1940,93,
1941,93,
1942,93,
1943,92,
1944,90,
1945,91,
1946,91,
1947,90,
1948,90,
1949,90,
1950,89,
1951,89,
1952,88,
1953,88,
1954,87,
1955,86,
1956,85,
1957,85,
1958,82,
1959,78,
1960,77,
1961,75,
1962,73,
1963,72,
1964,69,
1965,67,
1966,64,
1967,60,
1968,59,
1969,56,
1970,50,
1971,46,
1972,40,
1973,41,
1974,38,
1975,41,
1976,41,
1977,40,
1978,39,
1979,40,
1980,41,
1981,41,
1982,39,
1983,39,
1984,28,
1985,36,
1986,37,
1987,38,
1988,36,
1989,36,
1990,35,
1991,34,
1992,33,
1993,28,
1994,27,
1995,25,
1996,22,
1997,20,
1998,20,
1999,18,
2000,19,
2001,20,
2002,18,
2003,19,
2004,19,
2005,19,
2006,21,
