Unnamed: 0,date,value,Region
0,2021,3716.98445946342,Sub-Saharan Africa
1,2020,3657.40091179985,Sub-Saharan Africa
2,2019,3826.4426835466,Sub-Saharan Africa
3,2018,3822.55641437615,Sub-Saharan Africa
4,2017,3813.73590946481,Sub-Saharan Africa
5,2016,3813.01223625624,Sub-Saharan Africa
6,2015,3853.27086869537,Sub-Saharan Africa
7,2014,3843.54483118378,Sub-Saharan Africa
8,2013,3765.02737413828,Sub-Saharan Africa
9,2012,3684.94454426539,Sub-Saharan Africa
10,2011,3656.67702324399,Sub-Saharan Africa
11,2010,3599.52412944071,Sub-Saharan Africa
12,2009,3493.74035696794,Sub-Saharan Africa
13,2008,3491.1815268454,Sub-Saharan Africa
14,2007,3409.48318110551,Sub-Saharan Africa
15,2006,3298.86755773522,Sub-Saharan Africa
16,2005,3192.69154919958,Sub-Saharan Africa
17,2004,3091.31700879191,Sub-Saharan Africa
18,2003,2978.97472469445,Sub-Saharan Africa
19,2002,2936.63747973947,Sub-Saharan Africa
20,2001,2843.44655143547,Sub-Saharan Africa
21,2000,2799.65429244058,Sub-Saharan Africa
22,1999,2776.83677509336,Sub-Saharan Africa
23,1998,2784.46096747351,Sub-Saharan Africa
24,1997,2786.6113664793,Sub-Saharan Africa
25,1996,2741.32878348142,Sub-Saharan Africa
26,1995,2676.90101219187,Sub-Saharan Africa
27,1994,2653.19552954097,Sub-Saharan Africa
28,1993,2694.68453405835,Sub-Saharan Africa
29,1992,2785.85249536357,Sub-Saharan Africa
30,1991,2867.11489278588,Sub-Saharan Africa
31,1990,2930.75154244842,Sub-Saharan Africa
50,2021,15774.806856414,Latin America & Caribbean
51,2020,14874.129631249,Latin America & Caribbean
52,2019,16065.1469765543,Latin America & Caribbean
53,2018,16081.4491733835,Latin America & Caribbean
54,2017,15950.885882913,Latin America & Caribbean
55,2016,15796.879480185,Latin America & Caribbean
56,2015,15944.9085850139,Latin America & Caribbean
57,2014,15996.4279059334,Latin America & Caribbean
58,2013,15913.8263623883,Latin America & Caribbean
59,2012,15627.595166639,Latin America & Caribbean
60,2011,15385.6362119202,Latin America & Caribbean
61,2010,14878.3067151816,Latin America & Caribbean
62,2009,14121.6128812935,Latin America & Caribbean
63,2008,14577.5562171186,Latin America & Caribbean
64,2007,14214.3848923775,Latin America & Caribbean
65,2006,13662.8772219081,Latin America & Caribbean
66,2005,13162.011542175,Latin America & Caribbean
67,2004,12819.4640933517,Latin America & Caribbean
68,2003,12309.5436333455,Latin America & Caribbean
69,2002,12160.9391323181,Latin America & Caribbean
70,2001,12258.0179239295,Latin America & Caribbean
71,2000,12381.9230618823,Latin America & Caribbean
72,1999,12132.2743568522,Latin America & Caribbean
73,1998,12249.6273523188,Latin America & Caribbean
74,1997,12110.2760674462,Latin America & Caribbean
75,1996,11679.7885783945,Latin America & Caribbean
76,1995,11406.4192893612,Latin America & Caribbean
77,1994,11523.8231087441,Latin America & Caribbean
78,1993,11122.6132099624,Latin America & Caribbean
79,1992,10842.7400345961,Latin America & Caribbean
80,1991,10730.4661709148,Latin America & Caribbean
81,1990,10577.289166856,Latin America & Caribbean
100,2021,6299.59478638715,South Asia
101,2020,5896.23673622103,South Asia
102,2019,6287.86018123107,South Asia
103,2018,6123.9852500338,South Asia
104,2017,5827.13415855661,South Asia
105,2016,5537.57278212043,South Asia
106,2015,5205.71254951987,South Asia
107,2014,4909.90198117009,South Asia
108,2013,4651.38467462688,South Asia
109,2012,4446.00169006492,South Asia
110,2011,4275.28667563077,South Asia
111,2010,4127.93134305298,South Asia
112,2009,3898.87120267416,South Asia
113,2008,3699.77214304702,South Asia
114,2007,3635.54333172726,South Asia
115,2006,3441.63488264637,South Asia
116,2005,3249.62978508055,South Asia
117,2004,3073.071140101,South Asia
118,2003,2909.04397250493,South Asia
119,2002,2763.36956393185,South Asia
120,2001,2719.16341442583,South Asia
121,2000,2653.66991060942,South Asia
122,1999,2598.93565315371,South Asia
123,1998,2464.7267367698,South Asia
124,1997,2384.15956040088,South Asia
125,1996,2345.86768644657,South Asia
126,1995,2243.72934083166,South Asia
127,1994,2145.29306495654,South Asia
128,1993,2069.85291407822,South Asia
129,1992,2029.02984090111,South Asia
130,1991,1960.60702426451,South Asia
131,1990,1963.03584441454,South Asia
150,2021,15779.0839691451,Middle East & North Africa
151,2020,15318.6040759599,Middle East & North Africa
152,2019,16030.7793132515,Middle East & North Africa
153,2018,16154.1220728805,Middle East & North Africa
154,2017,16126.4587080498,Middle East & North Africa
155,2016,16114.0374012956,Middle East & North Africa
156,2015,15705.2993656801,Middle East & North Africa
157,2014,15553.2014398874,Middle East & North Africa
158,2013,15355.2787827574,Middle East & North Africa
159,2012,15371.9383564088,Middle East & North Africa
160,2011,15003.2386081359,Middle East & North Africa
161,2010,14801.542207123,Middle East & North Africa
162,2009,14422.7631370102,Middle East & North Africa
163,2008,14661.3670417531,Middle East & North Africa
164,2007,14372.2427307363,Middle East & North Africa
165,2006,13977.6742866815,Middle East & North Africa
166,2005,13549.325120025,Middle East & North Africa
167,2004,13188.0407016415,Middle East & North Africa
168,2003,12502.7961739777,Middle East & North Africa
169,2002,12081.2014844749,Middle East & North Africa
170,2001,12100.5139808465,Middle East & North Africa
171,2000,12156.5392389893,Middle East & North Africa
172,1999,11656.7625378723,Middle East & North Africa
173,1998,11668.5385411072,Middle East & North Africa
174,1997,11397.5444756076,Middle East & North Africa
175,1996,11264.6570026442,Middle East & North Africa
176,1995,10960.9845905372,Middle East & North Africa
177,1994,10924.2244558239,Middle East & North Africa
178,1993,10950.8672652494,Middle East & North Africa
179,1992,11024.3265999712,Middle East & North Africa
180,1991,10844.7261637195,Middle East & North Africa
181,1990,10649.2359930318,Middle East & North Africa
200,2021,35471.2034214126,Europe & Central Asia
201,2020,33500.7748831121,Europe & Central Asia
202,2019,35329.1580234797,Europe & Central Asia
203,2018,34737.9302437,Europe & Central Asia
204,2017,34019.434184894,Europe & Central Asia
205,2016,33125.2298526019,Europe & Central Asia
206,2015,32662.6358011283,Europe & Central Asia
207,2014,32244.8217408021,Europe & Central Asia
208,2013,31842.6429354802,Europe & Central Asia
209,2012,31638.7940697515,Europe & Central Asia
210,2011,31542.0490072824,Europe & Central Asia
211,2010,30749.6923908594,Europe & Central Asia
212,2009,29994.2286782448,Europe & Central Asia
213,2008,31609.0941021822,Europe & Central Asia
214,2007,31242.9815637008,Europe & Central Asia
215,2006,30061.7621030182,Europe & Central Asia
216,2005,28859.2133021503,Europe & Central Asia
217,2004,28046.6928567736,Europe & Central Asia
218,2003,27078.1947650826,Europe & Central Asia
219,2002,26500.2230835158,Europe & Central Asia
220,2001,26011.1446876185,Europe & Central Asia
221,2000,25433.4581375519,Europe & Central Asia
222,1999,24313.525357526,Europe & Central Asia
223,1998,23675.893915401,Europe & Central Asia
224,1997,23222.38907392,Europe & Central Asia
225,1996,22620.9039819601,Europe & Central Asia
226,1995,22346.7951202506,Europe & Central Asia
227,1994,22034.217845769,Europe & Central Asia
228,1993,22225.3526579831,Europe & Central Asia
229,1992,22693.7390771228,Europe & Central Asia
230,1991,23305.04060782,Europe & Central Asia
231,1990,23590.0315887637,Europe & Central Asia
250,2021,18577.4193501383,East Asia & Pacific
251,2020,17599.2324768895,East Asia & Pacific
252,2019,17702.6470616102,East Asia & Pacific
253,2018,17055.4096671442,East Asia & Pacific
254,2017,16329.7786478446,East Asia & Pacific
255,2016,15609.9089011017,East Asia & Pacific
256,2015,14972.309581213,East Asia & Pacific
257,2014,14362.5361453047,East Asia & Pacific
258,2013,13766.2205540778,East Asia & Pacific
259,2012,13146.5434956191,East Asia & Pacific
260,2011,12551.7366080606,East Asia & Pacific
261,2010,11935.6646444868,East Asia & Pacific
262,2009,11123.6018408438,East Asia & Pacific
