Country,foreign population %,GDP 000s
AUT,16.1,59.71933165
BEL,12.3,55.80082599
DNK,9.1,59.88383628
FIN,4.7,51.81135616
DEU,13.1,57.39720459
HUN,1.9,34.63867196
IRL,12.8,89.84627221
ITA,8.7,45.79952693
JPN,2.2,42.46548008
KOR,2.4,43.41014953
LUX,47.3,119.2528129
NLD,6.5,60.20771305
NOR,10.9,69.26445399
PRT,4.7,37.29900721
SVK,1.4,33.46191292
SWE,9.3,56.40403236
CHE,24.2,72.66838444
SVN,6.6,42.07585641
CZE,5.3,44.22308816
FRA,7.3,50.22199711
ESP,10.4,43.13553943
EST,16.3,39.06818369
ISL,13.1,59.99424691
MEX,0.4,20.24460742
LVA,14.0,32.93858231
LTU,1.7,39.95076049
