env_step,rew,rew_std,Agent
0,95.0,75.92759709091287,c51
100000,251.5,82.12186067059123,c51
200000,255.5,117.85478352616833,c51
300000,320.0,42.175229697062704,c51
400000,332.5,83.60621986431393,c51
500000,430.25,135.99839153460601,c51
600000,523.75,108.9681719586045,c51
700000,1121.0,516.2099863427673,c51
800000,1754.75,1004.4398003364861,c51
900000,2517.0,1108.9954914245593,c51
1000000,2285.0,1031.815753901829,c51
1100000,2877.75,1017.4357780715203,c51
1200000,3304.5,804.6146593245738,c51
1300000,3511.25,1172.84443235239,c51
1400000,3495.0,713.4371030441296,c51
1500000,3199.0,1272.923897960911,c51
1600000,3992.0,1011.4944389367645,c51
1700000,4453.75,1278.8536126156114,c51
1800000,3931.5,1001.7822867270114,c51
1900000,4928.25,1331.802842953866,c51
2000000,4457.0,1296.9019816470325,c51
2100000,5236.75,1800.0354336790151,c51
2200000,4757.25,1431.1256277839482,c51
2300000,4738.25,1369.4538373015719,c51
2400000,6592.0,1420.6903251588644,c51
2500000,5894.25,1735.2507203571477,c51
2600000,7282.25,2613.5424833929906,c51
2700000,7078.25,2062.308188050467,c51
2800000,6066.25,1512.1017037554054,c51
2900000,7065.5,2015.3544353289324,c51
3000000,6861.0,1669.891538394036,c51
3100000,7762.75,2067.515553145852,c51
3200000,7553.5,2434.32644688423,c51
3300000,6468.25,1466.2916873869265,c51
3400000,7396.25,2111.3411762431956,c51
3500000,7398.75,2466.653413534216,c51
3600000,7548.75,2775.422546658436,c51
3700000,8335.5,2109.992239322221,c51
3800000,6925.0,1951.7191140120547,c51
3900000,7580.5,2267.1120947143304,c51
4000000,8586.75,2490.3042108344916,c51
4100000,8712.75,2641.0264221510547,c51
4200000,9052.75,1451.2083112013934,c51
4300000,7919.75,1486.0133116833106,c51
4400000,9568.25,2890.1516071825713,c51
4500000,8489.0,1878.7070687044322,c51
4600000,8453.75,2539.73577611924,c51
4700000,8407.0,2617.2267765709566,c51
4800000,8893.25,2978.127568204559,c51
4900000,10263.75,2290.572322040935,c51
5000000,8514.5,1787.0897431298743,c51
5100000,8638.75,2969.4349736102995,c51
5200000,10585.75,3481.069708078251,c51
5300000,9607.5,2606.770032051159,c51
5400000,9306.5,2684.2033734424817,c51
5500000,9660.75,2237.9474552589477,c51
5600000,9766.25,2911.0542012302003,c51
5700000,10415.5,1625.4448621838885,c51
5800000,9485.5,3670.640407340387,c51
5900000,10269.0,2380.1436931412354,c51
6000000,10933.5,2768.2542332668795,c51
6100000,10309.25,2190.8112224698866,c51
6200000,10257.0,3413.4135773445328,c51
6300000,9958.0,2849.388925717232,c51
6400000,11790.0,1323.6403401226482,c51
6500000,10310.75,2311.68581613073,c51
6600000,9120.75,2925.0596254606503,c51
6700000,10305.5,2839.6374768621436,c51
6800000,10348.75,3006.7963121069574,c51
6900000,10654.25,1407.1265268269233,c51
7000000,11493.75,1194.8479244238574,c51
7100000,11250.5,1915.5099843122719,c51
7200000,10615.75,2852.864141963301,c51
7300000,10428.75,1486.1473892249046,c51
7400000,11293.0,2100.1969550496924,c51
7500000,10405.0,2845.91066268778,c51
