Country,China,India,Colombia,Malaysia,Peru,Fiji,Jamaica,Antigua and Barbuda,Taiwan,Paraguay,Ecuador,Chile,Algeria,Turkey,Jordan,Costa Rica,Iran,Seychelles,Panama,Brazil,Uruguay,South Africa,Poland,Barbados,Romania,Bulgaria,Mexico,Cyprus,Malta,Hungary,Portugal,Puerto Rico,Hong Kong,Oman,Argentina,Lebanon,Israel,Gabon,Venezuela,Ireland,Spain,Japan,Singapore,Greece,New Zealand,United Kingdom,Finland,Australia,Sweden,France,Belgium,Italy,Iceland,Canada,Germany,Netherlands,Austria,Denmark,United States,Norway,The Bahamas,Luxembourg,Bahrain,Switzerland,Kuwait,Libya,Saudi Arabia,Qatar,United Arab Emirates
1980,673.541,1214.145,7188.332,7506.765,7525.598,7550.931,7957.096,8035.755,8277.16,8374.04,8397.633,8545.723,9012.591,9122.791,9771.824,10304.648,10772.527,11061.658,11318.967,11391.511,12138.739,12267.051,12314.838,13206.74,13559.106,14795.577,15382.361,15469.465,15683.328,16158.83,16489.864,16801.888,16947.615,17340.335,18295.433,18708.074,19251.234,19598.505,20269.805,20601.842,21052.383,22330.957,22380.177,24064.716,24380.69,25266.327,25385.351,26395.856,27261.147,28720.545,29535.85,29816.93,30139.315,30338.396,30420.76,30848.886,31396.312,31952.995,32016.167,33460.007,33956.711,44433.968,44999.953,48361.936,60819.806,77340.088,87628.015,140771.707,169449.362
1981,698.221,1258.108,7191.82,7834.301,7741.881,7813.619,8162.55,8408.225,8705.05,8876.152,8481.709,8928.303,9003.216,9306.726,10839.029,9773.989,9776.881,10504.301,12067.12,10652.214,12284.823,12599.704,10984.561,12910.456,13492.235,15533.74,16282.496,15743.336,15966.692,16628.236,16923.346,16842.61,18076.857,18743.0,16941.519,18771.961,20017.11,18409.574,19414.093,20859.354,20769.304,23102.057,23636.663,23405.415,24971.116,25017.509,25625.225,27051.337,28481.487,28867.899,29428.684,29934.741,31098.777,31003.551,30397.04,30436.457,31302.062,31730.718,32501.186,33879.517,32355.667,44653.679,44474.092,48910.332,47176.831,59118.272,85073.1,124882.638,168069.725
1982,749.217,1272.735,7104.129,8093.1,7531.579,7531.129,8273.217,8498.547,8965.208,8497.608,8346.586,7591.104,9281.392,9408.984,11031.129,8798.188,11589.797,10226.382,12415.507,10484.548,11059.45,12231.561,10357.009,12241.034,13952.185,16139.755,15808.529,16545.477,15887.343,17117.85,17184.07,16189.926,18315.78,20898.598,16135.868,11812.028,19944.246,18751.883,19352.483,20948.446,20914.602,23700.445,24228.41,23005.586,25490.872,25470.316,26282.601,26626.199,28863.82,29408.881,29630.171,29957.595,31378.157,29658.319,30178.997,29883.528,31859.236,32928.981,31611.113,33828.574,33608.822,45080.817,45665.908,47967.081,40839.547,57312.155,64223.427,106442.193,146655.426
1983,819.221,1335.006,7063.423,8390.057,6668.469,7035.145,8447.723,9085.158,9631.231,7999.485,7892.211,7261.662,9471.695,9637.188,10730.199,8793.055,12390.722,10175.686,11586.906,9912.983,10345.544,11699.918,10783.714,12269.516,14729.692,16582.348,14900.75,17199.046,15714.774,17279.19,17270.735,16121.451,19090.761,22500.557,16504.373,14406.49,20034.452,18715.305,16966.222,20653.203,21160.931,24366.785,25961.65,22610.9,25218.127,26443.109,26937.693,26167.04,29446.956,29605.571,29712.235,30213.872,30265.823,30125.959,30755.446,30294.978,32849.422,33800.859,32761.145,35059.749,35093.009,45931.281,47248.846,47978.567,41091.053,52409.676,51345.08,94051.676,134363.032
1984,931.543,1355.003,7148.411,8821.059,6762.402,7583.175,8508.778,10172.606,10444.182,7985.64,8004.934,7569.294,9690.829,10072.024,10858.551,9229.79,11073.668,10551.163,11633.173,10221.07,10129.951,11991.106,10652.057,12677.598,15550.237,17314.615,15059.328,18466.904,15968.972,17790.63,17025.197,17142.053,20687.479,23920.424,16552.433,20688.275,20216.333,19209.741,17364.986,21164.025,21434.798,25298.496,27715.407,22945.589,26679.089,26901.659,27642.577,27483.613,30682.769,29939.043,30460.484,31122.979,31135.003,31605.569,31752.844,31120.198,32954.861,35240.733,34825.509,37083.458,35150.631,48064.183,47622.142,49311.772,42325.149,46065.24,46618.595,102271.027,129629.674
1985,1042.389,1394.491,7420.748,8470.569,6747.401,7184.057,8306.219,11136.616,10807.621,8053.64,8139.865,7599.909,9761.021,10282.988,10312.339,9023.827,10856.403,11543.274,11938.232,10802.566,10096.013,11569.259,10981.038,12780.443,15464.55,17613.641,15050.462,19118.119,16213.921,17815.32,17256.532,17328.067,20572.109,27394.497,15143.017,25580.374,20747.493,19886.405,17040.31,21509.149,21863.94,26457.114,27505.213,23409.863,26743.143,27833.054,28480.522,28576.23,31338.273,30309.561,30948.871,31925.644,31867.506,32799.609,32529.232,31815.931,33671.423,36659.28,35956.86,39026.841,36118.639,50656.935,45608.107,50920.836,38139.367,46602.438,40048.286,84207.486,119951.142
1986,1117.676,1428.802,7693.324,8339.495,7394.877,7587.747,8808.465,12635.45,11931.174,7826.47,8178.529,7884.93,9485.144,10778.57,10506.775,9245.158,9426.08,11558.944,12096.118,11386.768,10792.262,11314.031,11294.896,13389.762,15752.544,18552.997,14275.529,19571.54,16390.178,18155.481,17813.219,18557.263,22588.238,26233.11,16019.231,23768.155,21155.307,19049.698,17859.783,21596.663,22549.095,27191.998,27900.907,23460.355,26981.78,28484.269,29156.179,28843.702,32179.37,30857.549,31509.243,32785.28,33642.438,33176.33,33292.663,32639.728,34423.525,38416.912,36865.186,40458.349,36429.624,55456.923,44267.008,51624.002,39105.758,39765.457,44628.163,83146.676,92803.41
1987,1227.964,1452.977,7940.061,8565.57,7790.669,7013.951,9418.204,13710.61,13305.235,7894.716,7499.399,8259.439,9177.242,11633.679,10390.007,9418.954,9183.814,11618.552,11624.181,11572.038,11366.226,11306.997,11496.11,13691.233,15788.632,19450.996,14219.466,20741.385,17201.953,18982.034,19177.929,19270.137,25387.786,23704.306,16239.407,27670.669,22375.038,15769.125,18258.949,22345.723,23780.869,28341.814,30452.217,22847.718,27395.193,29904.109,30102.078,29782.728,33113.39,31498.948,32216.917,33792.79,36225.283,34095.457,33775.757,33048.695,34955.363,38450.541,37801.468,40977.158,37147.755,57274.821,42219.679,52114.805,40064.104,32527.564,39682.286,80493.845,93816.564
1988,1344.268,1558.451,8093.263,9188.878,6903.704,7248.412,8989.165,14643.627,14207.6,8101.941,8075.31,8711.703,8741.38,11662.988,10280.882,9483.902,8418.052,12191.84,9857.412,11390.931,11355.452,11534.215,11862.486,14120.219,15627.677,19971.122,14111.82,22233.387,18249.327,19051.392,20223.041,20306.643,27275.206,24947.624,15729.404,19741.325,22792.655,15969.712,18972.565,23118.646,24984.511,30137.031,33033.195,23754.755,27295.241,31391.785,31587.563,30505.324,33750.759,32777.178,33701.13,35145.061,35695.108,35128.552,34825.392,34329.532,35246.433,38414.063,39024.159,40631.868,37210.258,61590.619,43179.682,53465.035,34235.926,31016.378,42745.155,80993.538,76554.872
1989,1379.873,1615.707,8199.479,9784.537,5851.558,8093.556,9393.299,15554.762,15291.831,8309.574,7903.122,9475.523,8938.432,11485.362,8799.006,9765.127,8719.58,13365.759,9804.472,11549.917,11417.375,11557.613,12302.389,14576.056,14668.221,19958.615,14405.035,23684.335,19356.952,19270.298,21599.09,21076.308,27628.813,24264.585,14448.215,11236.636,22724.749,18037.11,15942.172,24564.067,26182.608,31477.762,35336.222,24553.647,27132.046,31979.663,33088.833,31451.218,34370.896,34075.264,34687.996,36262.604,35168.282,35330.428,35830.088,35648.94,36529.7,38656.709,40077.882,40897.759,37424.529,66962.605,42099.804,55387.088,41049.181,31803.752,40503.116,82087.962,85264.688
