DATE,Date,CUURA207SA0,CUURA101SA0,CUURA207SA0_PC1,CUURA101SA0_PC1
01/12/1914,01/12/1914,10,9.9,,
01/01/1915,01/01/1915,.,.,,
01/02/1915,01/02/1915,.,.,,
01/03/1915,01/03/1915,.,.,,
01/04/1915,01/04/1915,.,.,,
01/05/1915,01/05/1915,.,.,,
01/06/1915,01/06/1915,.,.,,
01/07/1915,01/07/1915,.,.,,
01/08/1915,01/08/1915,.,.,,
01/09/1915,01/09/1915,.,.,,
01/10/1915,01/10/1915,.,.,,
01/11/1915,01/11/1915,.,.,,
01/12/1915,01/12/1915,10.2,10.1,2,2.0202
01/01/1916,01/01/1916,.,.,.,.
01/02/1916,01/02/1916,.,.,.,.
01/03/1916,01/03/1916,.,.,.,.
01/04/1916,01/04/1916,.,.,.,.
01/05/1916,01/05/1916,.,.,.,.
01/06/1916,01/06/1916,.,.,.,.
01/07/1916,01/07/1916,.,.,.,.
01/08/1916,01/08/1916,.,.,.,.
01/09/1916,01/09/1916,.,.,.,.
01/10/1916,01/10/1916,.,.,.,.
01/11/1916,01/11/1916,.,.,.,.
01/12/1916,01/12/1916,11.6,11.3,13.72549,11.88119
01/01/1917,01/01/1917,.,.,.,.
01/02/1917,01/02/1917,.,.,.,.
01/03/1917,01/03/1917,.,.,.,.
01/04/1917,01/04/1917,.,.,.,.
01/05/1917,01/05/1917,.,.,.,.
01/06/1917,01/06/1917,.,.,.,.
01/07/1917,01/07/1917,.,.,.,.
01/08/1917,01/08/1917,.,.,.,.
01/09/1917,01/09/1917,.,.,.,.
01/10/1917,01/10/1917,.,.,.,.
01/11/1917,01/11/1917,.,.,.,.
01/12/1917,01/12/1917,13.5,13.8,16.37931,22.12389
01/01/1918,01/01/1918,.,.,.,.
01/02/1918,01/02/1918,.,.,.,.
01/03/1918,01/03/1918,.,.,.,.
01/04/1918,01/04/1918,.,.,.,.
01/05/1918,01/05/1918,.,.,.,.
01/06/1918,01/06/1918,.,.,.,.
01/07/1918,01/07/1918,.,.,.,.
01/08/1918,01/08/1918,.,.,.,.
01/09/1918,01/09/1918,.,.,.,.
01/10/1918,01/10/1918,.,.,.,.
01/11/1918,01/11/1918,.,.,.,.
01/12/1918,01/12/1918,16.3,16.8,20.74074,21.73913
01/01/1919,01/01/1919,.,.,.,.
01/02/1919,01/02/1919,.,.,.,.
01/03/1919,01/03/1919,.,.,.,.
01/04/1919,01/04/1919,.,.,.,.
01/05/1919,01/05/1919,.,.,.,.
01/06/1919,01/06/1919,16.6,17.1,.,.
01/07/1919,01/07/1919,.,.,.,.
01/08/1919,01/08/1919,.,.,.,.
01/09/1919,01/09/1919,.,.,.,.
01/10/1919,01/10/1919,.,.,.,.
01/11/1919,01/11/1919,.,.,.,.
01/12/1919,01/12/1919,18.9,19.3,15.95092,14.88095
01/01/1920,01/01/1920,.,.,.,.
01/02/1920,01/02/1920,.,.,.,.
01/03/1920,01/03/1920,.,.,.,.
01/04/1920,01/04/1920,.,.,.,.
01/05/1920,01/05/1920,.,.,.,.
01/06/1920,01/06/1920,20.8,20.9,25.3012,22.22222
01/07/1920,01/07/1920,.,.,.,.
01/08/1920,01/08/1920,.,.,.,.
01/09/1920,01/09/1920,.,.,.,.
01/10/1920,01/10/1920,.,.,.,.
01/11/1920,01/11/1920,.,.,.,.
01/12/1920,01/12/1920,18.9,19.5,0,1.03627
01/01/1921,01/01/1921,.,.,.,.
01/02/1921,01/02/1921,.,.,.,.
01/03/1921,01/03/1921,.,.,.,.
01/04/1921,01/04/1921,.,.,.,.
01/05/1921,01/05/1921,17.9,17.9,.,.
01/06/1921,01/06/1921,.,.,.,.
01/07/1921,01/07/1921,.,.,.,.
01/08/1921,01/08/1921,.,.,.,.
01/09/1921,01/09/1921,17.8,17.8,.,.
01/10/1921,01/10/1921,.,.,.,.
01/11/1921,01/11/1921,.,.,.,.
01/12/1921,01/12/1921,17.5,17.9,-7.40741,-8.20513
01/01/1922,01/01/1922,.,.,.,.
01/02/1922,01/02/1922,.,.,.,.
01/03/1922,01/03/1922,.,17.1,.,.
01/04/1922,01/04/1922,.,.,.,.
01/05/1922,01/05/1922,16.9,.,-5.58659,.
01/06/1922,01/06/1922,17,17.2,.,.
01/07/1922,01/07/1922,.,.,.,.
01/08/1922,01/08/1922,.,.,.,.
01/09/1922,01/09/1922,17,17.1,-4.49438,-3.93258
01/10/1922,01/10/1922,.,.,.,.
01/11/1922,01/11/1922,.,.,.,.
01/12/1922,01/12/1922,17.1,17.4,-2.28571,-2.7933
