DATE,CBBTCUSD,Source,Name
17/08/2016,574.45,https://fred.stlouisfed.org/series/CBBTCUSD,Coinbase Bitcoin
18/08/2016,574.09,,
19/08/2016,573.67,,
20/08/2016,581.87,,
21/08/2016,581.29,,
22/08/2016,585.2,,
23/08/2016,582.39,,
24/08/2016,578.47,,
25/08/2016,575.58,,
26/08/2016,579.29,,
27/08/2016,570.84,,
28/08/2016,575.41,,
29/08/2016,573.21,,
30/08/2016,574.95,,
31/08/2016,572.89,,
01/09/2016,573.02,,
02/09/2016,576.21,,
03/09/2016,600.91,,
04/09/2016,611.92,,
05/09/2016,605.69,,
06/09/2016,612.99,,
07/09/2016,615.21,,
08/09/2016,627.97,,
09/09/2016,622.07,,
10/09/2016,623.74,,
11/09/2016,607.94,,
12/09/2016,606.74,,
13/09/2016,608.63,,
14/09/2016,608.43,,
15/09/2016,605.44,,
16/09/2016,607.93,,
17/09/2016,607.92,,
18/09/2016,611.4,,
19/09/2016,608.6,,
20/09/2016,605.6,,
21/09/2016,597,,
22/09/2016,596.21,,
23/09/2016,602.96,,
24/09/2016,603.68,,
25/09/2016,601.67,,
26/09/2016,607.08,,
27/09/2016,605.71,,
28/09/2016,605.04,,
29/09/2016,605.99,,
30/09/2016,608.99,,
01/10/2016,615.65,,
02/10/2016,612.4,,
03/10/2016,612.99,,
04/10/2016,610.34,,
05/10/2016,613.16,,
06/10/2016,611.88,,
07/10/2016,617.98,,
08/10/2016,619.5,,
09/10/2016,617.42,,
10/10/2016,618.72,,
11/10/2016,642.12,,
12/10/2016,635.79,,
13/10/2016,635.66,,
14/10/2016,638.03,,
15/10/2016,638.16,,
16/10/2016,641.92,,
17/10/2016,639.56,,
18/10/2016,635.11,,
19/10/2016,629.79,,
20/10/2016,628.05,,
21/10/2016,630.83,,
22/10/2016,652.75,,
23/10/2016,651.04,,
24/10/2016,649.98,,
25/10/2016,654.3,,
26/10/2016,674,,
27/10/2016,691.21,,
28/10/2016,689.95,,
29/10/2016,714.28,,
30/10/2016,697.41,,
31/10/2016,696.9,,
01/11/2016,730.7,,
02/11/2016,744.6,,
03/11/2016,690,,
04/11/2016,706.32,,
05/11/2016,706.99,,
06/11/2016,717.02,,
07/11/2016,706.42,,
08/11/2016,711.15,,
09/11/2016,720.97,,
10/11/2016,712.91,,
11/11/2016,716.9,,
12/11/2016,704.53,,
13/11/2016,704.01,,
14/11/2016,708.32,,
15/11/2016,712.29,,
16/11/2016,739.85,,
17/11/2016,730.71,,
18/11/2016,748.54,,
19/11/2016,750.77,,
20/11/2016,731.99,,
21/11/2016,736.4,,
22/11/2016,746.66,,
23/11/2016,741.52,,
24/11/2016,737.99,,
25/11/2016,739.74,,
26/11/2016,735.7,,
27/11/2016,729.24,,
28/11/2016,729.77,,
29/11/2016,732.37,,
30/11/2016,742.69,,
01/12/2016,754,,
02/12/2016,769.25,,
03/12/2016,766.98,,
04/12/2016,767.99,,
05/12/2016,752,,
06/12/2016,759.8,,
07/12/2016,764.34,,
08/12/2016,767.89,,
09/12/2016,773.22,,
10/12/2016,775.87,,
11/12/2016,771.05,,
12/12/2016,778.94,,
13/12/2016,776.18,,
14/12/2016,777.66,,
15/12/2016,776.16,,
16/12/2016,780.98,,
17/12/2016,788.57,,
18/12/2016,790.72,,
19/12/2016,790.81,,
20/12/2016,798.99,,
21/12/2016,834.5,,
22/12/2016,856.02,,
23/12/2016,917.26,,
24/12/2016,891.5,,
25/12/2016,896.12,,
26/12/2016,902.09,,
27/12/2016,925.2,,
28/12/2016,982.17,,
29/12/2016,970.72,,
30/12/2016,960.81,,
31/12/2016,973.37,,
01/01/2017,992.95,,
02/01/2017,1011.45,,
03/01/2017,1020.67,,
04/01/2017,1130.3,,
05/01/2017,1007,,
06/01/2017,895.71,,
07/01/2017,909,,
08/01/2017,923.33,,
09/01/2017,902.66,,
10/01/2017,907,,
11/01/2017,795.77,,
12/01/2017,812.25,,
13/01/2017,831.42,,
14/01/2017,828,,
15/01/2017,833.31,,
16/01/2017,834.41,,
17/01/2017,906,,
18/01/2017,887.99,,
19/01/2017,902.92,,
20/01/2017,894.31,,
21/01/2017,925.06,,
22/01/2017,931.22,,
23/01/2017,910.7,,
24/01/2017,887,,
25/01/2017,896,,
26/01/2017,917.02,,
27/01/2017,922.63,,
28/01/2017,924.98,,
29/01/2017,916.54,,
30/01/2017,923.23,,
31/01/2017,970.01,,
01/02/2017,992.75,,
02/02/2017,1008.38,,
03/02/2017,1018,,
04/02/2017,1035.54,,
05/02/2017,1016.32,,
06/02/2017,1022.58,,
07/02/2017,1053.96,,
08/02/2017,1056.7,,
09/02/2017,994.24,,
10/02/2017,1001.99,,
11/02/2017,1018.65,,
12/02/2017,1010,,
13/02/2017,1002.82,,
14/02/2017,1013.92,,
15/02/2017,1014.53,,
16/02/2017,1038.94,,
17/02/2017,1057.3,,
18/02/2017,1062.15,,
19/02/2017,1059.88,,
20/02/2017,1089.82,,
21/02/2017,1128.29,,
22/02/2017,1128.71,,
23/02/2017,1186.9,,
24/02/2017,1186.91,,
25/02/2017,1158,,
26/02/2017,1184.91,,
27/02/2017,1195.81,,
28/02/2017,1195.08,,
01/03/2017,1230,,
02/03/2017,1269.17,,
03/03/2017,1292.86,,
04/03/2017,1273.97,,
05/03/2017,1278.98,,
06/03/2017,1284.99,,
07/03/2017,1237.36,,
08/03/2017,1150.22,,
09/03/2017,1197.3,,
10/03/2017,1109.01,,
11/03/2017,1188.11,,
12/03/2017,1235.58,,
