Year,16-24,25-34,35-44,45-54,55-64,65 or over,Under 65
2004,24.01779949,58.62204357,74.32160781,80.61239109,81.5166087,70.95191883,63.81809013
2005,27.18774155,56.71792175,71.52161393,77.48691901,80.67535765,71.97363521,62.71791078
2006,16.86930499,56.01224595,73.01588029,80.08025958,79.5222331,73.59673883,61.09998478
2007,19.00719911,56.5263699,71.59619622,76.94230993,81.45422379,72.77848271,61.10525979
2008,14.51014713,55.17886282,70.65766982,77.37769448,80.49246727,75.10260559,59.64336831
2009,14.40121597,51.47792676,67.12773326,74.09697594,78.95432627,74.74454492,57.21163564
2010,14.20576089,46.64045954,66.8003857,73.9259702,78.10886596,75.92237275,55.93628846
2011,11.86242646,43.09968393,63.11261469,73.5086416,78.61117157,75.793862,54.03890765
2012,9.993484272,42.78642722,63.63410383,71.62561307,76.19639141,75.56528305,52.84720396
2013,11.22209737,39.50490792,61.75191459,71.97850746,76.91034258,77.26907019,52.27355398
2014,8.947396596,35.83386399,58.77294047,67.80914905,76.20297286,77.11184825,49.51326459
2015,8.455496081,36.7185883,58.8591221,68.76700641,75.57182237,76.74278696,49.67440705
2016,10.17981514,38.17275787,56.18549699,66.81819425,71.92712594,77.76621474,48.65667804
2017,8.640991159,37.33071347,52.43744631,67.04699192,75.01645663,77.57763177,48.0945199
2018,12.31408588,37.64675836,56.52748391,66.49697064,73.18286552,78.58888069,49.23363286
2019,9.357124107,41.18631172,54.6143996,66.49769169,72.91363911,78.65107157,48.91383324
2020,14.25687978,40.90402095,55.78150254,66.34282509,73.64012417,79.71615961,50.1850705
2021,14.26881682,46.87610583,61.26098419,64.62330571,69.63731674,79.59523623,51.33330586
2022,14.17993893,41.41720292,59.2603556,65.58489748,71.45454496,78.63257356,50.37938798
