ISO3,UE Duration,Year,Replacement Rate,Country,Rank
AUT,1-year,2022,52,Austria,23
AUT,2-month,2022,57,Austria,23
AUT,2-year,2022,52,Austria,23
AUT,5-year,2022,52,Austria,23
AUT,6-month,2022,57,Austria,23
BEL,1-year,2022,78,Belgium,0
BEL,2-month,2022,91,Belgium,0
BEL,2-year,2022,66,Belgium,0
BEL,5-year,2022,58,Belgium,0
BEL,6-month,2022,84,Belgium,0
CZE,1-year,2022,18,Czech Republic,17
CZE,2-month,2022,65,Czech Republic,17
CZE,2-year,2022,18,Czech Republic,17
CZE,5-year,2022,18,Czech Republic,17
CZE,6-month,2022,18,Czech Republic,17
DNK,1-year,2022,79,Denmark,5
DNK,2-month,2022,79,Denmark,5
DNK,2-year,2022,79,Denmark,5
DNK,5-year,2022,47,Denmark,5
DNK,6-month,2022,79,Denmark,5
FIN,1-year,2022,57,Finland,22
FIN,2-month,2022,57,Finland,22
FIN,2-year,2022,29,Finland,22
FIN,5-year,2022,29,Finland,22
FIN,6-month,2022,57,Finland,22
FRA,1-year,2022,66,France,16
FRA,2-month,2022,66,France,16
FRA,2-year,2022,66,France,16
FRA,5-year,2022,32,France,16
FRA,6-month,2022,66,France,16
DEU,1-year,2022,59,Germany,21
DEU,2-month,2022,59,Germany,21
DEU,2-year,2022,22,Germany,21
DEU,5-year,2022,22,Germany,21
DEU,6-month,2022,59,Germany,21
HUN,1-year,2022,10,Hungary,15
HUN,2-month,2022,67,Hungary,15
HUN,2-year,2022,10,Hungary,15
HUN,5-year,2022,10,Hungary,15
HUN,6-month,2022,10,Hungary,15
ISL,1-year,2022,58,Iceland,11
ISL,2-month,2022,75,Iceland,11
ISL,2-year,2022,58,Iceland,11
ISL,5-year,2022,46,Iceland,11
ISL,6-month,2022,75,Iceland,11
IRL,1-year,2022,36,Ireland,25
IRL,2-month,2022,48,Ireland,25
IRL,2-year,2022,36,Ireland,25
IRL,5-year,2022,36,Ireland,25
IRL,6-month,2022,35,Ireland,25
ITA,1-year,2022,58,Italy,14
ITA,2-month,2022,71,Italy,14
ITA,2-year,2022,33,Italy,14
ITA,5-year,2022,33,Italy,14
ITA,6-month,2022,68,Italy,14
JPN,1-year,2022,38,Japan,2
JPN,2-month,2022,80,Japan,2
