Year,continent,Complementary protection,Rejected decisions,Total decisions,Acceptance Rate,Rejection Rate,Reject Rank
2010,Oceania,0,5667,9792,0.0,0.766607265825458,1
2010,Europe,39630,229247,371390,0.124987228268944,0.494691168098982,2
2010,Asia,1142,14415,72826,0.0151348186856695,0.277974540821488,3
2010,Africa,359,74236,134611,0.0023285620051369,0.24371667961865,4
2010,Americas,6545,31706,141977,0.0151282441557753,0.219459936891233,5
2011,Oceania,0,9049,15080,0.0,0.583670241476014,1
2011,Europe,37294,244223,402453,0.114215299230805,0.438772732205052,2
2011,Asia,372,19928,81081,0.0358837428009128,0.272443908921544,3
2011,Africa,5211,46439,138827,0.0312357595629166,0.211964393962537,4
2011,Americas,837,40120,131224,0.0389749690835956,0.195131880244971,5
2012,Europe,43523,255704,442836,0.0922495594922475,0.45893175366802,1
2012,Americas,32,51765,153583,0.0059759002381953,0.367226677956411,2
2012,Oceania,0,9691,18967,0.0,0.29114040388405,3
2012,Asia,1442,13914,72886,0.0298728380402248,0.222989271149942,4
2012,Africa,5905,105839,225003,0.0339288212794794,0.199869483514376,5
2013,Europe,72128,248396,507292,0.153719796423565,0.360015597518532,1
2013,Americas,42,33100,107148,0.0069228934744257,0.3114857417939,2
2013,Oceania,0,6203,11523,0.0,0.310121232261579,3
2013,Asia,412,14345,86870,0.0057869853293214,0.246694969853426,4
2013,Africa,15,73364,167678,0.0105897974704478,0.160638944556723,5
2014,Europe,333161,266616,896797,0.17747107747205,0.312659700527917,1
2014,Oceania,0,11115,14923,0.0,0.30172729247381,2
2014,Americas,1692,28445,103700,0.0010239292012262,0.241492053341501,3
2014,Asia,1885,19187,122784,0.0256592509703341,0.217937980337651,4
2014,Africa,45,104326,255437,0.005946088794926,0.198301624287705,5
2015,Oceania,0,5025,10562,0.0,0.393187779497236,1
2015,Europe,229835,367358,1205497,0.163864529363921,0.302034248122994,2
2015,Americas,751,19705,113442,0.0018922206991637,0.285940295199749,3
2015,Asia,3236,21937,124046,0.0377572956108175,0.236606788773122,4
2015,Africa,3653,86780,194081,0.0554079719991193,0.160112674927718,5
2016,Oceania,0,13305,20751,0.0,0.4871159259206,1
2016,Europe,331898,482571,1542171,0.178745677602687,0.279735095697925,2
2016,Americas,74,26622,127653,0.0014072721740453,0.25920705796438,3
2016,Asia,1728,32924,136263,0.0166257325526963,0.256540617880755,4
2016,Africa,1316,49373,1017967,0.0638010946357,0.125426970276153,5
2017,Oceania,0,23095,32972,0.0,0.434932594216374,1
2017,Europe,246456,592990,1409906,0.154834752428325,0.328331999370659,2
2017,Americas,0,55340,174504,0.0,0.270431254209798,3
2017,Asia,1453,37714,169716,0.0122773394987344,0.244002301701392,4
2017,Africa,407,44147,219078,0.0198085659937068,0.140897292094567,5
2018,Oceania,0,27926,43604,0.0,0.727784552019134,1
2018,Europe,128326,448902,971787,0.126817793548812,0.371770668379106,2
2018,Americas,1463,97001,248009,0.0042448614834673,0.245575192044211,3
2018,Asia,2108,42189,188326,0.0131138077896544,0.214992097188224,4
2018,Africa,16952,17028,195535,0.0392122721150344,0.107140743462744,5
2019,Europe,120658,434892,934904,0.0984434563214016,0.343825724766285,1
2019,Americas,1245,145915,361596,0.001862322742775,0.288104730613508,2
2019,Oceania,0,20997,29794,0.0,0.201027283528861,3
2019,Asia,1579,32419,150793,0.0083040933056371,0.183398624703649,4
2019,Africa,73,30317,253793,0.0016003644196053,0.0757427699596395,5
2020,Europe,105579,389045,841582,0.101393761652671,0.365582833384321,1
2020,Oceania,145,21319,29774,0.0634573304157549,0.257502741180223,2
2020,Asia,1782,36071,115258,0.0091697128277788,0.233686234446526,3
2020,Americas,1288,82247,236293,0.0070030735103387,0.161578711048911,4
2020,Africa,0,14317,158181,0.0,0.0936333816116225,5
2021,Oceania,0,20653,26898,0.0,0.382603140182639,1
2021,Europe,110631,363598,848505,0.101741404260649,0.297116188081776,2
2021,Asia,2698,47686,112498,0.0085285683680817,0.243564902037963,3
2021,Americas,905,78922,272476,0.0146654769189567,0.156506106734756,4
2021,Africa,172,17693,161670,0.0227272727272727,0.11137603234611,5
