Unnamed: 0,Entity,Code,Year,Geo Biomass,Biofuels,Solar,Wind,Hydro,Nuclear,Gas,Coal,Oil
0,Africa,,1965,0.0,0.0,0.0,0.0,41.11881256,0.0,9.543754578,323.4961243,341.2627563
1,Africa,,1966,0.0,0.0,0.0,0.0,45.86291504,0.0,10.66991615,323.1221924,369.4865723
2,Africa,,1967,0.0,0.0,0.0,0.0,47.87553787,0.0,10.54566956,330.2915649,368.1252441
3,Africa,,1968,0.0,0.0,0.0,0.0,56.00046921,0.0,10.68896961,343.5129089,389.1998596
4,Africa,,1969,0.0,0.0,0.0,0.0,65.35208893,0.0,12.49199963,346.6429443,396.9228516
5,Africa,,1970,0.0,0.0,0.0,0.0,81.70288086,0.0,15.52032471,360.756897,433.7723083
6,Africa,,1971,0.164000005,0.0,0.0,0.0,76.92131805,0.0,18.4052639,383.0123291,473.5654297
7,Africa,,1972,0.165000007,0.0,0.0,0.0,87.62504578,0.0,24.6706562,384.2108154,510.6726379
8,Africa,,1973,0.170000002,0.0,0.0,0.0,92.68891907,0.0,39.55179214,408.9103394,549.7197876
9,Africa,,1974,0.174999997,0.0,0.0,0.0,105.4671555,0.0,44.51848602,425.6462097,567.7996826
10,Africa,,1975,0.172000006,0.0,0.0,0.0,111.5316315,0.0,53.63837814,451.0805054,596.4046631
11,Africa,,1976,0.185000002,0.0,0.0,0.0,123.5951538,0.0,60.98139191,481.0741577,652.5804443
12,Africa,,1977,0.188999996,0.0,0.0,0.0,135.8108673,0.0,68.23419189,491.6984558,695.1663208
13,Africa,,1978,0.194999993,0.0,0.0,0.0,136.9291229,0.0,97.36990356,477.8155823,732.1810303
14,Africa,,1979,0.201000005,0.0,0.0,0.0,146.563858,0.0,148.8428192,507.2469788,770.9386597
15,Africa,,1980,0.207000002,0.0,0.0,0.0,142.8574219,0.0,186.9139709,543.5570679,817.2388916
16,Africa,,1981,0.217999995,0.0,0.0,0.0,148.4198914,0.0,228.4911652,635.7987671,883.8618774
17,Africa,,1982,0.236000001,0.0,0.0,0.0,148.4593048,0.0,246.733551,701.1759033,925.2272339
18,Africa,,1983,0.230000004,0.0,0.0,0.0,133.7953644,0.0,271.2753296,713.2460327,964.5521851
19,Africa,,1984,0.233999997,0.0,0.0,0.0,131.556366,11.13724613,259.902771,762.8978271,981.7520752
20,Africa,,1985,0.268999994,0.0,0.0,0.0,146.2221832,15.08139229,278.8427429,787.1658936,1007.091858
21,Africa,,1986,0.658999979,0.0,0.0,0.0,151.2363129,24.97864342,313.2712097,805.3560791,988.5931396
22,Africa,,1987,0.657999992,0.0,0.0,0.0,145.0594177,17.49895477,323.3843689,828.3197021,1042.068604
23,Africa,,1988,0.625999987,0.0,0.0,0.0,158.4752808,29.77404404,358.4445496,890.1607666,1086.268188
24,Africa,,1989,0.616999984,0.0,0.0,0.0,166.4081573,31.49357796,371.4710388,835.6208496,1123.926514
25,Africa,,1990,0.796000004,0.0,0.0,0.0,169.3014069,23.97416306,398.6453857,877.6782837,1142.402832
26,Africa,,1991,0.811999977,0.0,0.0,0.0,179.3458099,25.94623756,401.6355896,853.762146,1148.7052
27,Africa,,1992,0.84224999,0.0,0.0,0.0,171.0922546,26.35483932,421.2702637,858.8311768,1170.524658
28,Africa,,1993,0.937699974,0.0,0.0,0.005916667,167.6095581,20.5861702,412.6439819,871.7139282,1180.07666
29,Africa,,1994,0.834999979,0.0,0.0,0.015972223,170.3108978,27.51538277,431.8279419,894.4478149,1221.884644
30,Africa,,1995,1.018700004,0.0,0.0,0.018638888,176.7359161,32.06675339,461.2434998,922.4712524,1266.781738
31,Africa,,1996,1.258092999,0.0,0.0,0.021,184.269104,33.41173935,484.1917725,935.2282104,1293.971191
32,Africa,,1997,1.386640429,0.0,0.0,0.021277778,188.8111572,35.88605118,474.4755249,959.019104,1332.273071
33,Africa,,1998,1.71254921,0.0,0.0,0.022472221,197.0977936,38.59304047,499.3369751,937.0389404,1363.508667
34,Africa,,1999,1.696124792,0.0,0.0,0.058539443,209.0126038,36.42517853,504.0196228,966.0106812,1414.560181
35,Africa,,2000,2.269063234,0.0,0.035313889,0.518951416,222.5306396,36.91606903,556.8223877,963.7305908,1420.386475
36,Africa,,2001,2.335352659,0.0,0.043955833,1.220885873,237.5763092,30.21781921,634.6361694,975.9262695,1432.664307
37,Africa,,2002,2.28640008,0.0,0.049043614,1.294748068,248.1781921,33.58561325,670.6054077,934.4215698,1479.166504
38,Africa,,2003,2.622400045,0.0,0.058158889,1.553291917,239.476593,35.24045944,711.5067139,1017.048401,1524.815063
39,Africa,,2004,2.978849649,0.0,0.070790559,2.213917017,251.3361664,36.95752716,783.0681763,1119.161865,1586.510742
40,Africa,,2005,3.009669304,0.0,0.084134445,2.234556675,254.3791809,31.02905273,807.7815552,1039.072632,1654.919189
41,Africa,,2006,3.770404816,0.0,0.107861668,2.425894022,261.9176636,27.37537956,843.4420776,1054.097046,1673.716797
42,Africa,,2007,3.142048359,0.0,0.142732784,2.873494387,269.1854553,30.70724869,900.0696411,1071.633301,1734.740723
43,Africa,,2008,3.267395735,0.0,0.204168335,3.686172962,272.48349,35.06555176,935.1621094,1180.725098,1824.850952
44,Africa,,2009,3.562722206,0.0,0.267598331,4.438264847,278.0455933,34.31848145,940.8606567,1176.002075,1885.976318
45,Africa,,2010,3.76455307,0.0,0.59966141,6.341038704,298.9256287,36.02827454,980.7318115,1164.840088,1966.2146
46,Africa,,2011,3.858768463,0.0,1.660955548,6.58354044,305.5223999,34.1540947,1060.526978,1147.299316,1934.170898
47,Africa,,2012,4.042406559,0.0,2.721807241,6.897696018,304.9770508,34.11926651,1146.770386,1118.487061,2046.829956
48,Africa,,2013,4.433248997,0.0,2.146321058,9.793644905,320.6520691,36.89141464,1169.745483,1130.160645,2121.441406
49,Africa,,2014,5.4620471,0.0,5.158529282,13.70823193,336.1504211,35.85942459,1202.319946,1183.80603,2143.333496
50,Africa,,2015,7.169681549,0.0,8.775348663,23.99623108,324.2737122,31.62243271,1325.359863,1119.038574,2199.14502
51,Africa,,2016,7.231852055,0.0,14.41341496,29.9195652,314.3547668,38.59990692,1370.495117,1186.287964,2210.926025
52,Africa,,2017,7.62603569,0.0,20.68731308,33.1529007,336.2319031,36.24556351,1448.744873,1185.067139,2233.089844
53,Africa,,2018,8.172670364,0.0,26.59893036,39.07558823,356.1150818,29.39964104,1543.550781,1163.599854,2257.501953
