depth,score_type,accuracy
1,mean_train_score,0.8343487858719646
2,mean_train_score,0.8449889624724062
3,mean_train_score,0.8629668874172186
4,mean_train_score,0.9068653421633552
5,mean_train_score,0.9188476821192054
6,mean_train_score,0.9308167770419427
7,mean_train_score,0.9541147902869757
8,mean_train_score,0.9720662251655628
9,mean_train_score,0.980048565121413
10,mean_train_score,0.9940132450331127
11,mean_train_score,0.9973333333333333
12,mean_train_score,1.0
13,mean_train_score,1.0
14,mean_train_score,1.0
15,mean_train_score,1.0
16,mean_train_score,1.0
17,mean_train_score,1.0
18,mean_train_score,1.0
19,mean_train_score,1.0
1,mean_cv_score,0.8099264705882353
2,mean_cv_score,0.8040441176470589
3,mean_cv_score,0.8044117647058824
4,mean_cv_score,0.8400735294117647
5,mean_cv_score,0.8459558823529412
6,mean_cv_score,0.8150735294117647
7,mean_cv_score,0.8279411764705882
8,mean_cv_score,0.8213235294117647
9,mean_cv_score,0.8216911764705882
10,mean_cv_score,0.8033088235294118
11,mean_cv_score,0.8091911764705882
12,mean_cv_score,0.8033088235294118
13,mean_cv_score,0.8091911764705882
14,mean_cv_score,0.8091911764705882
15,mean_cv_score,0.8091911764705882
16,mean_cv_score,0.8091911764705882
17,mean_cv_score,0.8091911764705882
18,mean_cv_score,0.8091911764705882
19,mean_cv_score,0.8091911764705882
