DATE,GDPA,CPI_index,CPI_adjustment,GDP_real,Sources:
1929-01-01,104.556,51.6,1.0,104.556,GDPA - Fred
1930-01-01,92.16,50.2,0.972868217,94.7301992,CPI - Minneapolis Fed
1931-01-01,77.391,45.7,0.885658915,87.38239825,
1932-01-01,59.522,41.0,0.794573643,74.91061463,
1933-01-01,57.154,38.9,0.753875969,75.81353213,
1934-01-01,66.8,40.2,0.779069767,85.74328358,
1935-01-01,74.241,41.2,0.798449612,92.9814466,
1936-01-01,84.83,41.7,0.808139535,104.9694964,
1937-01-01,93.003,43.2,0.837209302,111.0869167,
1938-01-01,87.352,42.3,0.819767442,106.5570496,
1939-01-01,93.437,41.8,0.810077519,115.3432823,
1940-01-01,102.899,42.1,0.815891473,126.1184893,
1941-01-01,129.309,44.2,0.856589147,150.9580181,
1942-01-01,165.952,49.1,0.951550388,174.4016945,
1943-01-01,203.084,52.0,1.007751938,201.5218154,
1944-01-01,224.447,52.9,1.025193798,218.9312892,
1945-01-01,228.007,54.1,1.048449612,217.4706322,
1946-01-01,227.535,58.6,1.135658915,200.3550512,
1947-01-01,249.616,67.1,1.300387597,191.955076,
1948-01-01,274.468,72.2,1.399224806,196.1571856,
1949-01-01,272.475,71.5,1.385658915,196.6393007,
1950-01-01,299.827,72.3,1.401162791,213.9844149,
1951-01-01,346.914,78.0,1.511627907,229.4969538,
1952-01-01,367.341,79.8,1.546511628,237.5287669,
1953-01-01,389.218,80.4,1.558139535,249.7966269,
1954-01-01,390.549,80.7,1.563953488,249.7190632,
1955-01-01,425.478,80.5,1.560077519,272.7287553,
1956-01-01,449.353,81.7,1.583333333,283.8018947,
1957-01-01,474.039,84.4,1.635658915,289.8153128,
1958-01-01,481.229,86.7,1.680232558,286.4061869,
1959-01-01,521.654,87.6,1.697674419,307.2756438,
1960-01-01,542.382,88.9,1.722868217,314.8133993,
1961-01-01,562.209,89.8,1.740310078,323.0510512,
1962-01-01,603.922,90.9,1.761627907,342.8204092,
1963-01-01,637.45,92.0,1.782945736,357.5263043,
1964-01-01,684.46,93.2,1.80620155,378.9499571,
1965-01-01,742.289,94.7,1.835271318,404.4573643,
1966-01-01,813.414,97.5,1.889534884,430.4837169,
1967-01-01,859.959,100.2,1.941860465,442.8531377,
1968-01-01,940.651,104.5,2.025193798,464.4745608,
1969-01-01,1017.615,110.2,2.135658915,476.4876044,
1970-01-01,1073.303,116.7,2.261627907,474.5709923,
1971-01-01,1164.85,121.7,2.358527132,493.8887428,
1972-01-01,1279.11,125.7,2.436046512,525.0761814,
1973-01-01,1425.376,133.4,2.585271318,551.3448396,
1974-01-01,1545.243,148.2,2.872093023,538.01983,
1975-01-01,1684.904,161.7,3.13372093,537.6688089,
1976-01-01,1873.412,171.0,3.313953488,565.3102877,
1977-01-01,2081.826,182.1,3.529069767,589.9078616,
1978-01-01,2351.599,196.0,3.798449612,619.0944306,
1979-01-01,2627.333,218.1,4.226744186,621.5973535,
1980-01-01,2857.307,247.6,4.798449612,595.4646252,
1981-01-01,3207.041,273.2,5.294573643,605.7222387,
1982-01-01,3343.789,290.0,5.620155039,594.9638359,
1983-01-01,3634.038,299.3,5.800387597,626.5164076,
1984-01-01,4037.613,312.2,6.050387597,667.3312966,
1985-01-01,4338.979,323.2,6.263565891,692.7330334,
1986-01-01,4579.631,329.4,6.38372093,717.3921056,
1987-01-01,4855.215,341.4,6.61627907,733.8286292,
1988-01-01,5236.438,355.4,6.887596899,760.2706832,
1989-01-01,5641.58,372.5,7.218992248,781.4913503,
1990-01-01,5963.144,392.6,7.608527132,783.7448558,
1991-01-01,6158.129,409.3,7.932170543,776.3485375,
1992-01-01,6520.327,421.7,8.17248062,797.8393958,
1993-01-01,6858.559,434.1,8.412790698,815.2537305,
1994-01-01,7287.236,445.4,8.631782946,844.2329987,
1995-01-01,7639.749,457.9,8.874031008,860.9107849,
1996-01-01,8073.122,471.3,9.13372093,883.8809574,
1997-01-01,8577.552,482.4,9.348837209,917.4993433,
1998-01-01,9062.817,489.8,9.492248062,954.7598146,
1999-01-01,9631.172,500.6,9.701550388,992.7456556,
2000-01-01,10250.952,517.5,10.02906977,1022.12391,
2001-01-01,10581.929,532.1,10.3120155,1026.17466,
2002-01-01,10929.108,540.5,10.4748062,1043.370902,
2003-01-01,11456.45,552.8,10.71317829,1069.379197,
2004-01-01,12217.196,567.6,11.0,1110.654182,
2005-01-01,13039.197,586.9,11.37403101,1146.40069,
2006-01-01,13815.583,605.8,11.74031008,1176.764745,
2007-01-01,14474.228,623.1,12.0755814,1198.636117,
2008-01-01,14769.862,647.0,12.53875969,1177.936444,
2009-01-01,14478.067,644.7,12.49418605,1158.784329,
2010-01-01,15048.97,655.3,12.6996124,1184.994433,
2011-01-01,15599.731,676.0,13.10077519,1190.748698,
2012-01-01,16253.97,689.9,13.37015504,1215.690465,
2013-01-01,16843.196,700.0,13.56589147,1241.584162,
2014-01-01,17550.687,711.4,13.78682171,1273.004567,
2015-01-01,18206.023,712.3,13.80426357,1318.869559,
2016-01-01,18695.106,721.2,13.97674419,1337.586619,
2017-01-01,19477.337,736.6,14.2751938,1364.418394,
2018-01-01,20533.058,754.6,14.62403101,1404.062805,
2019-01-01,21380.976,768.3,14.88953488,1435.973398,
2020-01-01,21060.474,777.7,15.07170543,1397.351753,
2021-01-01,23315.081,814.3,15.78100775,1477.41395,
2022-01-01,25464.463,879.4,17.04263566,1494.162259,
