LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,CPI,TOT,AGRWTH,M,1969-11,3.645833,
CAN,CPI,TOT,AGRWTH,M,1969-12,4.6875,
CAN,CPI,TOT,AGRWTH,M,1970-01,5.208333,
CAN,CPI,TOT,AGRWTH,M,1970-02,5.208333,
CAN,CPI,TOT,AGRWTH,M,1970-03,4.663212,
CAN,CPI,TOT,AGRWTH,M,1970-04,3.571429,
CAN,CPI,TOT,AGRWTH,M,1970-05,3.571429,
CAN,CPI,TOT,AGRWTH,M,1970-06,3.045685,
CAN,CPI,TOT,AGRWTH,M,1970-07,3.535353,
CAN,CPI,TOT,AGRWTH,M,1970-08,3.015075,
CAN,CPI,TOT,AGRWTH,M,1970-09,2.512563,
CAN,CPI,TOT,AGRWTH,M,1970-10,2.512563,
CAN,CPI,TOT,AGRWTH,M,1970-11,2.512563,
CAN,CPI,TOT,AGRWTH,M,1970-12,0.9950249,
CAN,CPI,TOT,AGRWTH,M,1971-01,0.990099,
CAN,CPI,TOT,AGRWTH,M,1971-02,1.485149,
CAN,CPI,TOT,AGRWTH,M,1971-03,1.485149,
CAN,CPI,TOT,AGRWTH,M,1971-04,1.970443,
CAN,CPI,TOT,AGRWTH,M,1971-05,1.970443,
CAN,CPI,TOT,AGRWTH,M,1971-06,2.463054,
CAN,CPI,TOT,AGRWTH,M,1971-07,2.439024,
CAN,CPI,TOT,AGRWTH,M,1971-08,3.414634,
CAN,CPI,TOT,AGRWTH,M,1971-09,3.431373,
CAN,CPI,TOT,AGRWTH,M,1971-10,3.921569,
CAN,CPI,TOT,AGRWTH,M,1971-11,3.921569,
CAN,CPI,TOT,AGRWTH,M,1971-12,4.926108,
CAN,CPI,TOT,AGRWTH,M,1972-01,4.901961,
CAN,CPI,TOT,AGRWTH,M,1972-02,4.878049,
CAN,CPI,TOT,AGRWTH,M,1972-03,5.365854,
CAN,CPI,TOT,AGRWTH,M,1972-04,4.830918,
CAN,CPI,TOT,AGRWTH,M,1972-05,4.830918,
CAN,CPI,TOT,AGRWTH,M,1972-06,4.326923,
CAN,CPI,TOT,AGRWTH,M,1972-07,4.761905,
CAN,CPI,TOT,AGRWTH,M,1972-08,4.716981,
CAN,CPI,TOT,AGRWTH,M,1972-09,5.687204,
CAN,CPI,TOT,AGRWTH,M,1972-10,5.188679,
CAN,CPI,TOT,AGRWTH,M,1972-11,5.188679,
CAN,CPI,TOT,AGRWTH,M,1972-12,5.164319,
CAN,CPI,TOT,AGRWTH,M,1973-01,5.607477,
CAN,CPI,TOT,AGRWTH,M,1973-02,6.046512,
CAN,CPI,TOT,AGRWTH,M,1973-03,5.555555,
CAN,CPI,TOT,AGRWTH,M,1973-04,6.451613,
CAN,CPI,TOT,AGRWTH,M,1973-05,6.912442,
CAN,CPI,TOT,AGRWTH,M,1973-06,7.834101,
CAN,CPI,TOT,AGRWTH,M,1973-07,7.727273,
CAN,CPI,TOT,AGRWTH,M,1973-08,8.108109,
CAN,CPI,TOT,AGRWTH,M,1973-09,8.071749,
CAN,CPI,TOT,AGRWTH,M,1973-10,8.52018,
CAN,CPI,TOT,AGRWTH,M,1973-11,9.417041,
CAN,CPI,TOT,AGRWTH,M,1973-12,9.375,
CAN,CPI,TOT,AGRWTH,M,1974-01,9.292035,
CAN,CPI,TOT,AGRWTH,M,1974-02,9.210526,
CAN,CPI,TOT,AGRWTH,M,1974-03,10.52632,
CAN,CPI,TOT,AGRWTH,M,1974-04,9.95671,
CAN,CPI,TOT,AGRWTH,M,1974-05,11.63793,
CAN,CPI,TOT,AGRWTH,M,1974-06,11.53846,
CAN,CPI,TOT,AGRWTH,M,1974-07,10.97046,
CAN,CPI,TOT,AGRWTH,M,1974-08,10.83333,
CAN,CPI,TOT,AGRWTH,M,1974-09,11.20332,
CAN,CPI,TOT,AGRWTH,M,1974-10,11.98347,
CAN,CPI,TOT,AGRWTH,M,1974-11,11.88525,
CAN,CPI,TOT,AGRWTH,M,1974-12,12.65306,
CAN,CPI,TOT,AGRWTH,M,1975-01,11.74089,
CAN,CPI,TOT,AGRWTH,M,1975-02,12.04819,
CAN,CPI,TOT,AGRWTH,M,1975-03,11.11111,
CAN,CPI,TOT,AGRWTH,M,1975-04,11.02362,
CAN,CPI,TOT,AGRWTH,M,1975-05,10.03861,
CAN,CPI,TOT,AGRWTH,M,1975-06,10.34483,
