xval,yval
0,0.4967141530112327
1,0.358449851840048
2,1.0061383899407406
3,2.5291682463487657
4,2.2950148716254297
5,2.060877914676249
6,3.6400907301836405
7,4.407525459336549
8,3.938051073401597
9,4.4806111169875615
10,4.017193424175099
11,3.5514636706048424
12,3.7934259421708765
13,1.8801456975130786
14,0.15522786500004582
15,-0.4070596642409269
16,-1.4198907845753506
17,-1.1056434519800766
18,-2.0136675275012874
19,-3.4259712288365787
20,-1.9603224599150246
21,-2.1860987604015603
22,-2.1185705557136365
23,-3.5433187419270933
24,-4.087701466452276
25,-3.9767788767424097
26,-5.127772454164712
27,-4.75207443581904
28,-5.352713125737845
29,-5.644406875531121
30,-6.2461134877605184
31,-4.3938353032515804
32,-4.407332527989515
33,-5.4650434569454145
34,-4.642498544842225
35,-5.863342194813248
36,-5.654478599808492
37,-7.614148723688268
38,-8.942334772586698
39,-8.745473536717574
40,-8.007006956722163
41,-7.835638675532193
42,-7.951286957920433
43,-8.252390653509723
44,-9.73091264387715
45,-10.450756852271859
46,-10.911395623231646
47,-9.854273397012731
48,-9.51065510744427
49,-11.273695262807005
50,-10.94961129341221
51,-11.334693573828526
52,-12.011615574134485
53,-11.399939285293616
54,-10.368939762797666
55,-9.437659643681467
56,-10.276877166904105
57,-10.58608954275532
58,-10.254826111351756
59,-9.279280984229397
60,-9.758455222074687
61,-9.944114198738504
62,-11.050449172744532
63,-12.246655796825202
64,-11.434129974431004
65,-10.07788994586018
66,-10.149900067440514
67,-9.14636716954849
68,-8.784731144500856
69,-9.42985089910598
70,-9.068455293597568
71,-7.5304187271315985
72,-7.56624476624155
73,-6.001601110427544
74,-8.621346214517288
75,-7.799443710142064
76,-7.712396641903894
77,-8.011403992369761
78,-7.919643215834259
79,-9.907212130435152
80,-10.126884018272664
81,-9.769771446760917
82,-8.2918774020194
83,-8.810147620293048
84,-9.618641223186236
85,-10.120398266770772
86,-9.204996149068698
87,-8.876245039409014
88,-9.406005243176052
89,-8.892737810062696
90,-8.795660260714657
91,-7.827015270181768
92,-8.529068364059121
93,-8.85673051065689
94,-9.248838663789048
95,-10.712353611921166
96,-10.41623333485659
97,-10.1551780626767
98,-10.15006460603424
99,-10.384651739409387
