company,date,closing price_$,percentage of change
microsoft,2023-01-03,224.93,-0.0621
microsoft,2022-12-01,239.82,-0.06
microsoft,2022-11-01,255.14,0.0991
microsoft,2022-10-03,232.13,-0.0033
microsoft,2022-09-01,232.9,-0.1093
microsoft,2022-08-01,261.47,-0.0686
microsoft,2022-07-01,280.74,0.0931
microsoft,2022-06-01,256.83,-0.0553
microsoft,2022-05-02,271.87,-0.0204
microsoft,2022-04-01,277.52,-0.0999
microsoft,2022-03-01,308.31,0.0319
microsoft,2022-02-01,298.79,-0.0392
microsoft,2022-01-03,310.98,-0.0753
microsoft,2021-12-01,336.32,0.0173
microsoft,2021-11-01,330.59,-0.0031
microsoft,2021-10-01,331.62,0.1762999999999999
microsoft,2021-09-01,281.92,-0.0661
microsoft,2021-08-02,301.88,0.0596
microsoft,2021-07-01,284.91,0.0516999999999999
microsoft,2021-06-01,270.9,0.085
microsoft,2021-05-03,249.68,-0.0098999999999999
microsoft,2021-04-01,252.18,0.0696
microsoft,2021-03-01,235.77,0.0146
microsoft,2021-02-01,232.38,0.0018
microsoft,2021-01-04,231.96,0.0429
microsoft,2020-12-01,222.42,0.039
microsoft,2020-11-02,214.07,0.0573
microsoft,2020-10-01,202.47,-0.0374
microsoft,2020-09-01,210.33,-0.0674
microsoft,2020-08-03,225.53,0.1001
microsoft,2020-07-01,205.01,0.0074
microsoft,2020-06-01,203.51,0.1106
microsoft,2020-05-01,183.25,0.0225
microsoft,2020-04-01,179.21,0.1363
microsoft,2020-03-02,157.71,-0.0265
microsoft,2020-02-03,162.01,-0.0483
microsoft,2020-01-02,170.23,0.0795
microsoft,2019-12-02,157.7,0.0417
microsoft,2019-11-01,151.38,0.0559
microsoft,2019-10-01,143.37,0.0312
microsoft,2019-09-03,139.03,0.0085
microsoft,2019-08-01,137.86,0.0116999999999999
microsoft,2019-07-01,136.27,0.0172
microsoft,2019-06-03,133.96,0.0831
microsoft,2019-05-01,123.68,-0.053
microsoft,2019-04-01,130.6,0.1073
microsoft,2019-03-01,117.94,0.0528
microsoft,2019-02-01,112.03,0.0728
microsoft,2019-01-02,104.43,0.0282
microsoft,2018-12-03,101.57,-0.084
microsoft,2018-11-01,110.89,0.0382
microsoft,2018-10-01,106.81,-0.0661
microsoft,2018-09-04,114.37,0.0182
microsoft,2018-08-01,112.33,0.0588999999999999
microsoft,2018-07-02,106.08,0.0758
microsoft,2018-06-01,98.61,-0.0023
microsoft,2018-05-01,98.84,0.0569
microsoft,2018-04-02,93.52,0.0247
microsoft,2018-03-01,91.27,-0.0266999999999999
microsoft,2018-02-01,93.77,-0.0131
sony,2023-01-03,81.39,0.067
sony,2022-12-01,76.28,-0.0817
sony,2022-11-01,83.07,0.2312
sony,2022-10-03,67.47,0.0533999999999999
sony,2022-09-01,64.05,-0.1928
sony,2022-08-01,79.35,-0.0707
sony,2022-07-01,85.39,0.0443
sony,2022-06-01,81.77,-0.1308
sony,2022-05-02,94.07,0.0932
sony,2022-04-01,86.05,-0.1621999999999999
sony,2022-03-01,102.71,0.0018
sony,2022-02-01,102.53,-0.0818
sony,2022-01-03,111.66,-0.1166
sony,2021-12-01,126.4,0.0373
sony,2021-11-01,121.85,0.0523
sony,2021-10-01,115.79,0.0471
sony,2021-09-01,110.58,0.0688
sony,2021-08-02,103.46,-0.0081
sony,2021-07-01,104.3,0.0728
sony,2021-06-01,97.22,-0.024
sony,2021-05-03,99.61,-0.0055
sony,2021-04-01,100.16,-0.0552
sony,2021-03-01,106.01,0.0019
sony,2021-02-01,105.81,0.1055
sony,2021-01-04,95.71,-0.0533
sony,2020-12-01,101.1,0.0837
sony,2020-11-02,93.29,0.1151
sony,2020-10-01,83.66,0.09
sony,2020-09-01,76.75,-0.024
sony,2020-08-03,78.64,0.0087
sony,2020-07-01,77.96,0.1277
sony,2020-06-01,69.13,0.0675
sony,2020-05-01,64.76,0.0079
sony,2020-04-01,64.25,0.0857
sony,2020-03-02,59.18,-0.0486
sony,2020-02-03,62.2,-0.1137
sony,2020-01-02,70.18,0.0321
sony,2019-12-02,68.0,0.0712
sony,2019-11-01,63.48,0.0436
sony,2019-10-01,60.83,0.0288
sony,2019-09-03,59.13,0.039
sony,2019-08-01,56.91,0.0009
sony,2019-07-01,56.86,0.0852999999999999
sony,2019-06-03,52.39,0.0915
sony,2019-05-01,48.0,-0.0471
sony,2019-04-01,50.37,0.1925
sony,2019-03-01,42.24,-0.1198
sony,2019-02-01,47.99,-0.0425
sony,2019-01-02,50.12,0.0381
sony,2018-12-03,48.28,-0.086
sony,2018-11-01,52.82,-0.0242
sony,2018-10-01,54.13,-0.1075
sony,2018-09-04,60.65,0.0672
sony,2018-08-01,56.83,0.052
sony,2018-07-02,54.02,0.0538
sony,2018-06-01,51.26,0.0886
sony,2018-05-01,47.09,0.0275
sony,2018-04-02,45.83,-0.0519
sony,2018-03-01,48.34,-0.042
sony,2018-02-01,50.46,0.0526
nintendo,2023-01-03,10.42,0.0
nintendo,2022-12-01,10.42,-0.0289
nintendo,2022-11-01,10.73,0.0603
nintendo,2022-10-03,10.12,-0.0073
nintendo,2022-09-01,10.19,-0.0025
nintendo,2022-08-01,10.22,-0.0875
nintendo,2022-07-01,11.2,0.0405
nintendo,2022-06-01,10.76,-0.032
nintendo,2022-05-02,11.12,-0.0242
nintendo,2022-04-01,11.4,-0.0943
nintendo,2022-03-01,12.58,-0.0104
nintendo,2022-02-01,12.71,0.0404
nintendo,2022-01-03,12.22,0.0467999999999999
nintendo,2021-12-01,11.67,0.0596999999999999
nintendo,2021-11-01,11.02,-0.0031
nintendo,2021-10-01,11.05,-0.0675
nintendo,2021-09-01,11.85,-0.0138
nintendo,2021-08-02,12.02,-0.0649
nintendo,2021-07-01,12.85,-0.1142
nintendo,2021-06-01,14.51,-0.062
nintendo,2021-05-03,15.46,0.0755
nintendo,2021-04-01,14.38,0.0154
nintendo,2021-03-01,14.16,-0.0819999999999999
nintendo,2021-02-01,15.42,0.0670999999999999
nintendo,2021-01-04,14.45,-0.1025
