env_step,rew,rew_std,Agent
0,1.0903,3.5978,PPO
30720,14.541,5.4261,PPO
61440,-17.2246,3.7694,PPO
92160,-11.2966,8.1654,PPO
122880,-10.0344,10.6224,PPO
153600,3.5313,14.4579,PPO
184320,3.9484,15.9274,PPO
215040,12.3234,13.8123,PPO
245760,10.885,19.2383,PPO
276480,15.0975,14.2842,PPO
307200,16.7842,17.8373,PPO
337920,24.768,20.6693,PPO
368640,28.4681,16.759,PPO
399360,31.9449,14.1058,PPO
430080,33.7103,8.9838,PPO
460800,31.834,14.3058,PPO
491520,28.5064,20.959,PPO
522240,28.5923,29.5259,PPO
552960,23.8657,22.2134,PPO
583680,34.3898,34.7257,PPO
614400,31.3354,27.7352,PPO
645120,29.9966,23.1932,PPO
675840,34.0979,26.5224,PPO
706560,36.3625,16.5982,PPO
737280,37.9557,17.0515,PPO
768000,35.7174,17.8115,PPO
798720,47.5277,38.7629,PPO
829440,44.0949,38.5072,PPO
860160,63.287,93.1252,PPO
890880,62.5291,96.7548,PPO
921600,61.587,99.9543,PPO
952320,66.6847,99.1066,PPO
983040,66.1222,99.6237,PPO
1013760,64.5596,96.657,PPO
1044480,63.9429,100.59,PPO
1075200,67.3104,99.7823,PPO
1105920,68.3072,99.4767,PPO
1136640,69.532,98.3712,PPO
1167360,71.7715,98.3249,PPO
1198080,70.3806,98.6928,PPO
1228800,70.3897,98.3615,PPO
1259520,71.1511,98.1166,PPO
1290240,72.489,98.3858,PPO
1320960,71.0808,98.8914,PPO
1351680,69.7793,98.9076,PPO
1382400,72.0401,98.174,PPO
1413120,72.0039,98.6329,PPO
1443840,71.0677,99.5856,PPO
1474560,73.6586,97.4667,PPO
1505280,70.4729,99.3265,PPO
1536000,72.6155,98.2909,PPO
1566720,75.7714,97.3342,PPO
1597440,73.6515,97.8379,PPO
1628160,73.5543,98.5735,PPO
1658880,70.3039,98.8956,PPO
1689600,75.3847,97.7091,PPO
1720320,70.2479,99.3575,PPO
1751040,75.8085,97.4939,PPO
1781760,78.0713,96.2682,PPO
1812480,70.7668,99.9198,PPO
1843200,74.9315,98.0385,PPO
1873920,74.4566,97.8105,PPO
1904640,72.7717,99.2967,PPO
1935360,76.5677,96.9867,PPO
1966080,78.3815,96.275,PPO
1996800,72.2778,98.9372,PPO
2027520,73.4618,98.2254,PPO
2058240,73.0458,98.8491,PPO
2088960,76.1767,97.7641,PPO
2119680,78.726,96.0722,PPO
2150400,76.7965,97.3736,PPO
2181120,75.239,98.4263,PPO
2211840,76.4495,97.35,PPO
2242560,77.0431,96.7973,PPO
2273280,76.0307,97.4001,PPO
2304000,77.3101,97.2428,PPO
2334720,77.2666,97.1735,PPO
2365440,75.6714,97.8766,PPO
2396160,74.9936,97.9828,PPO
2426880,78.1617,96.8809,PPO
2457600,76.8037,97.0951,PPO
2488320,79.3963,96.5996,PPO
