Country,Year,Gini
Argentina,1980,0.64
Argentina,1981,0.64
Argentina,1982,0.64
Argentina,1983,0.64
Argentina,1984,0.64
Argentina,1985,0.64
Argentina,1986,0.64
Argentina,1987,0.64
Argentina,1988,0.64
Argentina,1989,0.64
Argentina,1990,0.64
Argentina,1991,0.64
Argentina,1992,0.64
Argentina,1993,0.64
Argentina,1994,0.64
Argentina,1995,0.64
Argentina,1996,0.64
Argentina,1997,0.64
Argentina,1998,0.64
Argentina,1999,0.64
Argentina,2000,0.64
Argentina,2001,0.66
Argentina,2002,0.67
Argentina,2003,0.62
Argentina,2004,0.6
Argentina,2005,0.59
Argentina,2006,0.58
Argentina,2007,0.59
Argentina,2008,0.59
Argentina,2009,0.59
Argentina,2010,0.57
Argentina,2011,0.55
Argentina,2012,0.54
Argentina,2013,0.54
Argentina,2014,0.56
Argentina,2015,0.56
Argentina,2016,0.57
Argentina,2017,0.58
Argentina,2018,0.59
Argentina,2019,0.59
Argentina,2020,0.59
Argentina,2021,0.59
Brazil,1980,0.7
Brazil,1981,0.7
Brazil,1982,0.7
Brazil,1983,0.7
Brazil,1984,0.7
Brazil,1985,0.7
Brazil,1986,0.7
Brazil,1987,0.7
Brazil,1988,0.7
Brazil,1989,0.7
Brazil,1990,0.7
Brazil,1991,0.7
Brazil,1992,0.7
Brazil,1993,0.7
Brazil,1994,0.7
Brazil,1995,0.7
Brazil,1996,0.7
Brazil,1997,0.7
Brazil,1998,0.7
Brazil,1999,0.7
Brazil,2000,0.7
Brazil,2001,0.7
Brazil,2002,0.7
Brazil,2003,0.7
Brazil,2004,0.7
Brazil,2005,0.69
Brazil,2006,0.69
Brazil,2007,0.68
Brazil,2008,0.68
Brazil,2009,0.68
Brazil,2010,0.68
Brazil,2011,0.69
Brazil,2012,0.68
Brazil,2013,0.67
Brazil,2014,0.67
Brazil,2015,0.68
Brazil,2016,0.68
Brazil,2017,0.68
Brazil,2018,0.68
Brazil,2019,0.67
Brazil,2020,0.69
Brazil,2021,0.69
Chile,1980,0.73
Chile,1981,0.73
Chile,1982,0.73
Chile,1983,0.73
Chile,1984,0.73
Chile,1985,0.73
Chile,1986,0.73
Chile,1987,0.73
Chile,1988,0.73
Chile,1989,0.73
Chile,1990,0.73
Chile,1991,0.73
Chile,1992,0.73
Chile,1993,0.73
Chile,1994,0.73
Chile,1995,0.73
Chile,1996,0.73
Chile,1997,0.73
Chile,1998,0.73
Chile,1999,0.73
Chile,2000,0.73
Chile,2001,0.72
Chile,2002,0.72
Chile,2003,0.71
Chile,2004,0.72
Chile,2005,0.73
Chile,2006,0.74
Chile,2007,0.74
Chile,2008,0.74
Chile,2009,0.73
Chile,2010,0.75
Chile,2011,0.76
Chile,2012,0.76
Chile,2013,0.75
Chile,2014,0.75
Chile,2015,0.74
Chile,2016,0.74
Chile,2017,0.73
Chile,2018,0.73
Chile,2019,0.72
Chile,2020,0.72
Chile,2021,0.72
China,1980,0.38
China,1981,0.39
China,1982,0.39
China,1983,0.39
China,1984,0.4
China,1985,0.4
China,1986,0.42
China,1987,0.42
China,1988,0.43
China,1989,0.44
China,1990,0.43
China,1991,0.45
China,1992,0.46
China,1993,0.48
China,1994,0.48
China,1995,0.48
China,1996,0.47
China,1997,0.47
China,1998,0.47
China,1999,0.48
China,2000,0.5
China,2001,0.51
China,2002,0.53
China,2003,0.54
China,2004,0.55
China,2005,0.56
China,2006,0.56
China,2007,0.56
China,2008,0.56
China,2009,0.56
China,2010,0.57
China,2011,0.56
China,2012,0.55
China,2013,0.56
China,2014,0.55
China,2015,0.56
China,2016,0.55
China,2017,0.56
China,2018,0.56
China,2019,0.56
China,2020,0.56
China,2021,0.57
Russian Federation,1980,0.31
Russian Federation,1981,0.32
Russian Federation,1982,0.32
Russian Federation,1983,0.32
Russian Federation,1984,0.32
Russian Federation,1985,0.33
Russian Federation,1986,0.33
Russian Federation,1987,0.33
Russian Federation,1988,0.33
Russian Federation,1989,0.34
Russian Federation,1990,0.33
Russian Federation,1991,0.34
Russian Federation,1992,0.44
Russian Federation,1993,0.46
Russian Federation,1994,0.54
Russian Federation,1995,0.56
Russian Federation,1996,0.63
Russian Federation,1997,0.59
Russian Federation,1998,0.56
Russian Federation,1999,0.58
Russian Federation,2000,0.6
Russian Federation,2001,0.61
Russian Federation,2002,0.59
Russian Federation,2003,0.6
Russian Federation,2004,0.59
Russian Federation,2005,0.58
Russian Federation,2006,0.6
Russian Federation,2007,0.6
Russian Federation,2008,0.61
Russian Federation,2009,0.55
Russian Federation,2010,0.55
Russian Federation,2011,0.56
Russian Federation,2012,0.55
Russian Federation,2013,0.56
Russian Federation,2014,0.54
Russian Federation,2015,0.54
Russian Federation,2016,0.54
Russian Federation,2017,0.54
Russian Federation,2018,0.55
Russian Federation,2019,0.55
Russian Federation,2020,0.58
Russian Federation,2021,0.58
United Kingdom,1980,0.41
United Kingdom,1981,0.41
United Kingdom,1982,0.41
United Kingdom,1983,0.41
United Kingdom,1984,0.42
United Kingdom,1985,0.42
United Kingdom,1986,0.43
United Kingdom,1987,0.43
United Kingdom,1988,0.44
United Kingdom,1989,0.44
United Kingdom,1990,0.46
United Kingdom,1991,0.47
United Kingdom,1992,0.47
United Kingdom,1993,0.47
United Kingdom,1994,0.47
United Kingdom,1995,0.48
United Kingdom,1996,0.48
United Kingdom,1997,0.48
United Kingdom,1998,0.49
United Kingdom,1999,0.49
United Kingdom,2000,0.48
