env_step,rew,rew_std,Agent
0,-39.7281,1.6637,PPO
30720,-25.1977,1.9758,PPO
61440,-11.3756,0.5121,PPO
92160,-9.4285,0.4521,PPO
122880,-5.9949,1.0133,PPO
153600,-6.0315,0.4946,PPO
184320,-6.1742,0.5615,PPO
215040,-6.3098,0.9039,PPO
245760,-5.5179,0.5696,PPO
276480,-6.2265,1.0758,PPO
307200,-5.0218,0.5475,PPO
337920,-5.4688,0.5576,PPO
368640,-5.8007,0.5325,PPO
399360,-5.4248,0.4431,PPO
430080,-5.3748,0.5162,PPO
460800,-4.9695,0.3465,PPO
491520,-5.0357,0.4891,PPO
522240,-5.5683,0.8495,PPO
552960,-5.3753,0.4371,PPO
583680,-5.884,0.4708,PPO
614400,-5.5962,0.3539,PPO
645120,-5.3307,0.4992,PPO
675840,-6.0082,0.9148,PPO
706560,-5.2822,0.4585,PPO
737280,-4.7864,0.7392,PPO
768000,-5.0164,0.3031,PPO
798720,-5.3032,0.5742,PPO
829440,-5.1033,0.3818,PPO
860160,-5.3432,0.8027,PPO
890880,-4.6837,0.5437,PPO
921600,-4.7674,0.3104,PPO
952320,-4.1239,0.3437,PPO
983040,-4.595,0.5033,PPO
1013760,-4.9547,0.5945,PPO
1044480,-4.4337,0.5052,PPO
1075200,-4.6478,0.377,PPO
1105920,-4.6753,0.5188,PPO
1136640,-4.7786,0.5445,PPO
1167360,-4.7328,0.5834,PPO
1198080,-4.5149,0.3676,PPO
1228800,-4.8816,0.402,PPO
1259520,-5.1436,0.4365,PPO
1290240,-4.668,0.3933,PPO
1320960,-5.2896,0.8658,PPO
1351680,-4.5049,0.5145,PPO
1382400,-4.1827,0.3268,PPO
1413120,-4.3491,0.8491,PPO
1443840,-3.6947,0.3381,PPO
1474560,-4.4419,0.3714,PPO
1505280,-4.3424,0.4925,PPO
1536000,-4.2711,0.2769,PPO
1566720,-4.6186,0.4963,PPO
1597440,-4.625,0.2289,PPO
1628160,-4.3231,0.4513,PPO
1658880,-4.1184,0.4354,PPO
1689600,-4.4786,0.4347,PPO
1720320,-3.823,0.4088,PPO
1751040,-4.5142,0.5797,PPO
1781760,-3.9392,0.4262,PPO
1812480,-4.455,0.3795,PPO
1843200,-4.309,0.3757,PPO
1873920,-4.4861,0.4123,PPO
1904640,-3.8674,0.2822,PPO
1935360,-3.7656,0.438,PPO
1966080,-4.5965,0.3614,PPO
1996800,-3.847,0.3441,PPO
2027520,-4.1442,0.2726,PPO
2058240,-4.81,0.5441,PPO
2088960,-4.489,0.3588,PPO
2119680,-4.6354,0.3608,PPO
2150400,-4.8927,0.3568,PPO
2181120,-4.9722,0.3395,PPO
2211840,-3.9921,0.4937,PPO
2242560,-4.8395,0.5691,PPO
2273280,-4.2018,0.2426,PPO
2304000,-4.9258,0.4614,PPO
2334720,-4.4081,0.2367,PPO
2365440,-3.9365,0.5545,PPO
2396160,-4.6383,0.2892,PPO
2426880,-3.7809,0.461,PPO
2457600,-4.5572,0.3636,PPO
2488320,-5.2924,0.3211,PPO
2519040,-4.2562,0.4444,PPO
2549760,-4.0844,0.4715,PPO
2580480,-4.6425,0.2153,PPO
2611200,-4.1332,0.5231,PPO
2641920,-3.811,0.4255,PPO
2672640,-4.4177,0.3892,PPO
2703360,-3.9716,0.5346,PPO
2734080,-4.1433,0.3098,PPO
2764800,-4.4922,0.4792,PPO
2795520,-4.3185,0.3626,PPO
2826240,-4.077,0.3572,PPO
2856960,-4.9316,0.4112,PPO
2887680,-4.1553,0.1359,PPO
2918400,-4.3514,0.2179,PPO
2949120,-4.1512,0.226,PPO
2979840,-4.4676,0.2695,PPO
3010560,-4.1195,0.2915,PPO
3041280,-4.924,0.4478,PPO
3072000,-4.7199,0.261,PPO
0,-27.3232,23.4601,TD3
5000,-9.4278,0.6088,TD3
10000,-7.0669,0.5544,TD3
15000,-6.4267,0.5535,TD3
20000,-5.1856,0.5122,TD3
25000,-6.2298,0.4873,TD3
30000,-4.746,0.2296,TD3
35000,-4.9355,0.4494,TD3
40000,-5.18,0.4861,TD3
45000,-5.3703,0.797,TD3
50000,-5.2779,0.5659,TD3
55000,-5.2297,0.3341,TD3
60000,-4.5756,0.476,TD3
65000,-4.2738,0.1586,TD3
70000,-4.8618,0.3402,TD3
75000,-4.2569,0.1832,TD3
80000,-4.5128,0.3919,TD3
85000,-4.45,0.1863,TD3
90000,-5.1534,0.3301,TD3
95000,-4.618,0.218,TD3
100000,-4.6005,0.2978,TD3
105000,-4.7658,0.3353,TD3
110000,-4.8709,0.4209,TD3
115000,-3.8872,0.1921,TD3
120000,-3.5985,0.2389,TD3
125000,-3.8332,0.2889,TD3
