prices,obs,date,region
2680,51065,1988-02-01,London
4307,51065,1988-02-01,East Midlands
3194,51065,1988-02-01,East Anglia
3939,51065,1988-02-01,North
2189,51065,1988-02-01,Northern Ireland
4816,51065,1988-02-01,West Midlands
4368,51065,1988-02-01,Yorkshire & Humber
6058,51065,1988-02-01,North West
5635,51065,1988-02-01,South East
3548,51065,1988-02-01,Wales
4237,51065,1988-02-01,South West
4681,51065,1988-02-01,Scotland
5492,49987,1988-03-01,North West
3859,49987,1988-03-01,East Midlands
5909,49987,1988-03-01,South East
4018,49987,1988-03-01,South West
2425,49987,1988-03-01,London
4111,49987,1988-03-01,North
3139,49987,1988-03-01,East Anglia
3551,49987,1988-03-01,Wales
4353,49987,1988-03-01,Yorkshire & Humber
4811,49987,1988-03-01,West Midlands
4728,49987,1988-03-01,Scotland
2217,49987,1988-03-01,Northern Ireland
4219,51716,1988-04-01,North
4042,51716,1988-04-01,East Midlands
5966,51716,1988-04-01,North West
4780,51716,1988-04-01,West Midlands
2278,51716,1988-04-01,Northern Ireland
4314,51716,1988-04-01,South West
5833,51716,1988-04-01,South East
3113,51716,1988-04-01,East Anglia
3159,51716,1988-04-01,London
4686,51716,1988-04-01,Scotland
3477,51716,1988-04-01,Wales
4333,51716,1988-04-01,Yorkshire & Humber
6003,51209,1988-05-01,North West
5862,51209,1988-05-01,South East
3510,51209,1988-05-01,Wales
4870,51209,1988-05-01,Scotland
4020,51209,1988-05-01,East Midlands
2971,51209,1988-05-01,London
4729,51209,1988-05-01,West Midlands
1976,51209,1988-05-01,Northern Ireland
3035,51209,1988-05-01,East Anglia
4350,51209,1988-05-01,South West
4377,51209,1988-05-01,Yorkshire & Humber
4192,51209,1988-05-01,North
4501,51126,1988-06-01,Yorkshire & Humber
4914,51126,1988-06-01,Scotland
4341,51126,1988-06-01,South West
3148,51126,1988-06-01,London
3073,51126,1988-06-01,East Anglia
3539,51126,1988-06-01,Wales
3906,51126,1988-06-01,North
4555,51126,1988-06-01,West Midlands
2346,51126,1988-06-01,Northern Ireland
5988,51126,1988-06-01,South East
3734,51126,1988-06-01,East Midlands
5687,51126,1988-06-01,North West
4539,50053,1988-07-01,West Midlands
3876,50053,1988-07-01,East Midlands
5069,50053,1988-07-01,South East
3501,50053,1988-07-01,London
3791,50053,1988-07-01,North
4375,50053,1988-07-01,Yorkshire & Humber
5783,50053,1988-07-01,North West
2369,50053,1988-07-01,Northern Ireland
4186,50053,1988-07-01,South West
3513,50053,1988-07-01,Wales
4850,50053,1988-07-01,Scotland
2974,50053,1988-07-01,East Anglia
3484,47264,1988-09-01,East Midlands
3155,47264,1988-09-01,Wales
4515,47264,1988-09-01,West Midlands
4171,47264,1988-09-01,South West
3172,47264,1988-09-01,London
5008,47264,1988-09-01,Scotland
5678,47264,1988-09-01,South East
2978,47264,1988-09-01,North
2338,47264,1988-09-01,Northern Ireland
5055,47264,1988-09-01,North West
3972,47264,1988-09-01,Yorkshire & Humber
2710,47264,1988-09-01,East Anglia
5525,50282,1988-10-01,North West
2900,50282,1988-10-01,London
4068,50282,1988-10-01,East Midlands
4091,50282,1988-10-01,North
4972,50282,1988-10-01,Scotland
2332,50282,1988-10-01,Northern Ireland
3147,50282,1988-10-01,East Anglia
5372,50282,1988-10-01,South East
4512,50282,1988-10-01,West Midlands
3470,50282,1988-10-01,Wales
4356,50282,1988-10-01,Yorkshire & Humber
4243,50282,1988-10-01,South West
4188,49281,1988-11-01,South West
3125,49281,1988-11-01,East Anglia
4831,49281,1988-11-01,Scotland
2253,49281,1988-11-01,Northern Ireland
3452,49281,1988-11-01,East Midlands
4260,49281,1988-11-01,Yorkshire & Humber
3161,49281,1988-11-01,Wales
4343,49281,1988-11-01,West Midlands
5620,49281,1988-11-01,North West
3897,49281,1988-11-01,London
4923,49281,1988-11-01,South East
4103,49281,1988-11-01,North
4308,51813,1988-12-01,North
4507,51813,1988-12-01,West Midlands
3247,51813,1988-12-01,East Anglia
3581,51813,1988-12-01,East Midlands
4423,51813,1988-12-01,Yorkshire & Humber
2316,51813,1988-12-01,Northern Ireland
5025,51813,1988-12-01,Scotland
3368,51813,1988-12-01,London
5958,51813,1988-12-01,North West
4437,51813,1988-12-01,South West
3502,51813,1988-12-01,Wales
5874,51813,1988-12-01,South East
2059,48551,1989-01-01,Northern Ireland
3720,48551,1989-01-01,East Midlands
4022,48551,1989-01-01,North
3246,48551,1989-01-01,London
5395,48551,1989-01-01,South East
4083,48551,1989-01-01,South West
4694,48551,1989-01-01,Scotland
3232,48551,1989-01-01,Wales
5573,48551,1989-01-01,North West
4058,48551,1989-01-01,Yorkshire & Humber
4128,48551,1989-01-01,West Midlands
3039,48551,1989-01-01,East Anglia
4500,57413,1989-03-01,East Midlands
3730,57413,1989-03-01,London
2531,57413,1989-03-01,Northern Ireland
5671,57413,1989-03-01,South West
5972,57413,1989-03-01,North West
4930,57413,1989-03-01,West Midlands
4814,57413,1989-03-01,Yorkshire & Humber
5367,57413,1989-03-01,Scotland
6846,57413,1989-03-01,South East
4517,57413,1989-03-01,North
3794,57413,1989-03-01,Wales
3532,57413,1989-03-01,East Anglia
855,20572,1989-04-01,Northern Ireland
2422,20572,1989-04-01,North West
1540,20572,1989-04-01,North
1858,20572,1989-04-01,West Midlands
1259,20572,1989-04-01,East Anglia
1566,20572,1989-04-01,East Midlands
2148,20572,1989-04-01,South West
1495,20572,1989-04-01,London
2477,20572,1989-04-01,South East
1351,20572,1989-04-01,Wales
1846,20572,1989-04-01,Scotland
1755,20572,1989-04-01,Yorkshire & Humber
5096,57869,1989-05-01,West Midlands
4490,57869,1989-05-01,North
3712,57869,1989-05-01,Wales
5375,57869,1989-05-01,Scotland
3129,57869,1989-05-01,London
4761,57869,1989-05-01,Yorkshire & Humber
3522,57869,1989-05-01,East Anglia
7177,57869,1989-05-01,South East
5658,57869,1989-05-01,South West
6464,57869,1989-05-01,North West
4548,57869,1989-05-01,East Midlands
2677,57869,1989-05-01,Northern Ireland
4681,58028,1989-06-01,West Midlands
6514,58028,1989-06-01,North West
7242,58028,1989-06-01,South East
4588,58028,1989-06-01,East Midlands
3130,58028,1989-06-01,London
5643,58028,1989-06-01,South West
3548,58028,1989-06-01,East Anglia
3724,58028,1989-06-01,Wales
4989,58028,1989-06-01,Yorkshire & Humber
4573,58028,1989-06-01,North
5450,58028,1989-06-01,Scotland
2716,58028,1989-06-01,Northern Ireland
7043,56793,1989-07-01,South East
4991,56793,1989-07-01,West Midlands
4504,56793,1989-07-01,North
3659,56793,1989-07-01,Wales
2597,56793,1989-07-01,Northern Ireland
3391,56793,1989-07-01,East Anglia
4600,56793,1989-07-01,Yorkshire & Humber
3098,56793,1989-07-01,London
4502,56793,1989-07-01,East Midlands
6401,56793,1989-07-01,North West
5549,56793,1989-07-01,South West
5310,56793,1989-07-01,Scotland
6496,55705,1989-08-01,South East
4631,55705,1989-08-01,Yorkshire & Humber
4492,55705,1989-08-01,West Midlands
5535,55705,1989-08-01,South West
4577,55705,1989-08-01,East Midlands
2161,55705,1989-08-01,Northern Ireland
3446,55705,1989-08-01,East Anglia
4912,55705,1989-08-01,Scotland
3546,55705,1989-08-01,London
3656,55705,1989-08-01,Wales
4618,55705,1989-08-01,North
6541,55705,1989-08-01,North West
5148,56655,1989-09-01,Scotland
3502,56655,1989-09-01,East Anglia
6583,56655,1989-09-01,South East
3686,56655,1989-09-01,Wales
5570,56655,1989-09-01,South West
2683,56655,1989-09-01,Northern Ireland
3677,56655,1989-09-01,London
4877,56655,1989-09-01,Yorkshire & Humber
4683,56655,1989-09-01,North
6596,56655,1989-09-01,North West
4562,56655,1989-09-01,East Midlands
4132,56655,1989-09-01,West Midlands
2590,55533,1989-10-01,Northern Ireland
3470,55533,1989-10-01,London
6708,55533,1989-10-01,South East
4999,55533,1989-10-01,South West
3631,55533,1989-10-01,West Midlands
4714,55533,1989-10-01,North
4917,55533,1989-10-01,Yorkshire & Humber
3360,55533,1989-10-01,East Anglia
7018,55533,1989-10-01,North West
4217,55533,1989-10-01,East Midlands
3723,55533,1989-10-01,Wales
5353,55533,1989-10-01,Scotland
4923,57758,1989-11-01,Yorkshire & Humber
4667,57758,1989-11-01,East Midlands
6995,57758,1989-11-01,North West
2649,57758,1989-11-01,Northern Ireland
6507,57758,1989-11-01,South East
3703,57758,1989-11-01,Wales
4575,57758,1989-11-01,North
5642,57758,1989-11-01,South West
5054,57758,1989-11-01,Scotland
3426,57758,1989-11-01,East Anglia
4095,57758,1989-11-01,London
4509,57758,1989-11-01,West Midlands
6810,54852,1989-12-01,North West
4651,54852,1989-12-01,East Midlands
3542,54852,1989-12-01,London
3704,54852,1989-12-01,Wales
4078,54852,1989-12-01,North
3553,54852,1989-12-01,West Midlands
4925,54852,1989-12-01,Scotland
6683,54852,1989-12-01,South East
2649,54852,1989-12-01,Northern Ireland
3393,54852,1989-12-01,East Anglia
4496,54852,1989-12-01,Yorkshire & Humber
5557,54852,1989-12-01,South West
4860,54121,1990-01-01,Scotland
2468,54121,1990-01-01,Northern Ireland
3446,54121,1990-01-01,East Anglia
5289,54121,1990-01-01,South West
4623,54121,1990-01-01,Yorkshire & Humber
4222,54121,1990-01-01,West Midlands
5503,54121,1990-01-01,South East
6599,54121,1990-01-01,North West
4468,54121,1990-01-01,East Midlands
4371,54121,1990-01-01,North
3711,54121,1990-01-01,London
3581,54121,1990-01-01,Wales
4646,60253,1990-02-01,West Midlands
5067,60253,1990-02-01,East Midlands
5337,60253,1990-02-01,Yorkshire & Humber
3925,60253,1990-02-01,Wales
5063,60253,1990-02-01,North
3776,60253,1990-02-01,East Anglia
7420,60253,1990-02-01,North West
5795,60253,1990-02-01,South West
4016,60253,1990-02-01,London
2778,60253,1990-02-01,Northern Ireland
5240,60253,1990-02-01,Scotland
6154,60253,1990-02-01,South East
4981,60923,1990-03-01,East Midlands
6898,60923,1990-03-01,North West
5809,60923,1990-03-01,South West
4595,60923,1990-03-01,London
5346,60923,1990-03-01,Yorkshire & Humber
5014,60923,1990-03-01,North
2832,60923,1990-03-01,Northern Ireland
5461,60923,1990-03-01,Scotland
5144,60923,1990-03-01,West Midlands
3735,60923,1990-03-01,Wales
6317,60923,1990-03-01,South East
3726,60923,1990-03-01,East Anglia
3553,60819,1990-04-01,Wales
5520,60819,1990-04-01,Scotland
4938,60819,1990-04-01,East Midlands
5556,60819,1990-04-01,South West
4563,60819,1990-04-01,North
4992,60819,1990-04-01,West Midlands
2804,60819,1990-04-01,Northern Ireland
4791,60819,1990-04-01,London
3586,60819,1990-04-01,East Anglia
6975,60819,1990-04-01,South East
5161,60819,1990-04-01,Yorkshire & Humber
7264,60819,1990-04-01,North West
3569,61136,1990-05-01,Wales
5193,61136,1990-05-01,Scotland
5314,61136,1990-05-01,Yorkshire & Humber
4451,61136,1990-05-01,London
5520,61136,1990-05-01,South West
4795,61136,1990-05-01,East Midlands
4936,61136,1990-05-01,North
5477,61136,1990-05-01,West Midlands
2802,61136,1990-05-01,Northern Ireland
7479,61136,1990-05-01,North West
6734,61136,1990-05-01,South East
3713,61136,1990-05-01,East Anglia
5656,62259,1990-06-01,Scotland
6817,62259,1990-06-01,South East
2832,62259,1990-06-01,Northern Ireland
4977,62259,1990-06-01,North
5746,62259,1990-06-01,South West
5553,62259,1990-06-01,West Midlands
4831,62259,1990-06-01,East Midlands
4854,62259,1990-06-01,London
3679,62259,1990-06-01,East Anglia
7602,62259,1990-06-01,North West
5102,62259,1990-06-01,Yorkshire & Humber
3622,62259,1990-06-01,Wales
7111,59060,1990-07-01,South East
5500,59060,1990-07-01,West Midlands
4932,59060,1990-07-01,Scotland
3442,59060,1990-07-01,Wales
3791,59060,1990-07-01,East Anglia
2699,59060,1990-07-01,Northern Ireland
4117,59060,1990-07-01,London
4307,59060,1990-07-01,East Midlands
4788,59060,1990-07-01,North
4536,59060,1990-07-01,South West
7426,59060,1990-07-01,North West
5287,59060,1990-07-01,Yorkshire & Humber
3863,60067,1990-08-01,East Anglia
4616,60067,1990-08-01,East Midlands
6936,60067,1990-08-01,South East
5276,60067,1990-08-01,Yorkshire & Humber
5563,60067,1990-08-01,West Midlands
3656,60067,1990-08-01,London
7348,60067,1990-08-01,North West
2787,60067,1990-08-01,Northern Ireland
5327,60067,1990-08-01,Scotland
5303,60067,1990-08-01,South West
3659,60067,1990-08-01,Wales
4845,60067,1990-08-01,North
7066,61285,1990-09-01,South East
5521,61285,1990-09-01,South West
5359,61285,1990-09-01,Yorkshire & Humber
4016,61285,1990-09-01,East Anglia
4977,61285,1990-09-01,North
3943,61285,1990-09-01,Wales
5437,61285,1990-09-01,West Midlands
5300,61285,1990-09-01,Scotland
7481,61285,1990-09-01,North West
3843,61285,1990-09-01,London
2904,61285,1990-09-01,Northern Ireland
4537,61285,1990-09-01,East Midlands
3731,62163,1990-10-01,London
4176,62163,1990-10-01,East Midlands
5587,62163,1990-10-01,South West
4050,62163,1990-10-01,East Anglia
5733,62163,1990-10-01,West Midlands
5555,62163,1990-10-01,Yorkshire & Humber
4053,62163,1990-10-01,Wales
6037,62163,1990-10-01,Scotland
2895,62163,1990-10-01,Northern Ireland
7017,62163,1990-10-01,South East
4987,62163,1990-10-01,North
7495,62163,1990-10-01,North West
5117,65091,1990-11-01,North
5928,65091,1990-11-01,West Midlands
6014,65091,1990-11-01,Scotland
7258,65091,1990-11-01,South East
4121,65091,1990-11-01,East Anglia
5754,65091,1990-11-01,Yorkshire & Humber
4358,65091,1990-11-01,London
4783,65091,1990-11-01,East Midlands
2953,65091,1990-11-01,Northern Ireland
8128,65091,1990-11-01,North West
4208,65091,1990-11-01,Wales
5433,65091,1990-11-01,South West
5884,63911,1990-12-01,West Midlands
4374,63911,1990-12-01,East Midlands
5669,63911,1990-12-01,South West
2987,63911,1990-12-01,Northern Ireland
6969,63911,1990-12-01,South East
4210,63911,1990-12-01,East Anglia
3835,63911,1990-12-01,London
5111,63911,1990-12-01,North
8170,63911,1990-12-01,North West
3680,63911,1990-12-01,Wales
5686,63911,1990-12-01,Yorkshire & Humber
6413,63911,1990-12-01,Scotland
3251,57581,1991-01-01,London
4208,57581,1991-01-01,East Midlands
3518,57581,1991-01-01,Wales
5210,57581,1991-01-01,Yorkshire & Humber
5702,57581,1991-01-01,West Midlands
5795,57581,1991-01-01,Scotland
5777,57581,1991-01-01,South East
7279,57581,1991-01-01,North West
4813,57581,1991-01-01,South West
3761,57581,1991-01-01,East Anglia
4620,57581,1991-01-01,North
2753,57581,1991-01-01,Northern Ireland
6482,68575,1991-02-01,West Midlands
6542,68575,1991-02-01,South West
4068,68575,1991-02-01,East Anglia
6917,68575,1991-02-01,South East
6597,68575,1991-02-01,Scotland
5364,68575,1991-02-01,North
5650,68575,1991-02-01,Yorkshire & Humber
9090,68575,1991-02-01,North West
2913,68575,1991-02-01,Northern Ireland
5053,68575,1991-02-01,London
4520,68575,1991-02-01,Wales
4591,68575,1991-02-01,East Midlands
4930,71151,1991-03-01,Wales
