Unnamed: 0,Date,Type,Value
0,01/01/1978,Private Enterprise,30230
1,01/01/1978,Housing Associations,4840
2,01/01/1978,Local Authorities,22290
3,01/01/1978,All,57360
4,01/04/1978,Private Enterprise,32930
5,01/04/1978,Housing Associations,4980
6,01/04/1978,Local Authorities,23540
7,01/04/1978,All,61450
8,01/07/1978,Private Enterprise,30620
9,01/07/1978,Housing Associations,5260
10,01/07/1978,Local Authorities,23280
11,01/07/1978,All,59160
12,01/10/1978,Private Enterprise,33660
13,01/10/1978,Housing Associations,5480
14,01/10/1978,Local Authorities,24200
15,01/10/1978,All,63340
16,01/01/1979,Private Enterprise,24810
17,01/01/1979,Housing Associations,4160
18,01/01/1979,Local Authorities,14410
19,01/01/1979,All,43380
20,01/04/1979,Private Enterprise,27840
21,01/04/1979,Housing Associations,3450
22,01/04/1979,Local Authorities,17490
23,01/04/1979,All,48790
24,01/07/1979,Private Enterprise,26130
25,01/07/1979,Housing Associations,3490
26,01/07/1979,Local Authorities,17540
27,01/07/1979,All,47160
28,01/10/1979,Private Enterprise,39600
29,01/10/1979,Housing Associations,5180
30,01/10/1979,Local Authorities,25350
31,01/10/1979,All,70130
32,01/01/1980,Private Enterprise,27730
33,01/01/1980,Housing Associations,4550
34,01/01/1980,Local Authorities,17320
35,01/01/1980,All,49600
36,01/04/1980,Private Enterprise,26250
37,01/04/1980,Housing Associations,4950
38,01/04/1980,Local Authorities,18200
39,01/04/1980,All,49400
40,01/07/1980,Private Enterprise,27050
41,01/07/1980,Housing Associations,4640
42,01/07/1980,Local Authorities,19560
43,01/07/1980,All,51250
44,01/10/1980,Private Enterprise,27620
45,01/10/1980,Housing Associations,4650
46,01/10/1980,Local Authorities,20090
47,01/10/1980,All,52360
48,01/01/1981,Private Enterprise,24900
49,01/01/1981,Housing Associations,5260
50,01/01/1981,Local Authorities,15920
51,01/01/1981,All,46070
52,01/04/1981,Private Enterprise,21820
53,01/04/1981,Housing Associations,4120
54,01/04/1981,Local Authorities,14430
55,01/04/1981,All,40370
56,01/07/1981,Private Enterprise,24110
57,01/07/1981,Housing Associations,3740
58,01/07/1981,Local Authorities,13030
59,01/07/1981,All,40880
60,01/10/1981,Private Enterprise,26070
61,01/10/1981,Housing Associations,3540
62,01/10/1981,Local Authorities,11490
63,01/10/1981,All,41100
64,01/01/1982,Private Enterprise,23610
65,01/01/1982,Housing Associations,3360
66,01/01/1982,Local Authorities,8710
67,01/01/1982,All,35670
68,01/04/1982,Private Enterprise,23990
69,01/04/1982,Housing Associations,1790
70,01/04/1982,Local Authorities,7830
71,01/04/1982,All,33610
72,01/07/1982,Private Enterprise,25900
73,01/07/1982,Housing Associations,2310
74,01/07/1982,Local Authorities,7580
75,01/07/1982,All,35790
76,01/10/1982,Private Enterprise,31300
77,01/10/1982,Housing Associations,2990
78,01/10/1982,Local Authorities,7310
79,01/10/1982,All,41600
80,01/01/1983,Private Enterprise,26890
81,01/01/1983,Housing Associations,2640
82,01/01/1983,Local Authorities,6470
83,01/01/1983,All,35990
84,01/04/1983,Private Enterprise,31050
85,01/04/1983,Housing Associations,3600
86,01/04/1983,Local Authorities,7070
87,01/04/1983,All,41710
88,01/07/1983,Private Enterprise,30470
